GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
1,56,0.881,0.876,0.765,0.952,18689
2,28,0.68,0.702,0.575,0.934,5302
3,29,0.937,0.913,0.759,0.99,1016
4,13,0.808,0.811,0.686,0.959,1077
