K,GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
3,1,56,0.883,0.874,0.761,0.952,18670
3,2,27,0.659,0.68,0.534,0.916,6412
3,3,30,0.922,0.908,0.73,0.99,1048
4,1,56,0.881,0.876,0.765,0.952,18689
4,2,28,0.68,0.702,0.575,0.934,5302
4,3,29,0.937,0.913,0.759,0.99,1016
4,4,13,0.808,0.811,0.686,0.959,1077
5,1,56,0.881,0.875,0.753,0.952,18739
5,2,28,0.691,0.711,0.576,0.933,4935
5,3,29,0.937,0.913,0.759,0.99,1018
5,4,13,0.808,0.81,0.683,0.959,1084
5,5,7,0.95,0.94,0.849,0.984,195
6,1,55,0.885,0.873,0.77,0.952,18765
6,2,26,0.693,0.719,0.591,0.941,2447
6,3,19,0.778,0.79,0.67,0.941,2313
6,4,13,0.805,0.811,0.699,0.945,1139
6,5,28,0.935,0.928,0.826,0.99,948
6,6,7,0.954,0.942,0.856,0.984,193
7,1,55,0.894,0.883,0.768,0.952,18525
7,2,30,0.798,0.8,0.642,0.963,1465
7,3,19,0.772,0.796,0.678,0.962,2296
7,4,17,0.727,0.742,0.612,0.935,1049
7,5,13,0.804,0.805,0.691,0.914,1177
7,6,28,0.932,0.926,0.827,0.99,961
7,7,7,0.954,0.942,0.857,0.984,192
8,1,55,0.891,0.881,0.757,0.952,18563
8,2,30,0.792,0.799,0.625,0.963,1444
8,3,13,0.795,0.801,0.706,0.888,1559
8,4,17,0.716,0.745,0.634,0.919,978
8,5,13,0.787,0.802,0.697,0.943,1184
8,6,29,0.931,0.925,0.827,0.99,980
8,7,8,0.762,0.772,0.659,0.893,660
8,8,7,0.954,0.942,0.857,0.984,192
9,1,55,0.895,0.885,0.767,0.952,18437
9,2,30,0.806,0.805,0.627,0.964,1467
9,3,13,0.799,0.815,0.716,0.963,1455
9,4,14,0.738,0.75,0.657,0.899,730
9,5,13,0.781,0.799,0.686,0.914,1202
9,6,29,0.931,0.926,0.827,0.99,979
9,7,8,0.767,0.769,0.653,0.881,657
9,8,11,0.881,0.88,0.815,0.951,329
9,9,7,0.954,0.942,0.857,0.984,192
10,1,53,0.944,0.926,0.81,0.983,12669
10,2,46,0.924,0.925,0.854,0.99,5361
10,3,33,0.808,0.808,0.628,0.96,1585
10,4,15,0.806,0.831,0.713,0.963,1556
10,5,13,0.781,0.791,0.693,0.891,1223
10,6,14,0.74,0.749,0.641,0.881,744
