,k5_GEP1,k5_GEP2,k5_GEP3,k5_GEP4,k5_GEP5,k6_GEP1,k6_GEP2,k6_GEP3,k6_GEP4,k6_GEP5,k6_GEP6,k7_GEP1,k7_GEP2,k7_GEP3,k7_GEP4,k7_GEP5,k7_GEP6,k7_GEP7,k8_GEP1,k8_GEP2,k8_GEP3,k8_GEP4,k8_GEP5,k8_GEP6,k8_GEP7,k8_GEP8,k9_GEP1,k9_GEP2,k9_GEP3,k9_GEP4,k9_GEP5,k9_GEP6,k9_GEP7,k9_GEP8,k9_GEP9,k10_GEP1,k10_GEP2,k10_GEP3,k10_GEP4,k10_GEP5,k10_GEP6,k10_GEP7,k10_GEP8,k10_GEP9,k10_GEP10,k11_GEP1,k11_GEP2,k11_GEP3,k11_GEP4,k11_GEP5,k11_GEP6,k11_GEP7,k11_GEP8,k11_GEP9,k11_GEP10,k11_GEP11,k12_GEP1,k12_GEP2,k12_GEP3,k12_GEP4,k12_GEP5,k12_GEP6,k12_GEP7,k12_GEP8,k12_GEP9,k12_GEP10,k12_GEP11,k12_GEP12,k13_GEP1,k13_GEP2,k13_GEP3,k13_GEP4,k13_GEP5,k13_GEP6,k13_GEP7,k13_GEP8,k13_GEP9,k13_GEP10,k13_GEP11,k13_GEP12,k13_GEP13,k14_GEP1,k14_GEP2,k14_GEP3,k14_GEP4,k14_GEP5,k14_GEP6,k14_GEP7,k14_GEP8,k14_GEP9,k14_GEP10,k14_GEP11,k14_GEP12,k14_GEP13,k14_GEP14,k15_GEP1,k15_GEP2,k15_GEP3,k15_GEP4,k15_GEP5,k15_GEP6,k15_GEP7,k15_GEP8,k15_GEP9,k15_GEP10,k15_GEP11,k15_GEP12,k15_GEP13,k15_GEP14,k15_GEP15,k16_GEP1,k16_GEP2,k16_GEP3,k16_GEP4,k16_GEP5,k16_GEP6,k16_GEP7,k16_GEP8,k16_GEP9,k16_GEP10,k16_GEP11,k16_GEP12,k16_GEP13,k16_GEP14,k16_GEP15,k16_GEP16,k17_GEP1,k17_GEP2,k17_GEP3,k17_GEP4,k17_GEP5,k17_GEP6,k17_GEP7,k17_GEP8,k17_GEP9,k17_GEP10,k17_GEP11,k17_GEP12,k17_GEP13,k17_GEP14,k17_GEP15,k17_GEP16,k17_GEP17,k18_GEP1,k18_GEP2,k18_GEP3,k18_GEP4,k18_GEP5,k18_GEP6,k18_GEP7,k18_GEP8,k18_GEP9,k18_GEP10,k18_GEP11,k18_GEP12,k18_GEP13,k18_GEP14,k18_GEP15,k18_GEP16,k18_GEP17,k18_GEP18,k19_GEP1,k19_GEP2,k19_GEP3,k19_GEP4,k19_GEP5,k19_GEP6,k19_GEP7,k19_GEP8,k19_GEP9,k19_GEP10,k19_GEP11,k19_GEP12,k19_GEP13,k19_GEP14,k19_GEP15,k19_GEP16,k19_GEP17,k19_GEP18,k19_GEP19,k20_GEP1,k20_GEP2,k20_GEP3,k20_GEP4,k20_GEP5,k20_GEP6,k20_GEP7,k20_GEP8,k20_GEP9,k20_GEP10,k20_GEP11,k20_GEP12,k20_GEP13,k20_GEP14,k20_GEP15,k20_GEP16,k20_GEP17,k20_GEP18,k20_GEP19,k20_GEP20,k21_GEP1,k21_GEP2,k21_GEP3,k21_GEP4,k21_GEP5,k21_GEP6,k21_GEP7,k21_GEP8,k21_GEP9,k21_GEP10,k21_GEP11,k21_GEP12,k21_GEP13,k21_GEP14,k21_GEP15,k21_GEP16,k21_GEP17,k21_GEP18,k21_GEP19,k21_GEP20,k21_GEP21
k5_GEP1,1.0,-0.5209422393166437,-0.4235842836909433,-0.27667702475034744,-0.06177244535029079,0.9999449492021083,-0.5234038193395252,-0.42643232027360334,-0.2748445968855537,-0.06205230144440854,-0.10779545685348987,-0.5112879703951363,0.9459590288996731,-0.4185000624353837,0.3111148811076093,-0.27468441721061176,-0.04881884472810062,-0.11835025515492376,-0.5101605381387461,0.9455919226139431,-0.41790315313169507,0.31254747444860087,-0.25726363634618765,-0.04651425776919222,-0.11901361165094688,-0.11824180957759241,-0.510056855538553,0.8966496292499742,-0.41650794304697125,0.27054019183499906,-0.2559272320862376,0.5964536994313405,-0.055553463687435405,-0.1178382550818207,-0.11673982059504688,-0.41436421419769437,-0.41014446410297534,0.8665733100373677,0.6145529195356658,0.18808456511264252,-0.25128175888416227,-0.3418149049935559,-0.07153965060396507,-0.115982065605587,-0.10551550333381751,0.8485514451889308,-0.568732015205011,0.5848571791586108,0.14401849655668023,-0.35513651763356663,-0.18826393130928012,-0.09871896163385731,-0.2683708984061804,-0.32685993068573005,-0.2587051201984339,-0.33530343679802715,-0.47367149135876385,0.8666494729708242,0.618064630789798,0.18522978763688794,-0.36768455768886094,-0.24185796887019403,-0.3836780525456071,-0.07493074374686144,-0.11625261975250306,-0.14069476282261825,-0.253942682554197,-0.12828913574031942,-0.4141385967695543,0.8666301741245037,-0.3843490870593049,0.6169931424281896,0.19093062633265145,-0.31641185982441244,-0.23364249117768235,-0.07091321372186724,-0.23848126517478174,-0.13485309267820753,-0.10964715232080577,-0.13415254461482856,-0.09679250923970982,-0.4145251877796806,0.8658009142256997,-0.3845202300217551,0.6153611606395161,0.19079036870781713,-0.31613392748212293,-0.2338663995177921,-0.07173755556017712,-0.23820623293087603,-0.1349704325175742,-0.11043354923676095,-0.13631476448025173,-0.09683077640168444,0.060186559135389193,-0.41485585889882026,0.8653438693961669,-0.38445969428846133,0.19004379445383165,0.6125342758487782,-0.31682121506693517,-0.23369081766306307,-0.2384964131463603,-0.0644420259682454,-0.132212909695683,-0.11033670241201285,-0.1363584927439311,-0.09731672701572051,0.09856721599390811,0.06075646535476726,-0.45783104937210545,-0.38496089022053276,0.8470009413706678,0.18440090673065607,0.6123024012792802,-0.23815838022155608,-0.0843801967058226,-0.24742385755943683,0.7700102564882649,-0.156489886750425,-0.11501529709533187,-0.14152490420574151,-0.1721063488907575,0.05898628413478515,-0.06085909562385339,-0.0651658457272672,-0.5256540976275899,-0.3369342513016094,0.8413912423151301,0.574392274678262,0.742780530968953,-0.25468119803077194,0.17006075860916978,0.555697177867219,-0.28260025354559354,0.22412974401096192,-0.22577841196061801,-0.06901264244544768,-0.1582186792721139,-0.2192009901427436,-0.20118711019856195,0.029110999413905225,-0.03531404422771641,-0.47666211171153133,0.8629709852414587,-0.3694957901702773,0.6175034360562174,-0.2892346142005088,-0.08936840014662215,0.23669485476230318,-0.19693550070264146,-0.13781423830059936,-0.1429094923593935,-0.14531642746129905,-0.012109896206395517,0.06926608485801848,0.421145317420665,0.056497744555869756,-0.046951761735434576,-0.07136514948537716,-0.005679491801328025,-0.467677269365947,-0.4142516809769554,0.7815756652547039,-0.2209569418671136,0.6015231054896861,0.18181170953580816,-0.19737914658480565,-0.22968538600949132,0.7993375453445644,0.5511622537005838,-0.17086422183199862,0.5032103717754344,0.0440177818450282,-0.0472264830520284,-0.3379451855835279,0.007221082088404473,0.016749754892581414,-0.029846095921649586,-0.017526618594004995,0.7989713703651253,0.6020164761926995,0.1709130082599505,-0.44921588495558634,-0.36952570737983403,-0.15104516421246686,-0.3950576924451122,-0.23914220133160768,-0.08791081901113965,-0.23603591807027177,0.792326345569736,-0.28977918963788457,-0.29844757106370123,0.5633080033975949,0.0326631820594853,-0.13936506405652488,-0.03056722437500364,-0.07564963011319804,-0.01343948364410427,-0.055380771123065185,-0.4124021904880623,0.8146461902251547,-0.3919944787757362,0.607394555351492,0.20299694139925525,-0.27136368199334376,-0.07865971917886563,0.5860407901737084,-0.27250595031510055,-0.20211722186427855,-0.193758568368269,-0.129895344098274,-0.1512594941134856,-0.11602394208605389,-0.09403418022230073,0.052264736412596276,0.0661083246706725,-0.006475698923319599,-0.048925241847983365,-0.05322153430962441,-0.1017105838267689
k5_GEP2,-0.5209422393166437,1.0,-0.2523292353509907,-0.16371679018236127,-0.18695912430171546,-0.5220270984811362,0.9914023782195165,-0.2484043903357978,-0.16517638393841547,-0.18648595656205397,0.13493052011326007,0.9828386621782939,-0.4687877360331786,-0.25470578473562977,-0.2403067942045634,-0.1660363084868448,-0.18926883859036744,0.15183438272249009,0.9821468060984576,-0.4682720609189313,-0.25416137003223505,-0.2396268496774759,-0.1529914976758313,-0.18907002972641784,-0.06736303610035263,0.15253712342576722,0.9821453356586484,-0.4462518363101137,-0.25508067389086647,-0.22025791745526105,-0.15364732630814631,-0.3241495381552904,-0.18511055090100434,-0.06793685005351033,0.1515645653351994,0.8241387336592713,-0.26589816078759176,-0.43003384184145926,-0.3423691175111385,-0.1775384455109143,-0.1644429369003942,0.5985361210967954,-0.18192008772350665,-0.07537869701580799,0.13430778455873316,-0.34194078956660257,0.18109363101403456,-0.23736933555127204,-0.06581871936038687,0.1639493262178821,0.1042412851608353,-0.11888969087620199,-0.05799589622058682,-0.3214048553271885,0.4931012048056513,0.058769741459142585,0.9662729692042128,-0.4275349448678772,-0.3455745002557634,-0.16365000377417446,-0.22498397965043007,-0.14563341319379577,-0.23505534419590438,-0.17142721844501185,-0.059875924790009825,-0.06905029207953366,-0.11878369786381034,0.18808144523201661,0.7685600991912522,-0.43021050358222307,-0.24263278970418692,-0.3452582644695202,-0.17712774904729311,0.5522110668214826,-0.16036150659429008,-0.18214584793467092,-0.1478648996319364,0.37898150280770526,-0.07379440869958896,-0.0844186006257553,0.125530694896251,0.769319589680037,-0.42894514423078833,-0.2417559641326174,-0.34226495375891186,-0.176610264328356,0.5517531110435937,-0.16009981080462038,-0.1800329279347329,-0.14767980781393145,0.3790498109855208,-0.07214161798862612,-0.08005120439500504,0.1257456484289492,-0.09131109462523807,0.7695601383143912,-0.42844391805141857,-0.2415702574887164,-0.17613381018301194,-0.34045311428403535,0.552342057644248,-0.16034058514422905,-0.14766074532141432,-0.1813771238095497,0.3755351650722831,-0.07216224526828609,-0.08008973739379986,0.12679710624729482,-0.11190579122613963,-0.09147726288383594,0.8604444586155686,-0.24187707697195035,-0.415860419837635,-0.16512043323672024,-0.3409585153523355,-0.15218539247170684,-0.16569131873896245,-0.13173624687852503,-0.39501329666115786,0.42445365180764627,-0.06371827721259817,-0.06939261761553868,0.25750198082870623,-0.09131687987806644,0.07704671804612598,0.07907858482327387,0.023146633558253686,0.04446521002954266,-0.3561517623669221,-0.23075356455039525,-0.2475472336222802,-0.11943370208238471,-0.12834085812982862,-0.2566615861728114,0.5639600501518647,-0.28042180156225305,0.21870830766028498,-0.19787928828868065,0.02436370452086921,0.23088323352106885,0.6107392410593674,-0.026069424202114184,0.023317101882549,0.766063689138333,-0.42821557282642786,-0.27774396430143045,-0.3364184697308754,0.5183758888667233,-0.19093530056390115,-0.13097781824864294,-0.17229524403877786,-0.10383952947091188,0.364675115146405,0.17746564748859592,-0.2651775236923461,-0.20932325056906168,-0.2476940021345152,-0.09812059652162373,-0.07855848946054346,0.0002570582895393018,0.07600062232214774,0.7382226373903872,-0.23508928937254953,-0.37154308837405825,-0.09201782504412213,-0.3008941743137779,-0.15500599623410277,0.2725391092733486,0.5829287911255382,-0.37284515742517516,-0.3202676224476049,-0.18877631119057053,-0.35064515282421,-0.24079378863563836,-0.1578000401449535,0.39830069280429037,-0.09618811660501476,-0.16021040021660035,0.0453378612816265,0.022809369155806267,-0.37814339473467734,-0.33172024236314546,-0.1867134046956489,0.5352895486435115,0.6580905636483384,-0.06580791796451876,-0.2561640190379102,-0.1437414281731972,-0.17840097004716365,0.5871957962207184,-0.3843892630262432,-0.26831111813795033,0.5796456159073351,-0.30995018534134977,-0.09818232913323789,0.23240511611082323,0.06587124408986837,0.09477034124052815,0.028590656057517136,0.07122076234639658,0.7532494959143599,-0.3939489182851139,-0.23676794922072333,-0.33436785973377564,-0.17561795667959404,0.5233342990480546,-0.16660460260711432,-0.3025870883209281,0.3653980327792639,-0.1344328737459791,-0.14462760359910237,0.3648329768738394,-0.09668202534186238,-0.08979893055703919,-0.04827890495695695,-0.014586457487190759,-0.07542418626236959,-0.1582486368946972,0.08340308549859607,0.04636509786468596,-0.1690327785724301
k5_GEP3,-0.4235842836909433,-0.2523292353509907,1.0,-0.1930907725957525,-0.11677579439356045,-0.4228091759302011,-0.24393141429844756,0.998563510468685,-0.19404538696087203,-0.1165295406291737,0.06303400862337413,-0.25138110431306915,-0.3705412966573725,0.9972071397027272,-0.21969136434954106,-0.19278183925691528,-0.11760170463644397,0.062366498383984385,-0.25128037468073644,-0.3697191373084786,0.9969505514143929,-0.2193453225307607,-0.18179382721191548,-0.11790876047214165,-0.0764831802543336,0.06248624376183995,-0.2507352141276913,-0.3518776613115013,0.9968794767526594,-0.20775566222320033,-0.1826874736000553,-0.26720037656638884,-0.11533015767650875,-0.07720856528204538,0.062155516925220096,-0.2145724505745777,0.9970390007831995,-0.332907035459975,-0.27244856795217287,-0.16958656552768686,-0.17718886071540244,-0.13789257620864148,-0.10398756652795374,-0.07314528099634604,0.06636530280200963,-0.37434324109865336,0.7772902745560114,-0.31999319606391835,-0.20940012873925706,-0.26305273061601414,-0.1316342528682699,-0.12530496321663423,-0.1930122252408328,0.9207085454671528,-0.057248003146741125,0.5387153795414431,-0.26954111431004063,-0.3339682332019472,-0.27474706654709324,-0.17720533545430686,0.8696787772584823,-0.17401657978822546,0.919856621904142,-0.10862053441570818,-0.07858794764320041,-0.10111460802783458,0.5895500489617851,0.040685582008087154,-0.20282229038771424,-0.3323893522413107,0.9158047450042112,-0.27460508326249095,-0.17210790539934684,-0.12767766064412522,-0.16893500784657486,-0.10388238385653888,0.5984458874738283,-0.10729167986539805,-0.07390605280433596,-0.09566710252181387,0.06221872024583513,-0.2025817102204859,-0.33194402212016927,0.9158375543105769,-0.2738162616065479,-0.17215288127874392,-0.12749274994433543,-0.16892524796022665,-0.10361949809528288,0.5978482211282135,-0.10729149176485689,-0.07352106557077052,-0.09428700440894276,0.062276696162960735,-0.03610637336883869,-0.2023528022935445,-0.3317275502407402,0.9155839675785613,-0.17171615903036966,-0.2727510665520341,-0.12714628257012522,-0.1689101547206062,0.5984498303052274,-0.1061163976287606,-0.10699823355965704,-0.07352302847015661,-0.09431801813825844,0.06223284275249208,-0.0737481721228859,-0.03653796749831942,-0.2355181021711989,0.9147024351587708,-0.32925844070496313,-0.17502140062662783,-0.2709235528659209,-0.17114850042979127,-0.10374620284081498,0.5957250173821889,-0.28337436923775944,-0.11896422976859859,-0.07568648412848517,-0.09733201632949481,0.03481362026675998,-0.03514075676912183,0.0340634796038768,0.05086435104316634,0.8656290708530827,-0.25769050229712237,-0.35907858704814516,-0.3113603572723117,-0.3767341207106871,0.5956255388702721,-0.16932422664373253,-0.29511280253717,-0.09808153863511634,-0.161920299353861,-0.1680070530653571,-0.0913418864129291,-0.10987195639678732,-0.20273867088962386,-0.3483294012644879,-0.061508507013666905,0.047729032938659426,-0.16765709426475475,-0.33283730266117734,0.9576126129148745,-0.26813032650122565,-0.15719529483681577,-0.11114298171283926,-0.27055646454474425,-0.11563718341122801,-0.08032189857352634,-0.04082863154777275,0.10186105306683399,0.3017568976587953,-0.1275742432798432,-0.21774057151121728,-0.07240834756736854,0.2946343697376616,0.061906932420916376,-0.05200660028127268,-0.23277111418427512,0.956663467985589,-0.33640592471444497,-0.11350722722927033,-0.2540040013787747,-0.23842726617462578,0.08808788496219752,-0.18086748346622017,-0.3091195405815136,-0.20984476838960645,-0.10334568158330752,-0.29045661547932744,0.08802038656928092,-0.09701132417918841,0.19782227209848438,-0.009287015960409371,0.2577665029163,-0.03766639913012952,0.009210553418873203,-0.32743333268861474,-0.2727459963876857,-0.1393043348901521,0.14732908097424718,-0.20897360278831636,-0.08240552492424359,0.9440575062429113,-0.16207426487523693,-0.09956628498316596,-0.1851988939488243,-0.3008826746658265,0.8330048014968623,-0.19771460640558133,-0.20251720712225,-0.009951924841187251,0.06277246593929187,0.03346193315330022,0.045749417819948276,-0.012103119184915507,0.028527287742401715,-0.20423051581967205,-0.31090591113835103,0.9267947734442349,-0.263082870232019,-0.15046196879010273,-0.1683256492383694,-0.11343485336728283,-0.21626783283374015,0.0787497037616729,0.5304918314606825,-0.15430749334690472,-0.08136291912461036,-0.09996067640816751,-0.05047992433309055,-0.06394429335025853,-0.21549415662838092,-0.03367734981330146,-0.05630734833988239,0.02001005444220138,0.04956376310519437,0.06915084516953655
k5_GEP4,-0.27667702475034744,-0.16371679018236127,-0.1930907725957525,1.0,-0.045189994312692806,-0.27653247124607977,-0.1592235250090334,-0.1924179610969055,0.9998388286018547,-0.04583191362348573,-0.07667368985953113,-0.1538740645126675,-0.2789132679686175,-0.19196142281269923,-0.02475011605844309,0.9995415949671881,-0.058206719390637235,-0.08161498886183477,-0.15394938984884257,-0.2796588202955784,-0.1927949647117889,-0.02752095801346908,0.9466815211696352,-0.06035801751933575,0.3695723329834673,-0.08250094388149355,-0.15393926268364316,-0.2532783986328281,-0.19361478549627398,0.0022687445641701035,0.9465117602960825,-0.20431864412903084,-0.053562598805048885,0.3690892740166245,-0.08345577366999377,-0.12968549837161125,-0.18980767117641584,-0.2413935371785236,-0.20490684593455633,0.03140536766298471,0.946916426011393,-0.08362883159847057,-0.044734169814286566,0.37111161211073973,-0.08105347806275369,-0.2724977959291787,-0.27034424041100225,-0.23607937563035916,0.0025769445161014544,0.761894936665395,0.322923193085154,-0.06191211789519727,0.8524972917837036,-0.1532685188732248,-0.1582145466811935,-0.1653367251604855,-0.1583976086524766,-0.24429356721894582,-0.20327755186003063,0.027038789671741937,-0.1723216284787119,0.9001960513417078,-0.17613266384462956,-0.048505885351654,0.35784967998245937,0.485025855227993,-0.12477301144426613,-0.08882161171115285,-0.08432345713562081,-0.24274044594176394,-0.17596664217660168,-0.2039089604230708,0.02950577906235324,-0.07629032350689831,0.9005483146783115,-0.04554919900009158,-0.11840785065902645,-0.12254370735425593,0.359722642665057,0.48772358571254415,-0.08099944525897121,-0.08405260256437957,-0.24216458388314935,-0.17545937103165152,-0.20289500877541874,0.02981392029317871,-0.07641945528383616,0.9004985423313203,-0.0447020434096005,-0.11827633477465242,-0.12255553039721996,0.360158448991798,0.48890428744580117,-0.08079765640150309,-0.006953725221457372,-0.08349938129271699,-0.24205489184440085,-0.17539187186229688,0.030155838562483887,-0.2027057871586836,-0.0759177766463109,0.9005510698605614,-0.11841613734149352,-0.04753314601410227,-0.12335613705526813,0.3597250996632759,0.4889315416878497,-0.08128128127067667,-0.03536208961102084,-0.007007891333282328,-0.09630382175626982,-0.17390600804404596,-0.24362205363833841,0.02751919248343083,-0.20253887584231517,0.8994355970121375,-0.04451204344631689,-0.12263873389701077,-0.1966631227312127,-0.1367566759551657,0.35807273663989764,0.48622494116129683,-0.11482057573195924,-0.006949861442435176,-0.03391207789296759,-0.0510419259256409,-0.23348891840945526,0.9100938496067306,-0.257180854008162,-0.22848986928792178,-0.2528158814250552,-0.12686676974095168,0.0074557619970939395,-0.20302581447274384,-0.16784402531256795,0.08962662047935309,0.2823304195300715,-0.029872983911538614,0.3542063569074046,-0.12948806907594246,-0.1263255546855786,-0.012086150869599039,-0.0191651503682546,-0.00893072071213591,-0.23555909878393047,-0.17208454017199623,-0.214314846268895,-0.026103525350206994,0.018650245915934217,0.03766663920092491,0.795221014827595,0.47624175720227063,-0.1792002192960438,-0.13246200293254312,-0.09298349556902004,0.21631145236042268,-0.10040682835315784,0.06978286258583759,-0.26226297179066194,0.040580632986973654,-0.007541618431146968,0.08718859634860585,-0.14971222437147855,-0.17221450329422192,0.6647264875412862,-0.2606101444071673,0.12835632021527693,-0.15922871534835836,-0.15053988349885275,-0.25143701578871563,-0.0969204275345703,0.2503619381123468,0.029765698998691525,0.01673400912515899,-0.09570979649098178,-0.20818152850309232,0.06478635586441994,-0.2535183600273792,0.057008222127364845,0.0017496731657049747,-0.21499646389067542,-0.19664954769340154,0.03491133468132513,-0.17236885722097964,-0.009747184553435847,0.4382652905771338,-0.14828963849460305,0.891248869999067,-0.02519048209519192,-0.13928042065259152,-0.2306565130621842,-0.1650790304654816,-0.059191524697256116,-0.1487400548225971,0.018882581354958385,-0.142857892489449,-0.07923906707761252,-0.06378045713287399,0.015023228278615368,-0.028241523589867718,-0.06076626158159054,-0.23768717114952304,-0.1912233093222762,-0.2133236446745206,-0.005195813631562886,-0.05203197799419141,-0.03847577812952867,-0.171635102725974,-0.15356197242721586,-0.10268709973668622,0.8022758131359337,-0.1478824619332063,0.5561572314522728,0.368107995682609,0.29236341934531646,0.0677105026401306,-0.043405391049415126,0.24638331356035376,-0.055169637483007766,-0.02119221309532072,0.32687686834257634
k5_GEP5,-0.06177244535029079,-0.18695912430171546,-0.11677579439356045,-0.045189994312692806,1.0,-0.060855060252319605,-0.1885414678998665,-0.11792711102770483,-0.04385939990046402,0.9999839121320434,-0.020018935718043095,-0.19034406871148654,-0.08718067052493556,-0.11832319056089977,0.06169745022281898,-0.03806169186626791,0.9984556903184293,-0.019451103725453542,-0.19203312397725864,-0.0880824138225868,-0.11949920744761629,0.059292792005859934,-0.05759430881376632,0.9958204288622532,0.06528613883094884,-0.020534982376954246,-0.19304611710545763,-0.09571782295025051,-0.11923181467718409,0.044399565588403016,-0.0570607643020485,0.08550984490491793,0.9930754702534997,0.06615132040989383,-0.019754619985951672,-0.19876178649152826,-0.11591654330907196,-0.11022408590184093,0.09221263837809361,0.028979184443293005,-0.056014374686237434,-0.06565402187881798,0.9895003394526041,0.06711440729284769,-0.024087479230727838,-0.13027340647471372,-0.18875530698148915,0.075052367209079,0.011593173786503033,-0.10702286301217345,0.03913991901998057,0.9866395771696717,-0.05865353177070308,-0.08942873915353382,-0.08247990854266633,-0.08918468062756288,-0.20298791774235642,-0.10900116473905841,0.09315136562614362,0.028616690771556305,-0.112760343455679,-0.04468981197698527,-0.10573541883250474,0.9894789149776634,0.0687469783249873,-0.05133844853347786,-0.05819295734342546,-0.027589805963511047,-0.18037324124297166,-0.1087856971247843,-0.11486447660792666,0.0947551258248548,0.030108810564826144,-0.0584556351407789,-0.04239478957762876,0.9890622903772869,-0.05276180387833032,-0.07776112686708286,0.07132131491878252,-0.04755195405769611,-0.021251301313967783,-0.1815958961435213,-0.11075306982607293,-0.11665608016154866,0.09029387632784895,0.029160531961329176,-0.0584369519512009,-0.04244154514362574,0.9860767001146534,-0.052793756280263206,-0.07770236141185555,0.06888952922433024,-0.05405806879005891,-0.02180621353826892,0.12158967724830723,-0.18275524247033026,-0.1115230893313753,-0.11692356001010715,0.02855960873818169,0.08962402400488563,-0.059851853347720425,-0.04260489099353211,-0.0533036931003345,0.977624509691245,-0.07600813901155308,0.06926239554733386,-0.05385542804871643,-0.022266642903503733,0.2484603361039725,0.12127215099468786,-0.18668400631053547,-0.11565490150892958,-0.09340109647470668,0.02934725217540357,0.08704913365825816,-0.042979986630639046,0.9850814552629528,-0.05395675939614447,-0.12893126707646366,-0.0774342728276472,0.06962982732941672,-0.054172138391803126,-0.032221291965376424,0.12304229091354801,-0.009902885464993379,-0.02115347100129673,-0.17298462361304126,-0.08841730871540748,-0.1382681938556941,0.05472940907437248,-0.09869331963470833,-0.057642608874062744,0.007781202245388578,0.09110058511773647,-0.09387155878771207,0.06850492534691993,0.021172181731982546,0.9716739537939595,0.038168542510500246,0.7299641884135931,-0.0941077689871869,0.11082238446172424,-0.003617058219323962,-0.20144434954775586,-0.11137773454486331,-0.11281405489726666,0.07350243178394661,-0.06191286731794057,0.977388190183821,0.020299504492978116,-0.09629145175071205,0.05184417888347831,-0.0792847747521055,-0.03270405294720592,-0.02440103956003833,0.061825651358143045,0.11262828541989216,0.11134199181586424,0.05178489331918203,-0.0023713554862026497,-0.0060164770845168815,-0.1496395565198754,-0.1357149615623605,-0.133374874737163,0.00529614893025257,0.07051269871370275,-0.0008473879653973557,-0.05619988136645158,-0.1305898160636963,-0.10164553710509021,-0.05445751886809157,0.7773053005331889,0.07891473876968796,0.03231330928667929,0.9379633024059546,-0.12632737215154083,0.09692497044178719,0.021714312971397615,-0.0018190333003336064,-0.0023374389469126406,-0.1161124085635265,0.0850053071986769,0.022787392071139403,-0.14294108755097237,-0.1147358933068809,0.05025245833662679,-0.13545083515906897,-0.07761139195401844,0.9837342826455469,-0.12884596030514178,-0.10845140024601654,-0.07713315530042991,-0.05445643143389911,-0.04307365216879814,0.11140638431751759,-0.06031796197747763,0.001972172970993545,-0.01987591808954987,0.005193641107240272,-0.012249438719764694,-0.18366975009717493,-0.11330807415795145,-0.10019365991014749,0.08596940889458529,0.008062357780583148,-0.05755490418703951,0.9847805355702888,-0.04927935528413905,-0.05994444457592978,-0.05834274393089981,-0.05264864447341758,-0.07172394267435932,-0.06172225142828315,0.053435186182489575,0.06305616782550104,0.11766890190449075,0.1275642380904482,0.04672779768040141,-0.016667456769799954,-0.010076502105481326,-0.04048631093243898
