NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JCHAIN	1	0.004807679448276758	0.3142476	Yes	
row_1	IGHA1	7	0.002989398315548897	0.50876456	Yes	
row_2	IGHG1	38	0.0011355571914464235	0.5769989	Yes	
row_3	IGHA2	53	8.4631924983114E-4	0.6295354	Yes	
row_4	IGHD	55	8.314332226291299E-4	0.68371445	Yes	
row_5	IGHM	74	6.189155392348766E-4	0.7205725	Yes	
row_6	IGHG3	86	5.153781967237592E-4	0.7520674	Yes	
row_7	IGHE	225	5.5032251111697406E-5	0.7278946	No	
row_8	RNASE7	389	2.483404841768788E-6	0.6952536	No	
row_9	WFDC12	531	-8.041240107559133E-6	0.66740364	No	
row_10	VIP	637	-1.672730104473885E-5	0.6473667	No	
row_11	SPRR2A	649	-1.8149854440707713E-5	0.6463401	No	
row_12	KLK5	792	-2.7721524020307697E-5	0.61957604	No	
row_13	WFDC3	848	-3.191626092302613E-5	0.6105949	No	
row_14	WFDC5	1237	-5.7857523643178865E-5	0.536295	No	
row_15	CTSG	1332	-6.438735726987943E-5	0.521589	No	
row_16	KLK7	1468	-7.381293107755482E-5	0.49924833	No	
row_17	DMBT1	1570	-8.112024079309776E-5	0.48422801	No	
row_18	DEFB1	1670	-8.70764852152206E-5	0.46999976	No	
row_19	ADM	1924	-1.0363545879954472E-4	0.42586243	No	
row_20	MMP7	1940	-1.0506749822525308E-4	0.4297157	No	
row_21	SPON2	1953	-1.0596161882858723E-4	0.43423122	No	
row_22	LTF	2312	-1.3302068691700697E-4	0.3708848	No	
row_23	PI3	2323	-1.3371321256272495E-4	0.37761793	No	
row_24	SPINK5	2626	-1.605501602170989E-4	0.32734197	No	
row_25	SLPI	3015	-2.0384220988489687E-4	0.26259026	No	
row_26	EVPL	3354	-2.448529121465981E-4	0.21058325	No	
row_27	WFDC2	3441	-2.553369849920273E-4	0.2099764	No	
row_28	CAMP	4223	-4.2162564932368696E-4	0.08037858	No	
row_29	PLA2G6	4493	-5.597919807769358E-4	0.062856436	No	
row_30	RNASE6	4558	-5.928208702243865E-4	0.08875035	No	
