NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_ERAD_PATHWAY	GOBP_ERAD_PATHWAY	Details ...	19	0.9288499	2.3331892	0.0	0.0	0.0	65	tags=58%, list=1%, signal=58%	
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	Details ...	26	0.77322644	2.2720683	0.0	0.0	0.0	65	tags=27%, list=1%, signal=27%	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	Details ...	31	0.7520674	2.2183099	0.0	3.3020345E-4	0.001	86	tags=23%, list=2%, signal=23%	
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	Details ...	29	0.78483105	2.2140849	0.0	2.4765258E-4	0.001	65	tags=28%, list=1%, signal=28%	
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	Details ...	42	0.69869655	2.1515534	0.0	0.0016765548	0.008	65	tags=21%, list=1%, signal=22%	
GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	GOBP_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	Details ...	65	0.58849597	2.127593	0.0	0.0024214613	0.014	65	tags=20%, list=1%, signal=20%	
GOBP_RENAL_FILTRATION	GOBP_RENAL_FILTRATION	Details ...	20	0.77586615	2.0979178	0.0	0.0035652253	0.023	53	tags=15%, list=1%, signal=15%	
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	Details ...	84	0.5362126	1.939814	0.0	0.023693776	0.154	167	tags=12%, list=3%, signal=12%	
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	Details ...	102	0.48927367	1.8412492	0.0	0.061474927	0.402	101	tags=13%, list=2%, signal=13%	
GOBP_RENAL_SYSTEM_PROCESS	GOBP_RENAL_SYSTEM_PROCESS	Details ...	60	0.470845	1.6867864	0.0	0.23707671	0.875	102	tags=7%, list=2%, signal=7%	
GOBP_PROTEIN_FOLDING	GOBP_PROTEIN_FOLDING	Details ...	32	0.5347346	1.6842109	0.0	0.21996352	0.881	65	tags=16%, list=1%, signal=16%	
