NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_B_CELL_DIFFERENTIATION	GOBP_B_CELL_DIFFERENTIATION	Details ...	73	-0.63137704	-1.660734	0.0	0.054391164	0.548	746	tags=58%, list=15%, signal=67%	
GOBP_INTERLEUKIN_12_PRODUCTION	GOBP_INTERLEUKIN_12_PRODUCTION	Details ...	40	-0.6657625	-1.653131	0.0	0.059635174	0.61	706	tags=38%, list=14%, signal=43%	
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL	GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL	Details ...	40	-0.66229695	-1.6469702	0.0	0.06449525	0.658	610	tags=28%, list=12%, signal=31%	
GOBP_MYOBLAST_FUSION	GOBP_MYOBLAST_FUSION	Details ...	20	-0.73030895	-1.6452472	0.0	0.06356191	0.673	407	tags=30%, list=8%, signal=33%	
GOBP_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	Details ...	27	-0.69636315	-1.6416909	0.0022883294	0.06430363	0.695	881	tags=56%, list=18%, signal=67%	
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	Details ...	48	-0.6483709	-1.6317176	0.0	0.074415565	0.763	1051	tags=58%, list=21%, signal=73%	
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION		63	-0.6194914	-1.6310186	0.0	0.0715335	0.771	1067	tags=43%, list=21%, signal=54%	
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		35	-0.66074336	-1.6304644	0.0	0.06923273	0.779	856	tags=43%, list=17%, signal=51%	
GOBP_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE		27	-0.7002817	-1.6300755	0.0	0.06661362	0.784	658	tags=37%, list=13%, signal=42%	
GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE		29	-0.69025844	-1.6293837	0.0	0.064582795	0.788	658	tags=34%, list=13%, signal=39%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION		28	-0.6908706	-1.6291384	0.0011325028	0.06227944	0.789	706	tags=39%, list=14%, signal=45%	
GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY		22	-0.7192521	-1.627354	0.0	0.06198988	0.797	1084	tags=73%, list=22%, signal=92%	
GOBP_T_CELL_PROLIFERATION	GOBP_T_CELL_PROLIFERATION		120	-0.5842577	-1.6267589	0.0	0.06020939	0.801	1058	tags=43%, list=21%, signal=53%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION		47	-0.6495271	-1.6252451	0.0	0.059088007	0.808	590	tags=34%, list=12%, signal=38%	
GOBP_MAST_CELL_ACTIVATION	GOBP_MAST_CELL_ACTIVATION		45	-0.6430712	-1.6243874	0.0	0.058423553	0.814	856	tags=42%, list=17%, signal=50%	
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION		136	-0.57770383	-1.6224867	0.0	0.058797486	0.824	1067	tags=41%, list=21%, signal=51%	
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		165	-0.56606793	-1.6224247	0.0	0.05690079	0.824	881	tags=42%, list=18%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION		35	-0.6650634	-1.6218681	0.0011025359	0.055682227	0.827	825	tags=54%, list=17%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY		22	-0.7088446	-1.6196704	0.0	0.056408755	0.837	674	tags=50%, list=13%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION		33	-0.67095107	-1.6187497	0.0	0.056066893	0.843	825	tags=55%, list=17%, signal=65%	
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		144	-0.57245404	-1.6141403	0.0	0.060150586	0.87	989	tags=40%, list=20%, signal=49%	
GOBP_CYTOSOLIC_TRANSPORT	GOBP_CYTOSOLIC_TRANSPORT		16	-0.7347078	-1.6135741	0.0046242774	0.059114814	0.875	678	tags=50%, list=14%, signal=58%	
GOBP_B_CELL_PROLIFERATION	GOBP_B_CELL_PROLIFERATION		59	-0.62794137	-1.6130024	0.0	0.05802865	0.876	691	tags=53%, list=14%, signal=60%	
GOBP_LEUKOCYTE_PROLIFERATION	GOBP_LEUKOCYTE_PROLIFERATION		191	-0.56723803	-1.6123803	0.0	0.057078227	0.878	1067	tags=45%, list=21%, signal=55%	
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING		21	-0.7007933	-1.609733	0.0056306305	0.058037836	0.885	691	tags=48%, list=14%, signal=55%	
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT		130	-0.56992054	-1.6085881	0.0	0.05782995	0.891	610	tags=24%, list=12%, signal=26%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION		147	-0.5697303	-1.6085461	0.0	0.05651648	0.891	830	tags=44%, list=17%, signal=51%	
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS		35	-0.64809245	-1.606135	0.0033632286	0.057470523	0.906	1015	tags=46%, list=20%, signal=57%	
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION		201	-0.5543111	-1.6008452	0.0	0.06237831	0.924	752	tags=37%, list=15%, signal=42%	
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS		82	-0.5943679	-1.59962	0.0	0.062610395	0.926	1031	tags=41%, list=21%, signal=51%	
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION		158	-0.5623392	-1.5995659	0.0	0.061263327	0.927	1067	tags=46%, list=21%, signal=56%	
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION		72	-0.5996028	-1.599302	0.0	0.060147993	0.927	1276	tags=51%, list=26%, signal=68%	
GOBP_LYMPHOCYTE_ACTIVATION	GOBP_LYMPHOCYTE_ACTIVATION		407	-0.5388697	-1.5975538	0.0	0.06083571	0.934	1071	tags=46%, list=21%, signal=54%	
