label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,k,gep
k5_1,-2.0865883367789198,19.646987573379565,-27.365105048897085,-15.440739989856233,-2.159850685475741,-4.902677980874619,-1.5709884439241568,-7.3177923935298015,-3.2490294773681034,-0.35678360835985373,5,1
k5_2,6.9792124846129795,8.23918568685351,17.30854300364403,20.69475928318655,5.840108205774096,-16.903294236645028,7.467256422629278,-3.49021457812477,-0.9651304157873529,2.2773314783216208,5,2
k5_3,0.17549180438604145,-5.8889238851067445,24.849357736884603,-14.126837346420084,-18.308163439171356,3.4818388461043566,-17.844703266471928,3.333115937071099,-4.987065506457445,-2.8340443751453814,5,3
k5_4,13.2779341817024,-9.696653995502691,-5.653434525225017,17.553440922728367,1.8642516006917549,20.037877488610324,-0.002451066743353053,-2.8303234517833564,-2.254332872824759,-8.45035791701189,5,4
k5_5,1.305246730882325,4.071346626925697,-1.627468522889302,-2.9674485443313534,6.365938765014659,8.475697013362609,8.321990756160261,22.273455651756585,17.26920370958567,-3.591185199750247,5,5
k6_1,-2.18285412912258,19.680787572445325,-27.57528634788792,-15.58845977757056,-2.1662809120536126,-4.910598675384099,-1.6533731734821904,-7.322513262183196,-3.135487828486792,-0.2202446027249213,6,1
k6_2,7.513142292618835,8.494619554830274,17.957868030163358,21.123575200889565,5.764772910028985,-17.06555582837443,8.214606519062814,-3.5620390832550077,-2.0947718801572908,0.8908527487259705,6,2
k6_3,0.45607891074168366,-5.7846586753846525,25.254835031780633,-14.025687752670855,-18.421240001347563,3.456197912211324,-17.499187927741325,3.3133520184013387,-5.629125176232571,-3.599764952870614,6,3
k6_4,13.19494854417248,-9.761405990497503,-5.757933664701993,17.52328946766936,1.9056308676620586,20.107363268767045,-0.10854989978301824,-2.817541362104697,-2.0660423816313047,-8.193059371930127,6,4
k6_5,1.3283365350313463,4.103771016649035,-1.5963101440954173,-2.981810866796875,6.370446587610908,8.4796100750832,8.40074713012095,22.34387439402899,17.252403037806584,-3.693095826570249,6,5
k6_6,-2.7845625686775977,1.0383967171764947,4.978090990214878,2.6910960904670844,-0.0981870483906849,-6.170113306674359,-9.870039504838836,-0.23313151708722263,13.115068735711654,17.392331784361815,6,6
k7_1,8.489178443566702,9.194891209725249,18.269073284835603,21.756679575966523,5.98604185063231,-17.398105775395084,8.902787780230936,-3.895204786420855,-2.8296261026060607,0.14379430870733922,7,1
k7_2,7.660727000383949,29.48322335485269,-30.34407480482453,-17.62575490629062,-2.6441341881764746,-4.361696647306798,-4.21168827481822,-13.779353181909734,0.364365718521822,-1.1106104767400242,7,2
k7_3,1.2202633607799787,-5.425001655554777,25.712982962493736,-14.645903604184976,-18.97324686729068,3.807971221419782,-17.90121793948104,3.171611868157365,-5.869917686695574,-4.023372059514389,7,3
k7_4,-35.70519730918607,-15.052547276337908,-15.374248033139486,-6.778826710722811,-0.04925250292886838,-5.350374636462531,5.8574656394269375,12.140375338957192,-13.968510647652463,2.968726221616988,7,4
k7_5,14.051494088996508,-9.294442467809771,-5.7775422229024835,17.652170485619536,1.9312694774029198,20.499054887442202,-0.150582628231134,-2.916146497501637,-1.7813092452398744,-8.25828497637327,7,5
k7_6,2.0548003512722213,4.814795603458649,-2.1600605805790147,-3.581306495851946,6.199925756597356,7.623133349422081,8.478441974389229,23.319154843007,18.67384428486193,-5.049729018567093,7,6
k7_7,-2.254900413830273,1.4144892824627133,5.746555263297419,3.4342032489137977,0.17565634555367932,-6.156400209965043,-10.394634885941691,-0.24955237550366657,15.150183318659586,19.477985121566782,7,7
k8_1,8.415641119589846,9.050732611339914,18.229343312824895,21.839194217204053,5.859989827746406,-18.047730694156108,8.82196756969769,-3.7709133392474077,-2.406757930557367,-0.5854468232113268,8,1
k8_2,7.6021239008005566,29.498614402076598,-30.537505703724154,-17.74311357832466,-2.7642500481249557,-4.714248383980917,-4.332040418801764,-13.756199611516038,0.6380013144661989,-1.4984423980093695,8,2
k8_3,1.1122938592294032,-5.610088026364148,25.702711166306294,-14.764569316190173,-19.200139104181083,3.3018998107067565,-18.103217493425134,3.3224748384339646,-5.500378411111629,-4.678956606976944,8,3
k8_4,-36.43398339263198,-15.576156225243766,-15.798998112119058,-7.008805733309432,-0.34834557575301306,-6.428321587994264,5.701340277011749,12.555240678335151,-13.395231994333582,1.781116030252978,8,4
k8_5,13.78793707566769,-12.658257580592817,-8.01042035395624,18.759339031838536,0.016061779864774254,15.988934082871433,-1.785708665803549,-1.34863207560923,3.2740076796214495,-17.429464467737613,8,5
k8_6,1.8855062187673415,4.637562260900912,-2.4174081226852597,-3.7032289422828506,5.901639450517639,6.688213857951438,8.265466150007118,23.56966817767649,19.34638943338452,-6.219197223362308,8,6
k8_7,12.87027735682986,4.254089070591575,3.0678003985306614,11.566503322855826,7.929881086960395,32.08102020294291,5.5629380777497275,-7.248057143560801,-18.25634374459513,23.863678868870736,8,7
