,1,2,3,4,5,6,7,8,9,10,11,12
1,-0.2883742047256433,0.9951325143181017,0.1886748617393123,-0.08006581687291513,-0.3296233794213977,-0.2154686941982398,-0.3211469367824686,-0.08416945448481854,-0.13474852627589132,-0.15561601202442588,-0.2086893533529982,-0.1101966452628825
2,0.19609630035819825,-0.44834147764446314,-0.3765360559297353,-0.2576972139432915,0.9090408873198421,-0.22878282379075404,0.6261435841710911,-0.1669348368864644,-0.1509607016736479,-0.1473775637193615,0.20112398930452569,-0.056499131708669256
3,-0.19855688552253106,0.17865367380716893,0.992493108285845,-0.001205177618987004,-0.28169512243421607,-0.19284115373420213,-0.28283310585335975,-0.02112573405138414,-0.11581408555179155,-0.12906606674595236,-0.19091922057326105,-0.10418641706071101
4,-0.10309525564656216,-0.09424251107031031,-0.010007536614044603,0.9945431249036726,-0.20289327016603093,-0.03390341324921804,-0.21977401960953866,0.005341087680018499,0.010072438942719326,0.005895719296565025,-0.12977123556344766,0.017475009193
5,0.1721911301507158,-0.3033452042535487,-0.257690034905625,-0.028137585442406958,-0.249654859858319,0.6509542731272944,-0.2191911344523435,-0.07738275661979459,-0.044957087782220954,0.7815467185666528,-0.14672012037715512,-0.08309496385733559
6,0.07225183776205692,-0.17501983572728236,-0.14554253153295355,-0.006936797523166213,-0.13913052948160187,0.013855765807860757,-0.1328157921986573,-0.03541718314107674,0.9842053387909886,0.027441437316863652,-0.07623179845811157,-0.046396377286643094
7,-0.12978732713479357,-0.08490328136057297,-0.018036288792554867,0.00907866453467787,-0.11870258448736161,-0.028824073878427885,-0.1053253010080403,0.9983084390785958,-0.01570494751905604,-0.061188139126479094,-0.06562064802160208,-0.03178243168370903
8,-0.030045510366007316,-0.20895346803562917,-0.18189206306023062,-0.047488017535987866,-0.17158724730696412,0.9791661151340216,-0.1554397291015396,-0.03579018545256966,0.047544211549149756,0.11715804631934798,-0.11185957262243469,-0.057999901946635735
9,-0.323145868879851,-0.24402758706318053,-0.2085124729368443,-0.17306671066785342,0.6988839811597087,-0.12562871999126504,0.9944342283259068,-0.07975983791043816,-0.07512772366310713,-0.08986010687157395,0.4808322551803703,-0.010975747920978265
10,0.30166949245095903,-0.20382592344537373,-0.18038763047428466,-0.038248546000661784,-0.14440902807575845,-0.10846040995673423,-0.0785363309307115,-0.07743190895441703,-0.0793034543517077,-0.09550474473261776,0.027035249696101514,0.9435055240448542
11,0.03549627512943947,-0.2546712361711403,-0.22195425871378574,-0.14870744229252003,0.193116550059223,-0.13347469346425625,0.45187036023381455,-0.08643365888236575,-0.0777609987345938,-0.09858963786826774,0.98181456180438,0.03621100238467895
