K,GEP,program_id,gep_col,top1_celltype,top_celltypes,celltype_gap
3,GEP1,K3_GEP1,1,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (100%), Tumor/Epithelials (63%), Fibroblasts/Stromal (30%), Endothelials (6%)",0.329794762915782
3,GEP2,K3_GEP2,2,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (51%), Bcells_CD19 (23%), CD4+Tcells (14%), CD8+Tcells (14%)",0.09129511677282379
3,GEP3,K3_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Endothelials (0%), Fibroblasts/Stromal (0%)",0.9957537154989384
4,GEP1,K4_GEP1,1,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (52%), Bcells_CD19 (24%), CD4+Tcells (14%), CD8+Tcells (14%)",0.09271054493984432
4,GEP2,K4_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (0%)",0.97310686482661
4,GEP3,K4_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Fibroblasts/Stromal (0%), Endothelials (0%)",0.9943382873319179
4,GEP4,K4_GEP4,4,Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials,"Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials (97%), Fibroblasts/Stromal (73%), Endothelials (18%), Tumor/Epithelials (6%)",0.5506015569709838
5,GEP1,K5_GEP1,1,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (64%), Bcells_CD19 (23%), CD4+Tcells (22%), CD8+Tcells (20%)",0.010615711252653925
5,GEP2,K5_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (0%)",0.97310686482661
5,GEP3,K5_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Endothelials (0%), Fibroblasts/Stromal (0%)",0.9936305732484076
5,GEP4,K5_GEP4,4,Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials,"Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials (99%), Fibroblasts/Stromal (76%), Endothelials (18%), Tumor/Epithelials (6%)",0.5739561217268223
5,GEP5,K5_GEP5,5,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Endothelials,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Endothelials (58%), Tumor/Epithelials (33%), Mac_C1Q_ZEB2 (15%), Endothelials (10%)",0.17197452229299365
6,GEP1,K6_GEP1,1,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (64%), Bcells_CD19 (23%), CD4+Tcells (22%), CD8+Tcells (20%)",0.013446567586694963
6,GEP2,K6_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9709837225760792
6,GEP3,K6_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Endothelials (0%), Fibroblasts/Stromal (0%)",0.9922151450813872
6,GEP4,K6_GEP4,4,Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials,"Mixed: Fibroblasts/Stromal/Endothelials/Tumor/Epithelials (99%), Fibroblasts/Stromal (75%), Endothelials (18%), Tumor/Epithelials (6%)",0.5711252653927814
6,GEP5,K6_GEP5,5,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Endothelials,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Endothelials (58%), Tumor/Epithelials (32%), Mac_C1Q_ZEB2 (15%), Endothelials (10%)",0.1705590941259731
6,GEP6,K6_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (70%), Fibroblasts/Stromal (9%), Endothelials (6%)",0.6086341118188252
7,GEP1,K7_GEP1,1,Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells,"Mixed: Bcells_CD19/CD4+Tcells/CD8+Tcells (63%), Bcells_CD19 (22%), CD4+Tcells (22%), CD8+Tcells (20%)",0.0
7,GEP2,K7_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (0%)",0.9646142958244869
7,GEP3,K7_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Fibroblasts/Stromal (0%), Endothelials (0%)",0.9943382873319179
7,GEP4,K7_GEP4,4,Fibroblasts/Stromal,"Fibroblasts/Stromal (87%), Tumor/Epithelials (10%), Endothelials (1%)",0.7735314932767161
7,GEP5,K7_GEP5,5,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (62%), Tumor/Epithelials (35%), Mac_C1Q_ZEB2 (15%), Fibroblasts/Stromal (11%)",0.1988676574663836
7,GEP6,K7_GEP6,6,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (90%), Tumor/Epithelials (35%), Endothelials (29%), Fibroblasts/Stromal (26%)",0.06086341118188254
7,GEP7,K7_GEP7,7,Tumor/Epithelials,"Tumor/Epithelials (87%), Fibroblasts/Stromal (7%), Bcells_CD19 (3%)",0.8018400566171267
8,GEP1,K8_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (0%)",0.9646142958244869
8,GEP2,K8_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (70%), CD4+Tcells (30%), CD8+Tcells (25%), Tregs (15%)",0.04033970276008492
8,GEP3,K8_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Fibroblasts/Stromal (0%), Endothelials (0%)",0.9943382873319179
