gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,55,0.895,0.885,0.767,0.952,18437,Mono_CD14_ID1,specific
2,30,0.806,0.805,0.627,0.964,1467,DC_family,family
3,13,0.799,0.815,0.716,0.963,1455,Macrophage_family,family
4,14,0.738,0.75,0.657,0.899,730,Ambiguous/Mixed,ambiguous
5,13,0.781,0.799,0.686,0.914,1202,Ambiguous/Mixed,ambiguous
6,29,0.931,0.926,0.827,0.99,979,DC_pDC,specific
7,8,0.767,0.769,0.653,0.881,657,Macrophage_family,family
8,11,0.881,0.88,0.815,0.951,329,DC_family,family
9,7,0.954,0.942,0.857,0.984,192,Mast,specific
