gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,59,0.855,0.815,0.616,0.952,15617,Ambiguous/Mixed,ambiguous
10,1,0.882,0.882,0.882,0.882,22,Ambiguous/Mixed,ambiguous
11,1,0.949,0.949,0.949,0.949,23,Ambiguous/Mixed,ambiguous
15,9,0.98,0.975,0.907,1.0,208,Ambiguous/Mixed,ambiguous
18,3,0.962,0.964,0.96,0.972,74,Ambiguous/Mixed,ambiguous
2,47,0.96,0.91,0.683,0.989,2321,DC_family,family
3,16,0.789,0.784,0.626,0.932,1616,Mac_IL1B,specific
4,6,0.853,0.831,0.715,0.933,274,Ambiguous/Mixed,ambiguous
5,51,0.906,0.862,0.638,1.0,3338,Ambiguous/Mixed,ambiguous
6,2,0.947,0.947,0.941,0.954,44,Mast,specific
9,42,0.956,0.942,0.792,0.994,1717,Ambiguous/Mixed,ambiguous
