gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,62,0.863,0.805,0.541,0.972,24415,Ambiguous/Mixed,ambiguous
2,25,0.919,0.906,0.718,0.986,683,DC_pDC,specific
3,6,0.969,0.966,0.943,0.977,130,Mast,specific
5,6,0.919,0.91,0.867,0.943,219,Ambiguous/Mixed,ambiguous
6,7,0.806,0.824,0.729,0.944,270,Ambiguous/Mixed,ambiguous
