gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,53,0.944,0.925,0.808,0.983,12592,Monocyte_family,family
10,11,0.881,0.882,0.816,0.952,328,DC_family,family
11,7,0.954,0.944,0.857,0.984,191,Mast,specific
2,45,0.921,0.927,0.85,1.0,5435,Mono_CD16,specific
3,32,0.808,0.806,0.632,0.966,1573,DC_family,family
4,14,0.812,0.823,0.714,0.947,1434,Macrophage_family,family
5,14,0.739,0.744,0.64,0.854,733,Ambiguous/Mixed,ambiguous
6,12,0.814,0.804,0.698,0.94,1043,Ambiguous/Mixed,ambiguous
7,28,0.931,0.924,0.827,0.99,969,DC_pDC,specific
8,8,0.764,0.771,0.668,0.875,699,Macrophage_family,family
9,4,0.887,0.883,0.781,0.976,240,Ambiguous/Mixed,ambiguous
