gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,62,0.863,0.805,0.543,0.952,24715,Ambiguous/Mixed,ambiguous
2,24,0.929,0.93,0.845,0.986,628,Ambiguous/Mixed,ambiguous
4,9,0.884,0.879,0.708,0.958,242,Ambiguous/Mixed,ambiguous
5,6,0.97,0.965,0.941,0.983,132,Mast,specific
9,3,0.951,0.927,0.876,0.954,58,Ambiguous/Mixed,ambiguous
