gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,47,0.9,0.883,0.622,0.966,6204,Mac_SPP1,specific
10,6,0.954,0.94,0.856,0.975,172,Mast,specific
2,53,0.902,0.887,0.751,0.981,2113,DC_pDC,specific
3,52,0.883,0.855,0.657,0.964,8060,Ambiguous/Mixed,ambiguous
4,56,0.871,0.847,0.65,0.96,6205,Ambiguous/Mixed,ambiguous
5,10,0.816,0.829,0.686,0.951,258,DC_family,family
6,11,0.917,0.892,0.751,0.994,554,Ambiguous/Mixed,ambiguous
7,16,0.801,0.815,0.692,0.946,1450,Ambiguous/Mixed,ambiguous
8,7,0.859,0.87,0.82,0.912,207,DC_family,family
9,2,0.89,0.89,0.853,0.926,97,Ambiguous/Mixed,ambiguous
