sample,original_label,ROGUE,n_cells
GSM4138134,Mono_CD14,0.9770704816299478,874
GSM4138116,Mono_CD14_THBS1,0.9488562390826473,668
GSM4138126,Mono_CD14,0.984543161446627,618
GSM4138156,Mono_CD14,0.968213667441374,584
GSM4138140,Mono_CD14,0.9821666070301789,468
GSM4138120,Mono_CD14_ID1,0.9016539521603274,464
GSM4138132,Mono_CD14,0.9864689906113876,443
GSM4138123,Mac_CXCL9,0.6923296665033651,423
GSM4138137,Mac_IL1Bint,0.7272315071085433,398
GSM4138142,Mono_CD14,0.9774596956057943,360
GSM4138138,Mono_CD14,0.9810892440843695,339
GSM4138136,Mono_CD14,0.9789275728256505,329
GSM4138125,Mac_SPP1,0.692370900168636,319
GSM4138163,Mono_CD14_IL1B,0.9563344461890037,313
GSM4138130,Mono_CD14,0.9763005920433426,306
GSM4138160,Mono_CD14_THBS1,0.9609523350252137,302
GSM4138135,Mac_IL1Bint,0.7758895693138232,300
GSM4138162,Mono_CD14_IL1B,0.962570180865912,292
GSM4138165,Mono_CD14,0.9727902102620775,285
GSM4138110,Mono_CD14_THBS1,0.9733534977240994,255
GSM4138131,Mono_TIL,0.7651162118243904,254
GSM4138128,Mono_CD14,0.9771845016882351,234
GSM4138122,Mono_CD14,0.9771845016882351,234
GSM4138167,Mono_CD14,0.9746369742115203,234
GSM4138166,Mono_CD14,0.9755211264340173,231
GSM4138110,Mono_CD14,0.9633809360823145,211
GSM4138146,Mono_CD16,0.9436303243635703,200
GSM4138114,Mono_CD14,0.9726721247456063,199
GSM4138135,Mac_CXCL9,0.7383677923002976,189
GSM4138112,Mono_CD14,0.971510780250825,184
GSM4138124,Mono_CD14_THBS1,0.9836916779121977,182
GSM4138135,Mac_IL1B,0.734814502091345,175
GSM4138158,Mono_CD14,0.9767407378432859,173
GSM4138134,Mono_Int,0.9734234025923791,170
GSM4138118,Mono_CD14_ID1,0.9236860244505811,170
GSM4138141,Mono_CD14_IL1B,0.9387065017540032,160
GSM4138156,Mono_CD16,0.9585151707269228,150
GSM4138146,Mono_CD14,0.9753384116763192,149
GSM4138154,Mono_CD14_ID1,0.9431862653099846,149
GSM4138152,Mono_CD14_ID1,0.9462244302179975,142
GSM4138122,Mono_CD16,0.9726523544095967,139
GSM4138128,Mono_CD16,0.9726523544095967,139
GSM4138155,cDC2_CD1C,0.6349049471426702,137
GSM4138137,Mac_CXCL9,0.7904206878770212,134
