sample,original_label,ROGUE,n_cells
GSM4138134,Mono_CD16,0.969180165971545,132
GSM4138155,Mono_TIL,0.7850953688973266,127
GSM4138117,Mac_IL1Bint,0.6999620940283657,126
GSM4138155,Mac_IL1Bint,0.6707960689648889,125
GSM4138127,Mono_TIL,0.8100574471222408,124
GSM4138130,Mono_Int,0.9601789231663537,120
GSM4138166,Mono_CD16,0.954709632066133,117
GSM4138130,Mono_CD16,0.9727319971361432,116
GSM4138132,Mono_Int,0.9745602446672517,112
GSM4138160,Mono_CD14,0.9835544948285831,112
GSM4138138,Mono_CD16,0.96129982481387,112
GSM4138136,Mono_CD16,0.9710633181042896,110
GSM4138139,Mac_IL1Bint,0.7754463351571108,109
GSM4138136,Mono_Int,0.9656884130890787,109
GSM4138133,Mac_IL1Bint,0.7919274171817865,109
GSM4138142,Mono_CD16,0.9692746178042908,108
GSM4138161,DC_pDC,0.8099710907482912,108
GSM4138131,DC_pDC,0.9014810267363169,107
GSM4138127,Mac_IL1B,0.832551789889561,106
GSM4138145,Mono_CD14_IL1B,0.8849174846119516,105
GSM4138139,Mac_IL1B,0.8179170551004095,104
GSM4138140,Mono_Int,0.9654133856488845,102
GSM4138144,Mono_CD14,0.9648336309051911,99
GSM4138112,Mono_CD16,0.9256682682672073,95
GSM4138164,Mono_CD14,0.9673874428178096,95
GSM4138165,Mono_CD16,0.9332552335334324,93
GSM4138152,Mono_CD14_IL1B,0.9618881135907796,90
GSM4138139,Mono_TIL,0.8310112551092891,90
GSM4138154,Mono_CD14,0.9664912065463619,90
GSM4138152,Mono_CD16,0.9254246867663461,89
GSM4138155,Mac_IL1B,0.7672393394713988,88
GSM4138128,Mono_Int,0.9605629676544892,86
GSM4138122,Mono_Int,0.9605629676544892,86
GSM4138156,Mono_Int,0.965100894346246,85
GSM4138117,Mono_CD14_THBS1,0.868719886240924,85
GSM4138142,Mono_CD14_IL1B,0.962017133535616,83
GSM4138139,Mac_CXCL9,0.7742362045853165,83
GSM4138161,cDC2_CD1C,0.6246119053608256,80
GSM4138145,cDC2_CD33,0.8455624946834115,80
GSM4138124,Mono_CD14,0.9689881414926492,79
GSM4138110,Mono_CD16,0.9700188627107293,78
GSM4138150,Mono_CD14,0.9739874043167961,77
GSM4138140,Mono_CD16,0.9582230335326614,77
GSM4138118,Mono_CD14_IL1B,0.9563019961335087,76
GSM4138146,Mono_Int,0.9511736656777461,75
GSM4138128,cDC2_CD33,0.9357336280022167,74
GSM4138131,Mac_IL1Bint,0.8063861269874418,74
GSM4138122,cDC2_CD33,0.9357336280022167,74
GSM4138131,mregDC_LAMP3,0.7871714328661342,72
GSM4138121,Mac_IL1B,0.7424720956737747,72
GSM4138141,DC_pDC,0.8882469191880943,72
GSM4138131,Mac_CXCL9,0.7736325618502465,71
GSM4138111,DC_pDC,0.8785572019212072,68
GSM4138131,cDC2_CD1C,0.7216138836866077,67
GSM4138138,Mono_Int,0.9520564269526939,67
GSM4138141,cDC2_CD1C,0.7098964254986592,67
GSM4138145,cDC2_CD1C,0.6867038462684993,66
GSM4138125,Mono_CD14,0.9837063361526691,65
GSM4138144,Mono_CD16,0.9640023476234225,64
GSM4138162,Mono_CD16,0.9586732165986331,63
GSM4138145,cDC1_CLEC9A,0.827500869651577,62
GSM4138139,Mac_SPP1,0.7789195323070784,62
GSM4138135,Mono_TIL,0.8599589457839697,61
GSM4138114,Mono_CD16,0.9625998999623354,60
GSM4138139,Mast,0.9469565804195199,60
GSM4138148,Mono_CD14,0.9725167573644354,60
GSM4138133,cDC2_CD1C,0.7639572524881177,59
GSM4138142,Mono_Int,0.9616394900718369,58
GSM4138113,Mono_CD14_IL1B,0.8975857592588704,58
GSM4138132,Mono_CD16,0.9749921496356109,58
GSM4138144,cDC2_CD33,0.8614908318514722,57
GSM4138137,Mac_IL1B,0.8300724307985772,57
GSM4138111,Mac_IL1Bint,0.7322395348303408,56
GSM4138141,mregDC_LAMP3,0.8439761410580335,55
GSM4138161,Mono_CD14_IL1B,0.8811070823995668,54
GSM4138143,Mac_IL1Bint,0.7944434318007446,54
GSM4138152,Mono_CD14,0.9766045315158969,53
GSM4138123,Mac_IL1Bint,0.7259296952827468,53
GSM4138127,Mac_SPP1,0.8084144709776315,52
GSM4138156,cDC2_CD33,0.910884328786788,52
GSM4138143,cDC2_CD1C,0.7259410347876485,51
GSM4138141,Mac_IL1Bint,0.836009170508886,51
GSM4138155,DC_pDC,0.830857724817686,50
GSM4138141,Mono_TIL,0.8552804893134885,50
GSM4138115,cDC2_CD1C,0.7959116588996087,50
GSM4138123,DC_pDC,0.8998317720345601,49
GSM4138145,Mac_IL1Bint,0.8337017661727854,49
GSM4138124,Mono_CD16,0.9494966782471768,48
GSM4138133,Mac_CXCL9,0.7347502945004281,47
GSM4138143,mregDC_LAMP3,0.8165577356475794,47
GSM4138145,DC_pDC,0.9157891509887158,46
GSM4138129,Mac_IL1Bint,0.782080787449773,46
GSM4138143,DC_pDC,0.8686542379614236,46
GSM4138112,Mono_Int,0.9595459747032411,46
GSM4138166,cDC2_CD33,0.9110549087434956,45
GSM4138110,Mono_Int,0.9742987716078453,45
GSM4138120,Mono_Int,0.9396455366444729,44
GSM4138166,Mono_Int,0.9496261137958071,44
GSM4138150,Mono_CD14_IL1B,0.9611292941409396,44
GSM4138162,Mono_Int,0.9697829169101593,42
GSM4138111,cDC2_CD1C,0.7113042769620459,42
GSM4138136,Mono_CD14_THBS1,0.9833221901848994,42
GSM4138162,cDC2_CD33,0.9386081117453253,42
GSM4138129,Mono_TIL,0.9247606183378431,42
GSM4138144,Mono_CD14_THBS1,0.9771582364200297,41
GSM4138120,cDC2_CD33,0.8703475977940336,41
GSM4138161,Mono_TIL,0.8362090491104508,41
GSM4138125,Mac_IL1Bint,0.817981461928105,40
GSM4138161,Mac_IL1Bint,0.777974625765567,40
GSM4138114,cDC2_CD33,0.9494371843739597,39
GSM4138127,Mac_IL1Bint,0.8238793726191054,39
GSM4138148,Mono_CD14_IL1B,0.9791268945558547,39
GSM4138162,Mono_CD14,0.977352648950314,38
GSM4138152,cDC2_CD33,0.9071109565424108,37
GSM4138125,Mac_CXCL9,0.8244828790460157,37
GSM4138142,Mono_CD14_ID1,0.9635993960641229,37
GSM4138152,Mono_Int,0.9581681620445236,37
GSM4138141,Mono_CD14,0.9890590842847173,37
GSM4138119,Mono_CD14_IL1B,0.9095936137925963,36
GSM4138113,DC_pDC,0.8789830234329296,36
GSM4138160,Mono_CD16,0.9697726901487608,36
GSM4138137,Mono_TIL,0.8901790768853198,36
GSM4138150,Mono_CD16,0.9692234878973002,35
GSM4138157,Mac_IL1Bint,0.8158397454468849,35
GSM4138129,Mac_CXCL9,0.8654753933612986,35
GSM4138140,cDC2_CD33,0.9159373598026695,35
GSM4138136,cDC2_CD33,0.9424873046617511,35
GSM4138111,Mono_CD16,0.8547423661661163,35
GSM4138111,Mono_CD14_IL1B,0.8471696773813896,35
GSM4138126,Mono_Int,0.9808361952378992,34
GSM4138167,Mono_Int,0.9807207237000212,34
GSM4138167,cDC2_CD33,0.9617177241024191,34
GSM4138129,Mac_SPP1,0.8624833223456452,34
GSM4138127,Mono_CD14,0.9677677009232903,34
GSM4138148,Mono_CD16,0.9586195767510027,34
GSM4138131,Mac_IL1B,0.8582540267356495,34
GSM4138165,Mono_Int,0.9714677181200818,34
GSM4138157,cDC2_CD1C,0.7763683358637503,34
GSM4138143,cDC2_CD33,0.9228842678642891,34
GSM4138121,Mono_TIL,0.8391609884923007,33
GSM4138154,cDC2_CD33,0.8823510284313958,33
GSM4138123,Mac_IL1B,0.8721494797491482,32
GSM4138135,mregDC_LAMP3,0.87946070539114,32
GSM4138163,cDC2_CD33,0.9504201616159526,31
GSM4138141,Mac_CXCL9,0.8446760287077253,31
GSM4138147,DC_pDC,0.8800969637734649,31
GSM4138143,Mast,0.9499099441330963,31
GSM4138142,cDC2_CD33,0.9164672845280101,31
GSM4138145,Mac_IL1B,0.9119240696053817,30
GSM4138123,cDC2_CD1C,0.7217787508104097,30
GSM4138154,Mono_CD16,0.9385654396456188,30
GSM4138127,DC_pDC,0.9168747595789128,30
GSM4138141,Mono_CD16,0.9722912412497519,30
GSM4138148,cDC2_CD33,0.9221452120025296,30
GSM4138146,cDC2_CD33,0.9222183266160505,29
GSM4138117,Mac_CXCL9,0.8632327999128666,29
GSM4138167,Mono_CD16,0.9527123922317575,29
GSM4138111,Mast,0.8580139148973691,29
GSM4138138,Mono_CD14_THBS1,0.9944137098357879,29
GSM4138141,cDC2_CD33,0.9019090222751609,29
GSM4138159,cDC2_CD1C,0.8249973646145293,28
GSM4138163,Mono_CD14,0.9809705291982906,28
GSM4138121,Mac_IL1Bint,0.8567614183739986,28
GSM4138126,Mono_CD14_IL1B,0.9911090404628259,28
GSM4138120,Mono_CD14,0.9743434959758573,28
GSM4138143,Mono_CD14,0.9605226710919517,27
GSM4138143,Mono_CD14_IL1B,0.9398053056465576,27
GSM4138133,mregDC_LAMP3,0.8292752974546848,26
GSM4138155,Mono_CD14_IL1B,0.952115486960174,26
GSM4138155,Mac_SPP1,0.7372506599775821,26
GSM4138127,cDC2_CD1C,0.8116926380523874,26
GSM4138112,DC_pDC,0.9418874965080481,26
GSM4138123,mregDC_LAMP3,0.8671799095448152,26
GSM4138139,mregDC_LAMP3,0.8987663788665268,26
GSM4138126,Mono_CD14_THBS1,0.9861716874291329,26
GSM4138161,cDC2_CD33,0.8707222598250894,25
GSM4138129,DC_pDC,0.9522192501682015,25
GSM4138139,cDC2_CD1C,0.8638748916000272,25
GSM4138130,cDC2_CD33,0.9479386163516069,24
GSM4138139,cDC1_CLEC9A,0.931333155556242,24
GSM4138161,Mac_IL1B,0.8808544149364143,24
GSM4138114,Mono_Int,0.9801814687817958,24
GSM4138119,Mac_SPP1,0.810842143205032,24
GSM4138155,Mac_CXCL9,0.8418145184618778,24
GSM4138120,Mono_CD16,0.9491002714747008,24
GSM4138111,cDC2_CD33,0.8879178701916859,23
GSM4138163,Mono_CD16,0.9741794272164983,23
GSM4138160,DC_pDC,0.9637168406872293,23
GSM4138126,Mono_CD16,0.9804022862765086,23
GSM4138144,Mono_Int,0.9841436683413918,23
GSM4138164,cDC2_CD33,0.9551876728822958,23
GSM4138112,cDC2_CD33,0.9342010761824786,23
GSM4138159,Mac_IL1Bint,0.8853499157675305,22
GSM4138111,cDC1_CLEC9A,0.876981964780758,22
GSM4138155,cDC2_CD33,0.9204222915901472,22
GSM4138160,cDC2_CD33,0.925735590255548,22
GSM4138165,cDC2_CD33,0.9426164902588907,22
GSM4138139,DC_pDC,0.9333160959033334,22
GSM4138143,cDC1_CLEC9A,0.8998203121217152,21
GSM4138158,Mono_CD14_IL1B,0.9924269368706283,21
GSM4138155,mregDC_LAMP3,0.909734244926721,21
GSM4138158,cDC2_CD33,0.9723469541132682,21
GSM4138135,Mast,0.9632808291710414,21
GSM4138154,Mono_Int,0.9710042803363976,21
GSM4138117,cDC2_CD1C,0.889463793083295,21
GSM4138133,DC_pDC,0.9677791977403045,21
GSM4138115,mregDC_LAMP3,0.8842485745967884,21
GSM4138164,Mono_CD16,0.9660781197783241,21
GSM4138110,DC_pDC,0.9492793865854678,21
GSM4138111,Mac_CXCL9,0.8659684765380463,20
GSM4138124,Mono_Int,0.9962894199306047,20
GSM4138128,DC_pDC,0.9671572886913489,20
GSM4138168,DC_pDC,0.9011449212070114,20
GSM4138145,Mono_TIL,0.9510299769928667,20
GSM4138137,mregDC_LAMP3,0.9452122655265767,20
GSM4138122,DC_pDC,0.9671572886913489,20
GSM4138118,Mono_CD14,0.9948548306489934,19
GSM4138115,Mac_IL1Bint,0.9237149375977781,19
GSM4138115,DC_pDC,0.9225313235859189,19
GSM4138137,cDC2_CD1C,0.8056970934916537,19
GSM4138158,Mono_CD16,0.9835745946977852,19
GSM4138119,Mac_IL1Bint,0.8131898856584474,19
GSM4138130,DC_pDC,0.9474344524505759,19
GSM4138126,cDC2_CD33,0.967977921618962,19
GSM4138155,Mast,0.9304048836734371,19
GSM4138133,cDC1_CLEC9A,0.9173078879796016,18
GSM4138123,Mono_TIL,0.9164741854494597,18
GSM4138134,Mono_CD14_THBS1,0.9841337071133791,18
GSM4138154,Mono_CD14_IL1B,0.993242721568911,18
GSM4138156,Mono_CD14_IL1B,0.991469395085664,18
GSM4138119,cDC2_CD1C,0.7909392226597116,18
GSM4138115,cDC2_CD33,0.9579712498150993,18
GSM4138111,mregDC_LAMP3,0.724315430689258,18
GSM4138131,Mast,0.9666702146494965,18
GSM4138132,cDC2_CD33,0.9624142787984186,18
GSM4138166,Mono_CD14_IL1B,0.9947234650499697,18
GSM4138138,cDC2_CD33,0.9491303436460435,18
GSM4138163,Mono_Int,0.9722012594206684,17
GSM4138135,cDC2_CD1C,0.8722619719534979,17
GSM4138159,Mono_TIL,0.9421922046163969,17
GSM4138135,Mono_CD14_IL1B,0.949120166569529,17
GSM4138114,Mono_CD14_IL1B,0.9953358819715353,17
GSM4138162,DC_pDC,0.9844611143723536,17
GSM4138163,DC_pDC,0.985707629631537,17
GSM4138121,cDC2_CD1C,0.859161382843769,17
GSM4138158,Mono_CD14_THBS1,0.9940104242969304,17
GSM4138157,DC_pDC,0.9466619641685119,17
GSM4138135,DC_pDC,0.9722190299317837,17
GSM4138158,Mono_Int,1.0,16
GSM4138116,Mono_CD14,0.993207105309723,16
GSM4138141,Mono_Int,0.982357145552748,16
GSM4138129,cDC2_CD1C,0.915082953134509,16
GSM4138145,mregDC_LAMP3,0.979762133654828,16
GSM4138113,cDC2_CD1C,0.8924271385456904,16
GSM4138159,Mac_CXCL9,0.9150371631161669,16
GSM4138152,DC_pDC,0.9592866854289103,16
GSM4138131,Mono_CD14_IL1B,0.9787968915785631,15
GSM4138117,Mast,0.9843483876594742,15
GSM4138151,DC_pDC,0.9660966498243028,15
GSM4138116,Mono_CD16,0.9776052397830117,15
GSM4138118,cDC2_CD33,0.9339725634285485,15
GSM4138131,cDC1_CLEC9A,0.9178427187036413,15
GSM4138110,cDC2_CD33,0.973789936195317,15
GSM4138134,DC_pDC,0.975264804294986,15
GSM4138130,Mono_CD14_IL1B,0.996382971924624,15
GSM4138143,Mac_SPP1,0.9172651559436433,15
GSM4138156,DC_pDC,0.9536502391004582,15
GSM4138117,cDC2_CD33,0.9658854268047798,15
