gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,55,0.885,0.873,0.77,0.952,18765,Ambiguous/Mixed,ambiguous
2,26,0.693,0.719,0.591,0.941,2447,DC_family,family
3,19,0.778,0.79,0.67,0.941,2313,Macrophage_family,family
4,13,0.805,0.811,0.699,0.945,1139,Ambiguous/Mixed,ambiguous
5,28,0.935,0.928,0.826,0.99,948,DC_pDC,specific
6,7,0.954,0.942,0.856,0.984,193,Mast,specific
