sample,family_label,ROGUE,n_cells
GSM4138119,DC_family,0.7733183638330279,25
GSM4138112,DC_family,0.9110551285812873,25
GSM4138158,DC_family,0.9401614511658701,24
GSM4138164,DC_family,0.9349007033494354,24
GSM4138125,DC_family,0.8684283577494913,23
GSM4138160,DC_family,0.9322202349961333,23
GSM4138153,DC_family,0.7715963034009727,23
GSM4138113,Macrophage_family,0.7970383223618098,22
GSM4138165,DC_family,0.9426164902588907,22
GSM4138171,DC_family,0.8988213989166038,22
GSM4138138,DC_family,0.9159824805853743,20
GSM4138126,DC_family,0.967977921618962,19
GSM4138153,Macrophage_family,0.7913789886593469,19
GSM4138133,Monocyte_family,0.9775607947159943,19
GSM4138132,DC_family,0.9624142787984186,18
GSM4138170,DC_family,0.9128229462108062,17
GSM4138172,DC_family,0.9004085426710235,17
GSM4138110,DC_family,0.9755033533361629,16
GSM4138153,Monocyte_family,0.9535295929200872,15
GSM4138169,DC_family,0.9412627682552548,15
GSM4138118,DC_family,0.9339725634285485,15
