gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,55,0.894,0.883,0.768,0.952,18525,Mono_CD14_ID1,specific
2,30,0.798,0.8,0.642,0.963,1465,DC_family,family
3,19,0.772,0.796,0.678,0.962,2296,Macrophage_family,family
4,17,0.727,0.742,0.612,0.935,1049,Ambiguous/Mixed,ambiguous
5,13,0.804,0.805,0.691,0.914,1177,Ambiguous/Mixed,ambiguous
6,28,0.932,0.926,0.827,0.99,961,DC_pDC,specific
7,7,0.954,0.942,0.857,0.984,192,Mast,specific
