sample,K,gep,label,label_kind,membership_label,baseline_group_type,members_str,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,baseline_ROGUE_mean,baseline_ROGUE_min,baseline_ROGUE_max,delta_ROGUE_vs_mean,delta_ROGUE_vs_max,recommendation
GSM4138155,20,7,DC_family,family,DC_family,family,cDC2_CD1C,0.734501013190024,46,0.6315021493649268,0.10299886382509726,0.8216871612198462,0.6349049471426702,0.9204222915901472,-0.08718614802982216,-0.18592127840012318,GEP_less_pure_than_family
GSM4138143,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.8547059621822516,45,,,,,,,,ambiguous
GSM4138143,20,11,DC_family,family,DC_family,family,mregDC_LAMP3,0.788567789777777,45,0.7000515593569699,0.08851623042080703,0.841300837605308,0.7259410347876485,0.9228842678642892,-0.05273304782753108,-0.13431647808651226,GEP_less_pure_than_family
GSM4138145,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9143580115728172,44,,,,,,,,ambiguous
GSM4138125,20,4,Macrophage_family,family,Macrophage_family,family,Mac_CXCL9,0.8042062646436346,43,0.7005572872018726,0.10364897744176205,0.7782784137142521,0.692370900168636,0.8244828790460157,0.025927850929382545,-0.020276614402381044,no_change
GSM4138150,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.9660426477208623,43,0.9692234878973002,-0.003180840176437827,,,,,,no_change
GSM4138141,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.941231973163102,42,0.972291241249752,-0.031059268086649938,,,,,,no_change
GSM4138127,20,10,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_TIL,0.8584303105778056,42,,,,,,,,ambiguous
GSM4138148,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.9639092624885208,41,0.9586195767510028,0.0052896857375179795,,,,,,no_change
GSM4138155,20,11,DC_family,family,cDC2_CD1C+mregDC_LAMP3,subgroup,cDC2_CD1C+mregDC_LAMP3,0.7539659898816018,39,0.6239772853297045,0.12998870455189726,0.7723195960346956,0.6349049471426702,0.909734244926721,-0.018353606153093782,-0.15576825504511915,GEP_less_pure_than_subgroup
GSM4138137,20,6,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mac_IL1Bint,0.7900710316408233,39,,,,,,,,ambiguous
GSM4138161,20,5,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.8279850485206965,39,,,,,,,,ambiguous
GSM4138154,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.9324960311925216,37,0.9385654396456188,-0.006069408453097225,,,,,,no_change
GSM4138141,20,7,DC_family,family,DC_family,family,cDC2_CD1C,0.776961034782596,37,0.679201469606746,0.09775956517585005,0.8185938629439512,0.7098964254986592,0.9019090222751608,-0.04163282816135516,-0.12494798749256475,GEP_less_pure_than_family
GSM4138135,20,12,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.9016873413331342,37,,,,,,,,ambiguous
GSM4138119,20,2,cDC2_CD33,specific,cDC2_CD33,specific,,0.7522168622932013,37,,,,,,,,no_baseline
GSM4138111,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.8888097380841948,36,0.8547423661661163,0.034067371918078515,,,,,,no_change
GSM4138113,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.8863003605536053,35,,,,,,,,ambiguous
GSM4138131,20,1,Monocyte_family,family,Monocyte_family,family,,0.9156521790637054,35,0.7553954724453573,0.16025670661834812,0.8719565517014768,0.7651162118243904,0.9787968915785632,0.04369562736222865,-0.06314471251485776,GEP_less_pure_than_family
GSM4138123,20,2,cDC2_CD33,specific,cDC2_CD33,specific,,0.8058575865653629,34,,,,,,,,no_baseline
GSM4138145,20,5,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mac_IL1B,0.9011362628231055,34,,,,,,,,ambiguous
GSM4138123,20,5,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mac_IL1B,0.8432367240393662,34,,,,,,,,ambiguous
GSM4138121,20,1,Monocyte_family,family,Monocyte_family,family,,0.8692539823867491,34,0.8101081988741902,0.05914578351255895,0.8391609884923007,0.8391609884923007,0.8391609884923007,0.030092993894448417,0.030092993894448417,no_change
GSM4138141,20,10,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_TIL,0.8857963541580376,33,,,,,,,,ambiguous
GSM4138139,20,6,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.7678631711516601,33,,,,,,,,ambiguous
GSM4138163,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.9800136015499474,33,0.9741794272164984,0.005834174333449016,,,,,,no_change
GSM4138141,20,6,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.7182735820086801,32,,,,,,,,ambiguous
GSM4138159,20,1,Monocyte_family,family,Monocyte_family,family,,0.9466247346330006,32,0.9206092414483256,0.026015493184674998,0.9421922046163967,0.9421922046163967,0.9421922046163967,0.0044325300166038195,0.0044325300166038195,no_change
GSM4138127,20,2,cDC2_CD33,specific,cDC2_CD33,specific,,0.9299165956238192,32,,,,,,,,no_baseline
GSM4138143,20,13,Mast,specific,Mast,specific,Mast,0.9499099441330964,31,0.9499099441330964,0.0,,,,,,no_change
GSM4138147,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.8800969637734649,31,,,,,,,,ambiguous
GSM4138113,20,1,Monocyte_family,family,Monocyte_family,family,Mono_CD14_IL1B,0.9406510176904932,31,0.846278627382188,0.09437239030830524,0.8975857592588704,0.8975857592588704,0.8975857592588704,0.04306525843162279,0.04306525843162279,no_change
GSM4138129,20,5,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.8462854244962854,31,,,,,,,,ambiguous
