K,label,n_GEPs,n_samples,median_ROGUE,max_ROGUE,total_cells,label_kind
5,Mast,1,7,0.9499099441330964,0.9843483876594742,195,specific
6,DC_family,1,26,0.6926847361832094,0.9409297615712336,2447,family
6,DC_pDC,1,28,0.9352069543585955,0.9903020421816136,948,specific
6,Macrophage_family,1,19,0.7779272873037748,0.9408731729591974,2313,family
6,Mast,1,7,0.9536975701437346,0.9843483876594742,193,specific
7,DC_family,1,30,0.7979277336573382,0.9629668472436136,1465,family
7,DC_pDC,1,28,0.9323466177725694,0.9903020421816136,961,specific
7,Macrophage_family,1,19,0.7718618276150674,0.961603309659957,2296,family
7,Mast,1,7,0.9536975701437346,0.9843483876594742,192,specific
7,Mono_CD14_ID1,1,55,0.8935792123325513,0.9524984459421776,18525,specific
8,DC_family,1,30,0.7915466744450708,0.9629668472436136,1444,family
8,DC_pDC,1,29,0.9313771396418056,0.9903020421816136,980,specific
8,Macrophage_family,2,15,0.7872554345444164,0.8927126205323255,2219,family
8,Mast,1,7,0.9536975701437346,0.9843483876594742,192,specific
8,Mono_CD14_ID1,1,55,0.8913312494576806,0.9524984459421776,18563,specific
9,DC_family,2,30,0.8322611579814276,0.963710681969744,1796,family
9,DC_pDC,1,29,0.9313771396418056,0.9903020421816136,979,specific
9,Macrophage_family,2,15,0.7861522564642781,0.9626012103085496,2112,family
9,Mast,1,7,0.9536975701437346,0.9843483876594742,192,specific
9,Mono_CD14_ID1,1,55,0.8946226388164885,0.9524984459421776,18437,specific
10,DC_family,2,33,0.8273536759177249,0.9603546817406848,1914,family
10,DC_pDC,1,28,0.9305278242526165,0.9903020421816136,968,specific
10,Macrophage_family,2,16,0.7996796985292668,0.9626012103085496,2246,family
10,Mast,1,7,0.9536975701437346,0.9843483876594742,192,specific
10,Mono_CD16,1,46,0.9242658096594127,0.9898190298589437,5361,specific
10,Monocyte_family,1,53,0.9440611992636638,0.9827129559925734,12669,family
11,DC_family,2,28,0.8157398887819808,0.9594459219627484,1684,family
11,DC_pDC,1,28,0.9295583461218526,0.9903020421816136,963,specific
11,Macrophage_family,2,14,0.8009207347149021,0.9067446106577052,1981,family
11,Mast,1,7,0.954392453358975,0.9843483876594742,191,specific
12,DC_family,2,32,0.8192605267278587,0.9664585561115177,1901,family
12,DC_pDC,1,28,0.9305278242526165,0.9903020421816136,969,specific
12,Macrophage_family,2,16,0.8053388472684764,0.9473700711704308,2133,family
12,Mast,1,7,0.954392453358975,0.9843483876594742,191,specific
12,Mono_CD16,1,45,0.9214081375250396,1.0,5435,specific
12,Monocyte_family,1,53,0.9436682902882716,0.9828696821717002,12592,family
13,DC_family,2,32,0.8238097279550234,0.9603546817406848,2019,family
13,DC_pDC,1,28,0.9305278242526165,0.9903020421816136,968,specific
13,Macrophage_family,2,14,0.7931160757586566,0.9243493392583944,2118,family
13,Mast,1,7,0.954392453358975,0.9843483876594742,191,specific
13,Mono_CD16,1,46,0.9228723143731238,0.9853374304067354,5417,specific
13,Monocyte_family,1,53,0.9425400450606868,0.9828902478835186,12660,family
14,DC_family,2,29,0.8359240409728694,0.963808069286544,1641,family
14,DC_pDC,1,27,0.9313771396418056,0.9903020421816136,957,specific
14,Macrophage_family,2,16,0.8052439170624176,0.9506247882429124,2163,family
14,Mast,1,7,0.954392453358975,0.9843483876594742,193,specific
14,Mono_CD16,1,48,0.9237630570653035,0.989060914279452,5542,specific
14,Monocyte_family,1,53,0.9434473347373667,0.98285860288298,12475,family
15,DC_family,2,12,0.8853461134224074,0.9587677503250608,421,family
15,DC_pDC,1,29,0.9339146138577936,0.9903020421816136,961,specific
15,Macrophage_family,1,10,0.757560420863206,0.8806537585034291,814,family
15,Mast,1,7,0.9499099441330964,0.9843483876594742,194,specific
15,Mono_CD14_ID1,1,56,0.8721504247389593,0.962574357280452,15238,specific
15,Mono_CD16,1,51,0.8919081946686076,0.967453273255116,5007,specific
16,Mast,1,6,0.9696223855970256,0.9827575232591388,132,specific
17,DC_pDC,1,30,0.9272090894830995,0.985707629631537,1057,specific
17,Mast,1,7,0.9602263776266536,0.9843483876594742,165,specific
18,DC_pDC,1,25,0.9186083921879524,0.985707629631537,683,specific
18,Mast,1,6,0.9689650673337398,0.9766125027725826,130,specific
19,DC_family,2,13,0.8421387194970935,0.9512180145021084,465,family
19,DC_pDC,1,53,0.9022938363248236,0.9812704209518982,2113,specific
19,Mac_SPP1,1,47,0.9004345666419541,0.965778768525842,6204,specific
19,Mast,1,6,0.9542135457415737,0.9753346617577004,172,specific
20,DC_family,2,14,0.8416244919945093,0.9538365979708816,762,family
20,Macrophage_family,2,18,0.7904556363541877,0.9436343740902462,2188,family
20,Mast,1,7,0.954392453358975,0.9843483876594742,192,specific
20,Mono_CD16,1,39,0.9616052005339192,1.0,3635,specific
20,Monocyte_family,1,52,0.9720440831414,0.991253121941168,8919,family
20,cDC2_CD33,1,53,0.8758058252166641,0.9467185528295684,6673,specific
21,DC_family,2,12,0.9034405284372378,0.9508347199820468,496,family
