K,label,n_GEPs,n_samples,median_ROGUE,max_ROGUE,total_cells,label_kind
21,DC_pDC,1,28,0.9305278242526165,0.9903417728935672,972,specific
21,Macrophage_family,2,16,0.8142433901204478,0.9665633196176584,1967,family
21,Mast,1,7,0.954392453358975,0.9843483876594742,192,specific
21,Monocyte_family,1,51,0.9708493553262544,0.9907827340079725,8729,family
21,cDC2_CD33,1,53,0.8822623487759879,0.9525733619695292,10045,specific
22,DC_family,2,12,0.8955322967630677,0.9508347199820468,483,family
22,DC_pDC,1,28,0.9305278242526165,0.9903417728935672,978,specific
22,Macrophage_family,2,16,0.8092871603816538,0.9416551809239918,2021,family
22,Mast,1,7,0.954392453358975,0.9843483876594742,192,specific
22,Mono_CD16,1,38,0.9607257686677657,0.9919055167309104,3628,specific
22,Monocyte_family,1,51,0.9709832606920336,0.9913391935470924,8916,family
22,cDC2_CD33,1,51,0.8824768583449718,0.9777122693577532,5972,specific
23,DC_family,2,12,0.9050030037576584,0.9508347199820468,480,family
23,DC_pDC,1,28,0.9305278242526165,0.9903417728935672,975,specific
23,Macrophage_family,3,18,0.8281100414893631,0.942353785666162,2240,family
23,Mast,1,7,0.954392453358975,0.9843483876594742,191,specific
23,Mono_CD16,1,40,0.9633073904422662,1.0,3621,specific
23,Monocyte_family,1,48,0.973383413507802,0.991268963481752,8693,family
23,cDC2_CD33,1,50,0.8833125223435533,0.9699359428782643,5966,specific
24,DC_family,2,10,0.8509545936016549,0.96175139439349,344,family
24,DC_pDC,1,28,0.9470038193946246,0.9903020421816136,934,specific
24,Mono_CD16,1,59,0.8659271931397147,0.9523197543188398,19968,specific
25,DC_family,1,52,0.8965184705579684,0.9695425762848888,4723,family
25,DC_pDC,1,54,0.9337094064448135,1.0,6861,specific
25,Mac_IL1B,1,16,0.8074488168918588,0.9263407285993104,1340,specific
25,Mast,1,7,0.94695658041952,0.9843483876594742,196,specific
26,Mast,1,6,0.8893183382375024,0.9431458014838096,198,specific
27,Mast,1,6,0.910030315675445,0.9536975701437346,192,specific
28,DC_family,1,13,0.863973947726944,0.9452122655265768,429,family
29,DC_family,1,49,0.9199027883510212,1.0,3545,family
31,DC_family,1,46,0.9601971168605794,0.99198007860105,2016,family
31,Mac_SPP1,1,8,0.8015376009291291,0.9293009662546922,443,specific
31,Mast,1,6,0.9251525497058048,0.9536975701437346,184,specific
32,DC_pDC,1,63,0.8452848364113356,0.9523888250257184,25688,specific
33,DC_pDC,1,56,0.8957821408859363,0.9704604631335024,9842,specific
34,DC_family,1,47,0.9598961790376443,0.9885672220300984,2321,family
34,Mac_IL1B,1,16,0.7889504835425806,0.9319494412772014,1616,specific
34,Mast,1,2,0.9474784673540129,0.9537734971564158,44,specific
35,DC_pDC,1,59,0.8437777502054982,0.9464155807612824,15913,specific
35,Mast,1,2,0.9470682942729423,0.9615008355983328,42,specific
