sample,members_str,ROGUE,n_cells
GSM4138156,Mono_CD14+Mono_CD16,0.9128966862778196,734
GSM4138135,Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,0.6755859448332522,664
GSM4138142,Mono_CD14+Mono_CD16,0.9156160425173518,468
GSM4138132,Mono_CD14+Mono_Int,0.9645683551166956,555
GSM4138136,Mono_CD14+Mono_CD16+Mono_Int,0.9374047720664831,548
GSM4138110,Mono_CD14+Mono_CD14_THBS1,0.9657023089629833,466
GSM4138137,Mac_CXCL9+Mac_IL1Bint,0.7285355889241896,532
GSM4138130,Mono_CD14+Mono_CD16+Mono_Int,0.92892137795617,542
GSM4138138,Mono_CD14+Mono_CD16,0.9060206237778239,451
GSM4138128,Mono_CD14+Mono_CD16+Mono_Int,0.9390300652160789,459
GSM4138122,Mono_CD14+Mono_CD16+Mono_Int,0.9390300652160789,459
GSM4138160,Mono_CD14+Mono_CD14_THBS1,0.9626760256559591,414
GSM4138166,Mono_CD14+Mono_CD16,0.9109810558377835,348
GSM4138152,Mono_CD14_ID1+Mono_CD14_IL1B+Mono_CD16,0.9022765090547991,321
GSM4138146,Mono_CD14+Mono_CD16+Mono_Int,0.9073057572370014,424
GSM4138165,Mono_CD14+Mono_CD16,0.9192851438342927,378
GSM4138154,Mono_CD14+Mono_CD14_ID1,0.9427190579222233,239
GSM4138112,Mono_CD14+Mono_CD16,0.8905372774416428,279
GSM4138114,Mono_CD14+Mono_CD16,0.9042398736323729,259
GSM4138124,Mono_CD14+Mono_CD14_THBS1,0.978266091484458,261
GSM4138118,Mono_CD14_ID1+Mono_CD14_IL1B,0.9230278583171945,246
GSM4138150,Mono_CD14+Mono_CD14_IL1B+Mono_CD16,0.9274375580413583,156
GSM4138117,Mac_CXCL9+Mac_IL1Bint,0.7028097091147377,155
GSM4138148,Mono_CD14+Mono_CD14_IL1B+Mono_CD16,0.9128041633826139,133
GSM4138155,Mono_CD14_IL1B+Mono_TIL,0.7924028517204216,153
GSM4138129,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,0.7558628547952085,115
GSM4138121,Mac_IL1B+Mac_IL1Bint,0.6855680288413201,100
GSM4138127,Mono_CD14+Mono_TIL,0.7950754443610428,158
GSM4138135,Mac_CXCL9+Mac_IL1Bint,0.7437879104467697,489
GSM4138139,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,0.7128384079463832,254
GSM4138135,Mac_IL1B+Mac_IL1Bint,0.7072108173743583,475
GSM4138145,cDC1_CLEC9A+cDC2_CD1C,0.6876856348194149,128
GSM4138137,Mac_IL1B+Mac_IL1Bint,0.7274997664917275,455
GSM4138145,cDC1_CLEC9A+cDC2_CD1C+cDC2_CD33,0.7065097141153611,208
GSM4138141,cDC2_CD1C+mregDC_LAMP3,0.6639592638495937,122
GSM4138143,cDC2_CD1C+mregDC_LAMP3,0.6896151369207923,98
GSM4138155,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,0.643404091252705,175
GSM4138139,cDC1_CLEC9A+cDC2_CD1C+mregDC_LAMP3,0.7759911007988353,75
GSM4138115,cDC2_CD1C+mregDC_LAMP3,0.7212824545227754,71
GSM4138133,Mac_CXCL9+Mac_IL1Bint,0.7156080151116249,156
GSM4138141,Mac_CXCL9+Mac_IL1Bint,0.7966497977797552,82
GSM4138143,cDC1_CLEC9A+cDC2_CD1C+cDC2_CD33,0.73934764147502,106
GSM4138129,Mac_CXCL9+Mac_SPP1,0.8189432030003869,69
GSM4138133,cDC1_CLEC9A+cDC2_CD1C,0.7435714616354857,77
GSM4138111,cDC1_CLEC9A+cDC2_CD1C,0.6754368725083872,64
GSM4138139,cDC1_CLEC9A+cDC2_CD1C,0.8350329389912197,49
GSM4138131,cDC2_CD1C+mregDC_LAMP3,0.6868703839587447,139
GSM4138139,Mac_CXCL9+Mac_IL1Bint,0.731727562908778,192
GSM4138155,Mac_IL1Bint+Mac_SPP1,0.6419675186505786,151
GSM4138123,Mac_CXCL9+Mac_IL1Bint,0.6845086406588965,476
GSM4138142,Mono_CD14+Mono_CD14_IL1B,0.9738520576951023,443
GSM4138134,Mono_CD14+Mono_CD16+Mono_Int,0.940513995638085,1176
GSM4138152,Mono_CD14+Mono_CD14_ID1+Mono_CD14_IL1B,0.9478401602791663,285
GSM4138146,Mono_CD16+Mono_Int,0.9357299612267651,275
GSM4138130,Mono_CD16+Mono_Int,0.9651832269533915,236
GSM4138156,Mono_CD16+Mono_Int,0.9477927137558239,235
GSM4138136,Mono_CD16+Mono_Int,0.9618442021798039,219
GSM4138140,Mono_CD14+Mono_CD16+Mono_Int,0.9279833694261521,647
GSM4138132,Mono_CD14+Mono_CD16+Mono_Int,0.9431386242925834,613
GSM4138141,Mono_CD14+Mono_CD14_IL1B,0.9385612542641839,197
GSM4138166,Mono_CD16+Mono_Int,0.9488491186923252,161
GSM4138138,Mono_CD16+Mono_Int,0.9536913912022312,179
GSM4138142,Mono_CD16+Mono_Int,0.9420073068909103,166
GSM4138112,Mono_CD16+Mono_Int,0.9427116589083044,141
