gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,52,0.972,0.948,0.816,0.991,8919,Monocyte_family,family
10,5,0.862,0.861,0.769,0.929,279,Ambiguous/Mixed,ambiguous
11,12,0.869,0.854,0.754,0.954,371,DC_family,family
12,2,0.88,0.88,0.859,0.902,112,Ambiguous/Mixed,ambiguous
13,7,0.954,0.944,0.858,0.984,192,Mast,specific
2,53,0.876,0.859,0.7,0.947,6673,cDC2_CD33,specific
3,39,0.962,0.957,0.889,1.0,3635,Mono_CD16,specific
4,17,0.804,0.82,0.691,0.944,1651,Macrophage_family,family
5,12,0.819,0.81,0.683,0.927,964,Ambiguous/Mixed,ambiguous
6,12,0.733,0.74,0.647,0.817,528,Ambiguous/Mixed,ambiguous
7,12,0.837,0.826,0.735,0.908,391,DC_family,family
8,25,0.934,0.924,0.799,0.994,891,Ambiguous/Mixed,ambiguous
9,7,0.773,0.776,0.699,0.88,537,Macrophage_family,family
