gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,58,0.855,0.826,0.594,0.957,14322,Ambiguous/Mixed,ambiguous
10,14,0.945,0.911,0.732,0.99,373,Ambiguous/Mixed,ambiguous
11,17,0.927,0.902,0.738,1.0,509,Ambiguous/Mixed,ambiguous
12,9,0.914,0.904,0.851,0.934,303,Ambiguous/Mixed,ambiguous
13,2,0.916,0.916,0.882,0.949,39,Ambiguous/Mixed,ambiguous
2,53,0.923,0.863,0.56,0.991,4475,Ambiguous/Mixed,ambiguous
3,49,0.92,0.855,0.631,1.0,3545,DC_family,family
6,3,0.926,0.909,0.858,0.943,55,Ambiguous/Mixed,ambiguous
8,22,0.965,0.905,0.708,0.995,798,Ambiguous/Mixed,ambiguous
9,6,0.943,0.923,0.849,0.963,183,Ambiguous/Mixed,ambiguous
