sample,K,gep,label,label_kind,ROGUE,n_cells
GSM4138134,9,1,Mono_CD14_ID1,specific,0.9375022092914893,1212
GSM4138156,9,1,Mono_CD14_ID1,specific,0.8941287005804951,911
GSM4138126,9,1,Mono_CD14_ID1,specific,0.9524984459421777,757
GSM4138116,9,1,Mono_CD14_ID1,specific,0.9295774111559684,701
GSM4138140,9,1,Mono_CD14_ID1,specific,0.9257737344992634,692
GSM4138142,9,1,Mono_CD14_ID1,specific,0.8990559128916908,682
GSM4138132,9,1,Mono_CD14_ID1,specific,0.931604132369899,640
GSM4138136,9,1,Mono_CD14_ID1,specific,0.9151286572377852,632
GSM4138110,9,1,Mono_CD14_ID1,specific,0.9188732496763385,621
GSM4138120,9,1,Mono_CD14_ID1,specific,0.8622278369830793,591
GSM4138130,9,1,Mono_CD14_ID1,specific,0.9188261994959755,584
GSM4138138,9,1,Mono_CD14_ID1,specific,0.9054689187492133,572
GSM4138128,9,1,Mono_CD14_ID1,specific,0.9037870864893426,534
GSM4138122,9,1,Mono_CD14_ID1,specific,0.9037870864893426,534
GSM4138160,9,1,Mono_CD14_ID1,specific,0.9217339520227159,480
GSM4138162,9,1,Mono_CD14_ID1,specific,0.9161076214719268,466
GSM4138166,9,1,Mono_CD14_ID1,specific,0.8883168491082583,456
GSM4138146,9,1,Mono_CD14_ID1,specific,0.8957010475087053,453
GSM4138152,9,1,Mono_CD14_ID1,specific,0.8966682914070914,445
GSM4138165,9,1,Mono_CD14_ID1,specific,0.8946226388164885,431
GSM4138163,9,1,Mono_CD14_ID1,specific,0.9236938356608395,414
GSM4138123,9,3,Macrophage_family,family,0.7156020742106713,388
GSM4138112,9,1,Mono_CD14_ID1,specific,0.8784565288273578,349
GSM4138154,9,1,Mono_CD14_ID1,specific,0.8684664843281709,345
GSM4138114,9,1,Mono_CD14_ID1,specific,0.8945477984308865,341
GSM4138124,9,1,Mono_CD14_ID1,specific,0.939316236569276,337
GSM4138167,9,1,Mono_CD14_ID1,specific,0.8960337037364978,333
GSM4138125,9,7,Macrophage_family,family,0.6990419066560769,326
GSM4138118,9,1,Mono_CD14_ID1,specific,0.9025207988684305,288
GSM4138141,9,1,Mono_CD14_ID1,specific,0.8589754618946721,286
GSM4138135,9,3,Macrophage_family,family,0.7507310947727838,285
GSM4138144,9,1,Mono_CD14_ID1,specific,0.8964372205675685,276
GSM4138158,9,1,Mono_CD14_ID1,specific,0.9287166590483318,266
GSM4138135,9,5,Ambiguous/Mixed,ambiguous,0.7430699560429299,243
GSM4138145,9,1,Mono_CD14_ID1,specific,0.8280475122229481,229
GSM4138137,9,3,Macrophage_family,family,0.8053420142512585,219
GSM4138150,9,1,Mono_CD14_ID1,specific,0.8997570528556955,188
GSM4138145,9,2,DC_family,family,0.7024987419531653,178
GSM4138155,9,1,Mono_CD14_ID1,specific,0.7964997467661603,175
GSM4138155,9,2,DC_family,family,0.6266185759648164,172
GSM4138148,9,1,Mono_CD14_ID1,specific,0.8514418018063459,167
GSM4138135,9,1,Mono_CD14_ID1,specific,0.8814652584693637,167
GSM4138137,9,5,Ambiguous/Mixed,ambiguous,0.7576368415835499,167
GSM4138131,9,3,Macrophage_family,family,0.7634067946602715,165
GSM4138139,9,1,Mono_CD14_ID1,specific,0.8393089938183075,163
GSM4138117,9,1,Mono_CD14_ID1,specific,0.7667678443907462,160
GSM4138164,9,1,Mono_CD14_ID1,specific,0.8764570382233937,148
GSM4138127,9,1,Mono_CD14_ID1,specific,0.8500034276542444,146
GSM4138137,9,1,Mono_CD14_ID1,specific,0.8654764940689047,143
