gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,61,0.834,0.798,0.563,0.947,10974,Ambiguous/Mixed,ambiguous
14,2,0.96,0.96,0.92,1.0,39,Ambiguous/Mixed,ambiguous
16,5,0.77,0.798,0.703,1.0,213,Ambiguous/Mixed,ambiguous
18,7,0.906,0.881,0.74,0.927,170,Ambiguous/Mixed,ambiguous
2,52,0.933,0.923,0.799,0.979,7524,Ambiguous/Mixed,ambiguous
20,4,0.882,0.873,0.799,0.929,70,Ambiguous/Mixed,ambiguous
4,54,0.916,0.864,0.66,0.985,5966,Ambiguous/Mixed,ambiguous
5,6,0.889,0.888,0.834,0.943,198,Mast,specific
6,1,0.961,0.961,0.961,0.961,17,Ambiguous/Mixed,ambiguous
7,3,0.803,0.851,0.789,0.96,66,Ambiguous/Mixed,ambiguous
