gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,62,0.862,0.807,0.551,0.972,24015,Ambiguous/Mixed,ambiguous
2,30,0.927,0.901,0.747,0.986,1057,DC_pDC,specific
3,8,0.816,0.811,0.723,0.851,570,Ambiguous/Mixed,ambiguous
4,7,0.96,0.96,0.941,0.984,165,Mast,specific
9,1,0.938,0.938,0.938,0.938,17,Ambiguous/Mixed,ambiguous
