gep,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells,label,label_kind
1,58,0.853,0.806,0.58,0.942,15932,Ambiguous/Mixed,ambiguous
11,16,0.96,0.954,0.895,0.991,516,Ambiguous/Mixed,ambiguous
13,18,0.876,0.858,0.647,0.989,495,Ambiguous/Mixed,ambiguous
16,11,0.794,0.784,0.657,0.951,417,Ambiguous/Mixed,ambiguous
18,2,0.939,0.939,0.923,0.955,49,Ambiguous/Mixed,ambiguous
19,3,0.985,0.975,0.953,0.987,59,Ambiguous/Mixed,ambiguous
3,48,0.943,0.939,0.858,0.987,5911,Ambiguous/Mixed,ambiguous
4,6,0.91,0.89,0.777,0.954,192,Mast,specific
8,18,0.743,0.751,0.557,0.893,1252,Ambiguous/Mixed,ambiguous
