K,GEP,pathway,NES,pval,fdr,Name,ES,FWER p-val,Tag %,Gene %,Lead_genes,spectra_file
11,1,MERGED_BRAIN_NAIVE_LIKE_T,2.5869930133195584,0.0,0.0,prerank,0.8863612920916453,0.0,93/110,9.04%,CD2;ARHGEF1;CD96;ZAP70;CD3E;IL32;CD3D;SEPTIN1;LAT;ACAP1;TRAF3IP3;IL7R;CD6;CORO1A;THEMIS;TBC1D10C;DGKA;ITK;IL2RG;SKAP1;LCK;GIMAP4;ARHGAP15;CLEC2D;CD5;ETS1;CD7;PTPRC;TCF7;GIMAP7;DENND2D;FGD3;CD3G;RAC2;STK17B;TC2N;ICOS;SAMD3;OXNAD1;IL16;CYTIP;SH2D1A;JAML;ARHGDIB;STK4;LIMD2;PRKCH;TRAT1;GPR171;CD40LG;SEPTIN6;PIK3IP1;TESPA1;ARL4C;LTB;CAMK4;FLT3LG;SCML4;CYFIP2;CD69;LSP1;BTN3A2;GBP2;GPSM3;CD52;LRRN3;LEPROTL1;C16orf54;GMFG;CDC42SE2;TXK;ICAM3;CD48;LY9;FCMR;SATB1;IL27RA;CCR7;RHOH;CCND3;CD27;MTERF4;TNFAIP3;RIPOR2;PLAAT4;PIM2;LPIN1;LEF1;TSC22D3;SELL;SYTL1;LIME1;EMP3,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_B_T,2.567622508139382,0.0,0.0,prerank,0.8834397793342049,0.0,110/123,11.62%,EVL;ITGAL;ARHGEF1;CD96;ZAP70;FYB1;CD3E;IL32;CD3D;SPOCK2;SEPTIN1;TMC8;LAT;ACAP1;IL7R;WIPF1;CORO1A;CCL5;TBC1D10C;ITK;IL2RG;IL2RB;SKAP1;LCK;GIMAP4;ARHGAP15;CLEC2D;CD247;RNF213;NKG7;ETS1;CD7;PTPRC;ARHGAP45;TCF7;GIMAP7;ARHGAP9;DENND2D;CD3G;RAC2;STK17B;CST7;GZMA;SAMD3;SASH3;IL16;PRF1;CYTIP;SH2D1A;BIN2;ARHGDIB;LCP1;ADGRE5;STK4;LIMD2;PRKCH;ITGB2;SEPTIN6;PIK3IP1;LPXN;ARL4C;LTB;SRGN;LAPTM5;PTPN22;CD69;LSP1;CD53;HCLS1;GPSM3;CD52;HCST;LEPROTL1;GMFG;KLRD1;CDC42SE2;TXK;CD48;KLRB1;FCMR;SATB1;GNG2;UCP2;IRF1;RHOH;GPR183;SH3KBP1;CCND3;TNFAIP3;RIPOR2;PLAAT4;PIM2;CTSW;CLEC2B;SLC2A3;DUSP2;RUNX3;PIP4K2A;LEF1;TSC22D3;SELL;PSMB9;ISG20;TAGAP;RGS1;CXCR4;COTL1;PTGER4;GPR65;FAM107B,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_GOBLET,-2.5507909546151537,0.0,0.0,prerank,-0.5566222463951411,0.0,74/134,19.54%,FAM3D;AGR2;MUC4;GOLM1;ATP2C2;TSPAN1;C15orf48;TFF3;CEACAM5;FUT3;CST3;LGALS3;GSN;CREB3L1;FCGBP;MLPH;FUT6;SLC12A2;WNK2;SERINC2;B3GNT3;XBP1;PLEKHA6;SCNN1A;IFI27;MARCKSL1;KLK1;MGST1;GPRC5A;S100P;WFDC2;KLF4;TSPAN15;TMPRSS4;CEACAM6;NDRG2;CRACR2B;KRT19;CTSB;RNASE1;SLC4A4;LCN2;AKR1C3;SAT1;SLPI;BACE2;PLEKHG6;MDK;LYZ;LRRC26;CAPN8;A4GALT;SLC15A2;RFLNA;SLC26A2;STAP2;DUOX2;REP15;TMEM238L;DHRS9;RDH10;PTPRN2;TIMP1;SCNN1B;EGR1;PODXL;C3;FAM3B;SLC6A14;CSTB;FER1L6;RND3;SERPINB3;IGFBP3,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_NAIVE_T,2.5443670539563463,0.0,0.0,prerank,0.8544696407092135,0.0,138/170,14.00%,EVL;CD2;TRAC;ARHGEF1;CD96;FYB1;CD3E;TRBC2;TRBC1;CD3D;SPOCK2;SEPTIN1;TMC8;LAT;ACAP1;TRAF3IP3;TRAF1;IL7R;CD6;THEMIS;DGKA;ITK;RESF1;LCK;GIMAP4;RASGRP1;ARHGAP15;CLEC2D;CD28;SLFN5;CD5;ETS1;ARHGAP45;TCF7;SIRPG;GIMAP7;ITPKB;RORA;BCL11B;CD3G;TNIK;TC2N;TNFRSF25;ICOS;OXNAD1;IL16;PBXIP1;MGAT4A;ATM;ANKRD44;UBASH3A;STK4;TMC6;TRAT1;HELB;GPR171;CD40LG;SEPTIN6;PIK3IP1;TESPA1;LTB;CAMK4;TTC39C;PDE3B;FLT3LG;SCML4;ITM2A;CD69;SIT1;GPSM3;LRRN3;LEPROTL1;GATA3;SFI1;RNF125;BICDL1;RASA3;FNBP1;PBX4;CDC42SE2;ICAM3;CD48;ZNF101;GIMAP1;SATB1;IL27RA;TNFRSF4;NELL2;NMT2;ANXA2R;CCR7;PLK3;IL2RA;RHOH;APBA2;PCED1B;GRAMD1A;ARID5A;CD27;MTERF4;PAG1;ZC3H12D;STMN3;TNFAIP3;RIPOR2;SUSD3;PIM2;BIN1;SMCHD1;LINS1;LEF1;TSC22D3;ANO9;BCL2;RGL4;P2RY10;SLC25A45;LBH;ISG20;TMEM63A;NMRK1;ACSL6;ST3GAL1;PTGER4;DUSP16;FAM107B;HAPLN3;CCR6;GCNT4;TMEM204;PIK3R1;MAL;SOCS1;RGCC;P2RY8;SH2D3A;TSPYL2;KLF2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_3_STROMAL,-2.5379004038756197,0.0,0.0,prerank,-0.6265860498737849,0.0,33/49,18.14%,COL4A2;SPARC;TPM1;COL3A1;COL1A2;CALD1;COL4A1;DST;COL6A3;COL1A1;FN1;FOS;FSTL1;COL5A2;ALCAM;MDK;IGFBP5;VCAN;PBX1;PXDN;RBP1;UACA;CDH11;SOX4;MYLK;SERPINH1;PALLD;TNC;NR2F2;GPC3;CCDC88A;PTN;NR2F1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_PPP1R1B_POSITIVE,-2.5163025780963033,0.0,0.0,prerank,-0.7684420529414018,0.0,21/27,15.90%,EPCAM;ELF3;GOLM1;LGALS3;ABCC3;PPP1R1B;MLPH;GPX2;MARCKSL1;TACSTD2;FOS;SAT1;ALDH3A1;LYZ;SDC4;KCNE3;JUN;CLU;ADIRF;EGR1;GATM,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_FAP,-2.5121883780970786,0.0,0.0,prerank,-0.5675837676279858,0.0,80/112,26.00%,FCGRT;CST3;GSN;LRP1;NUPR1;COL6A1;COL3A1;MGST1;C1S;COL1A2;LAMC1;PLPP3;FBLN1;EPHX1;CXCL14;EMP1;C1R;PSAP;COL6A3;SELENOP;COL1A1;COL6A2;FN1;IGFBP7;MMP2;HSPG2;DCN;SSR4;LUM;SERPINF1;CXCL12;FSTL1;DAB2;TIMP2;MFAP4;PRDX4;FGL2;VCAN;CYBRD1;ALDH1A1;GPNMB;PMP22;ACKR3;LTBP4;SERPING1;TNXB;PTGDS;COL15A1;TFPI;PCOLCE;FBLN5;ABCA8;TIMP1;HSP90B1;CFD;FBLN2;C3;EFEMP1;MXRA8;CYB5A;CSTB;CCDC80;RND3;HSPA5;FHL1;ADH1B;SDC2;PDGFRA;PODN;TSPAN4;CFH;GPX3;MAP1B;SMOC2;MGP;DBI;IGF1;SELENOM;ABCA10;LAMA2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_LYZ_POSITIVE,-2.5057209820799806,0.0,0.0,prerank,-0.7753946154519913,0.0,18/23,17.08%,AGR2;CD24;GOLM1;CST3;CREB3L1;PPP1R1B;SLC12A2;PKDCC;GLUL;FOS;TM4SF1;SLPI;LYZ;CLU;ADIRF;EGR1;FMOD;FAM3B,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_CD8_NAIVE_T,2.4811641708318093,0.0,0.0,prerank,0.8669530564341308,0.0,84/102,10.10%,CD2;ITGAL;CD96;ZAP70;AKNA;CD3E;IL32;CD3D;SPOCK2;SEPTIN1;RASAL3;CCL5;TBC1D10C;ITK;TIGIT;SKAP1;SPN;LCK;CD8A;FYN;PYHIN1;SLFN5;NKG7;ETS1;CD7;STAT4;MYO1G;RORA;BCL11B;CD3G;CST7;SIGIRR;TC2N;IL10RA;GZMA;SAMD3;SH2D2A;PRF1;SH2D1A;IKZF3;KLRG1;SLA2;SYTL3;PRKCH;ITGB2;SLAMF6;ARL4C;GZMM;LSP1;IL12RB1;BTN3A2;MATK;EMB;PLEKHF1;EOMES;SYNE1;HCST;GZMH;FCRL6;APOBEC3G;RNF125;KLRD1;CDC42SE2;GNG2;LAG3;BTN3A1;S1PR4;CCND3;ANXA6;GFI1;PTPN4;PLAAT4;TBX21;BIN1;CTSW;CHST12;RUNX3;PIP4K2A;GZMB;GNLY;CRTAM;CCND2;ISG20;CDC25B,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
11,1,MERGED_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL,-2.477311908562659,0.0,0.0,prerank,-0.5281610035556498,0.0,68/166,11.00%,EPCAM;CLDN7;SLC44A4;FAM3D;AGR2;ELF3;CLDN4;MUC4;TSPAN1;KRT8;VSIG2;SPINT1;TFF3;MUC1;LGALS3;PRSS8;MYH14;PLA2G2A;EHF;SERPINA1;EPS8L2;SLC12A2;SERINC2;B3GNT3;ZNF703;MGST1;GPRC5A;S100P;ERBB2;WFDC2;RAB25;KLF4;GCNT3;CXCL14;ESRP2;ALOX5;TMPRSS4;CEACAM6;TSPAN6;KRT19;LIPH;CFB;TACSTD2;MUC20;MPZL2;GALNT5;GRHL2;DTX4;LCN2;PKP1;MALL;SLPI;RARRES1;MAL2;TMC5;FAM83H;A4GALT;SDC4;C6orf132;SLC15A2;KCNE3;TJP3;TMEM184A;CCL28;STAP2;KRT15;CDKN2B;CLDN1,anal_pc5_c21_S1.filtered.gene_spectra_score.k_11.dt_0_01.txt
