K,GEP,pathway,NES,pval,fdr,Name,ES,FWER p-val,Tag %,Gene %,Lead_genes,spectra_file
20,1,MERGED_ISTHMUS,-3.0813629222645007,0.0,0.0,prerank,-0.6716953719502811,0.0,97/144,16.94%,EPCAM;GSN;CDH1;LGALS3;KRT8;AGR2;GPX2;ELF3;TACSTD2;ITGB4;KRT19;MYH14;TSPAN1;ALDH3A1;AKR1C3;ID1;ABCC3;MISP;SERPINB5;ATP8B1;FCGBP;MUC1;NQO1;LAMB3;TMPRSS4;CREB3L1;HES1;NUSAP1;TOP2A;MLPH;DST;MAL2;NIBAN2;KLF4;PLEKHA6;RBM47;TUBA1C;S100P;LMO4;CA2;MKI67;FLNB;TFCP2L1;TPX2;MGLL;BACE2;CAPG;S100A14;LAMA3;PALLD;AKR1B10;ASAP2;BLVRB;ITGA6;SYTL2;EFNB2;UGDH;KCNE3;TXNRD1;TK1;ADAM15;CYP3A5;MYO10;PTTG1;CCNB1;SDC4;SH3RF1;TPM1;DBI;HMGB2;TSPAN15;CSTB;TUBB4B;PRC1;TLN2;KLF3;FOXQ1;LMO7;PLXNA2;LAD1;CAPN8;PPARG;CKS2;ASPM;NET1;SCD;PPFIBP1;AKAP1;FABP5;FERMT1;CENPF;TIMP1;NMU;REP15;CCND1;TTC39A;CENPE,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_PROLIFERATING_BASAL,-3.0664638309754686,0.0,0.0,prerank,-0.586498536415114,0.0,153/219,23.98%,AGR2;GPX2;TACSTD2;ITGB4;IGFBP2;KRT19;FAM3D;IGFBP4;BCL11A;PKP1;ALDH3A1;CXCL14;CALML3;TCF4;ZNF703;GLUL;CLCA2;ADGRG1;FBLN1;CDK1;SERPINB5;COL17A1;GPC1;PITX1;TP63;DPYSL3;SERINC2;SERPINF1;LAMB3;MDK;HES1;NUSAP1;PRSS23;TOP2A;DST;PRXL2A;TYMS;OAF;PHGDH;KRT17;A4GALT;TUBA1C;ECT2;S100A2;LMO4;MKI67;KIFC1;TPX2;CSTA;IFITM3;GPNMB;GPSM2;CENPU;KRT14;CAPG;KRT15;SERPINB3;S100A14;ANLN;TROAP;AKR1B10;FAM3B;BIRC5;PTN;CDH3;ITGA6;CDC20;TCF19;KRT6A;KIF23;CALD1;PLK1;TK1;ADAM15;ZWINT;CENPW;RRM2;PTTG1;CCNB1;PTGR1;NCAPG;CDKN2C;CCNB2;HMGB2;HJURP;GTSE1;UACA;PRC1;LAD1;TNFSF10;CDCA3;CKS2;SLC2A1;ASPM;UHRF1;SPC25;CDT1;AVPI1;SERPINB13;BUB1;HMMR;SNAI2;FABP5;FERMT1;KPNA2;CENPF;TTK;TIMP1;NMU;AURKA;CDCA2;CEP55;DEPDC1;FAM83D;KIF2C;CENPE;CAV1;NEK2;PTPRZ1;MT2A;FGFBP1;KIF20A;SNCA;SERPINB4;FHL2;CKAP2L;NDC80;GLTP;UBE2C;RND3;LMNB1;RHOBTB3;ORC6;DLGAP5;MELK;FOXM1;HEY1;FANCI;KRT13;KIF11;KRT16;SPRY1;TNC;NUF2;HS3ST1;SLC7A1;PCLAF;EZH2;LY6D;HEXB;ARL6IP1;KNSTRN;CENPM,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_IMMATURE_PIT,-2.8754910228239603,0.0,0.0,prerank,-0.7082377301242777,0.0,47/69,13.66%,GSN;LGALS3;KRT8;AGR2;GPX2;TACSTD2;ITGB4;KRT19;TSPAN1;IFI27;ALDH3A1;VSIG2;CEACAM5;AKR1C3;ID1;ABCC3;FCGBP;AKR1C2;MUC1;NQO1;MAL2;KLF4;RBM47;RNASE1;S100P;CA2;FLNB;MGLL;DSC2;CAPG;S100A14;AKR1B10;BLVRB;SYTL2;EFNB2;UGDH;CYP3A5;TPM1;PTGR1;CSTB;KLF3;FOXQ1;LMO7;CAPN8;CYSTM1;NET1;ABCC5,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_MATURE_PIT,-2.8235650755444515,0.0,0.0,prerank,-0.6246545726053274,0.0,65/102,17.54%,GSN;LGALS3;KRT8;GPX2;ELF3;TACSTD2;KRT19;SPINT1;MYH14;TSPAN1;IGFBP4;IFI27;C15orf48;ALDH3A1;VSIG2;CEACAM5;SCNN1A;AKR1C3;ID1;ABCC3;COL17A1;FCGRT;FCGBP;AKR1C2;MUC1;NQO1;LAMB3;OCLN;CREB3L1;HES1;MLPH;MAL2;SLPI;KLF4;TNFRSF21;RBM47;TUBA1C;RNASE1;S100P;CA2;FLNB;CSTA;VEGFA;MGLL;DSC2;S100A14;AKR1B10;SYTL2;EFNB2;CYP3A5;SPIRE2;UNC5B;KLF3;FOXQ1;LMO7;CAPN8;CYSTM1;NET1;ABCC5;DUOX2;RIPK4;REP15;CCND1;MT2A;IFI6,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_URETERIC_BUD,-2.807782267526404,0.0,0.0,prerank,-0.5929286837629182,0.0,85/144,23.58%,CLDN7;CLDN4;KRT8;GPX2;ELF3;TACSTD2;ITGB4;KRT19;SPINT1;MYH14;FAM3D;TSPAN1;PKP1;VSIG2;EHF;COL17A1;ALDH1A1;AKR1C2;MUC1;ATP10B;LAMB3;TMEM45B;MLPH;MAL2;AOC1;IRF6;MAOA;B3GNT3;S100P;CGN;S100A2;CDCP1;PLEKHG6;ESRP2;PPL;MYO6;ADIRF;EPB41L4B;PPFIBP2;GRHL2;PROM2;KRT15;S100A14;FAM3B;RNF43;BICDL2;POF1B;RDH10;EVPL;C6orf132;HR;TNS4;PTGR1;TFAP2A;CBLC;DEGS2;TMEM184A;C4orf19;FOXQ1;VTCN1;LAD1;CYP4B1;SCNN1B;GRHL1;CYP4F3;SDK1;LY6K;TTC39A;TMEM238L;KRT80;CFI;CYP4F11;CWH43;KRT7;SPRR3;NAALADL2;SCIN;PRSS22;ANXA3;GRHL3;ITGB6;NECTIN4;DUOXA1;ADGRF1;LY6D,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_CORNEAL_AND_CONJUNCTIVAL_EPITHELIAL,-2.64974654484803,0.0,0.0,prerank,-0.5375904500674574,0.0,73/166,10.48%,EPCAM;CLDN7;CLDN4;LGALS3;KRT8;AGR2;MUC4;ELF3;TACSTD2;KRT19;SLC44A4;SPINT1;MYH14;FAM3D;TSPAN1;PKP1;CXCL14;ZNF703;VSIG2;EHF;MGST1;TFF3;PRSS8;RAB25;WFDC2;ALOX5;EPS8L2;PLA2G2A;MPZL2;MUC1;SERPINA1;SERINC2;TMPRSS4;MAL2;SLPI;KLF4;CLDN1;GPRC5A;CALML5;A4GALT;LCN2;ERBB2;GCNT3;B3GNT3;S100P;CEACAM6;ESRP2;SLC12A2;ANXA1;ADIRF;CDKN2A;GRHL2;KRT15;GALNT5;FAM83H;LIPH;SYTL2;TSPAN6;MALL;KCNE3;EVPL;C6orf132;CFB;DTX4;MUC20;RHOV;SDC4;CDKN2B;SLC15A2;DHRS9;RARRES1;TMC5;GABRP,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_DEUTEROSOMAL,-2.612720861591401,0.0,0.0,prerank,-0.5715748184616051,0.0,63/89,28.02%,PPP1R1B;CDK1;CD19;MARCKSL1;TOP2A;SULF2;TYMS;ECT2;TPX2;SLC12A2;GPSM2;CENPU;ANLN;TROAP;FAM3B;BIRC5;ASAP2;PTN;MATN2;CDC20;KIF23;PLK1;ZWINT;CENPW;PTTG1;CCNB1;CCNB2;PRC1;CKS2;ASPM;CDT1;BUB1;MYO3A;KPNA2;CENPF;TTK;AURKA;DEPDC1;CDCA8;SPAG5;RAD54L;COCH;NEK2;KIF20A;CTNNBIP1;CKAP2L;CCDC88A;UBE2C;ENC1;ORC6;DLGAP5;MELK;FOXM1;FANCI;NUF2;EZH2;KNSTRN;KIF14;CDCA7L;KIF15;HELLS;KIF18A;ACOT7,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_EPCAM_POS_BILE_DUCT,-2.6115314522851176,0.0,0.0,prerank,-0.5309939184533657,0.0,105/227,12.42%,EPCAM;CLDN7;CD24;CDH1;CLDN4;LGALS3;KRT8;AGR2;DDR1;GPX2;ELF3;TACSTD2;KRT19;SPINT1;GLUL;PTPRK;NEDD4L;GOLM1;ABCC3;TFF3;WFDC2;ALCAM;CKB;AKR1C2;MUC1;NQO1;LAMB3;CES1;OCLN;HES1;MLPH;DST;MAL2;SLPI;NIBAN2;HSPA1B;CLDN1;TNFRSF21;EPHA2;ITGB5;PHGDH;RHOB;RBM47;CAMK2N1;LCN2;MAOA;LAMA5;ATP1B1;TM4SF1;GCNT3;ERBB3;CGN;LMO4;CEACAM6;CA2;FLNB;CLU;SLC12A2;MYO6;VEGFA;WNK2;MGLL;LAMC1;FGFR2;DSTN;BACE2;THBS1;C12orf75;S100A14;CRIM1;AKR1B10;CAV2;AQP1;NFIB;SLC4A4;SOX4;PDZK1IP1;C6orf132;TJP1;TNFAIP2;PBX1;CYP3A5;MYO10;PLXNB1;CTSH;SDC4;TPM1;KLK11;ANPEP;ADAM9;SDCBP2;TMC5;VCAN;GABRP;TUBB4B;SOD3;VTCN1;LMO7;LAD1;LGALS2;HSD17B11;PROM1;PLD1;CYSTM1;BMP2,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_PROLIFERATIVE,-2.5791315411725764,0.0,0.0,prerank,-0.6218629144807757,0.0,58/74,25.04%,CDK1;NUSAP1;TOP2A;TYMS;COL4A2;MKI67;KIFC1;TPX2;ADRB2;CENPU;ANLN;TROAP;BIRC5;CDC20;PXDN;IQGAP3;KIF23;PLK1;TK1;ADAM15;ZWINT;MYO10;CENPW;RRM2;PTTG1;CCNB1;CCNB2;HJURP;GTSE1;PRC1;ST3GAL4;CDCA3;ASPM;SPC25;CDT1;HMMR;KPNA2;CENPF;NMU;AURKA;CEP55;DEPDC1;TXNDC17;CDCA8;CENPE;SMTN;NEK2;CKAP2L;NDC80;UBE2C;FOXM1;PSRC1;NUF2;PCLAF;ARL6IP1;KNSTRN;KIF14;CENPA,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
20,1,MERGED_SUSTENTACULAR,-2.5767560123155158,0.0,0.0,prerank,-0.7838883121040703,0.0,17/28,6.44%,CLDN4;KRT8;AGR2;ELF3;KRT19;FAM3D;TSPAN1;VSIG2;MGST1;TFF3;WFDC2;MUC1;PRSS23;LCN2;S100P;SERPINB3;S100A14,anal_pc5_c21_S1.filtered.gene_spectra_score.k_20.dt_0_01.txt
