sample,K,gep,label,label_kind,whole_gep_ROGUE,whole_gep_n_cells,matched_n_cells,matched_frac,matched_ROGUE,contamination_delta
GSM4138131,6,6,Mast,specific,0.9564196483172959,19,18,0.9473684210526315,0.9764376533440459,0.020018005026749996
GSM4138115,6,5,DC_pDC,specific,0.9794161116049125,18,18,1.0,0.9794161116049125,0.0
GSM4138135,6,5,DC_pDC,specific,0.9714275620812333,18,17,0.9444444444444444,0.9787886250594097,0.0073610629781764025
GSM4138145,6,3,Macrophage_family,family,0.9668025194701134,17,17,1.0,0.9668025194701134,0.0
GSM4138162,6,5,DC_pDC,specific,0.9897606953288196,17,17,1.0,0.9897606953288196,0.0
GSM4138130,6,5,DC_pDC,specific,0.9652784490766921,17,17,1.0,0.9652784490766921,0.0
GSM4138149,6,2,DC_family,family,0.9431629675052705,16,11,0.6875,,
GSM4138121,6,3,Macrophage_family,family,0.954341197235705,16,16,1.0,0.954341197235705,0.0
GSM4138170,6,2,DC_family,family,0.967132556190899,16,16,1.0,0.967132556190899,0.0
GSM4138163,6,5,DC_pDC,specific,0.9941087355013785,16,16,1.0,0.9941087355013785,0.0
GSM4138157,6,5,DC_pDC,specific,0.978093154163344,16,16,1.0,0.978093154163344,0.0
GSM4138117,6,6,Mast,specific,0.9848958966969695,15,15,1.0,0.9848958966969695,0.0
GSM4138134,6,5,DC_pDC,specific,0.9856991785152992,15,15,1.0,0.9856991785152992,0.0
GSM4138151,6,5,DC_pDC,specific,0.9806392337550041,15,15,1.0,0.9806392337550041,0.0
GSM4138134,7,1,Mono_CD14_ID1,specific,0.9561562126178971,1213,1,0.0008244023083264633,,
GSM4138156,7,1,Mono_CD14_ID1,specific,0.9057935180236475,912,9,0.009868421052631578,,
GSM4138126,7,1,Mono_CD14_ID1,specific,0.9549444876876225,757,9,0.011889035667107,,
GSM4138116,7,1,Mono_CD14_ID1,specific,0.9303430193458323,701,0,0.0,,
GSM4138140,7,1,Mono_CD14_ID1,specific,0.922601387293611,692,2,0.002890173410404624,,
GSM4138142,7,1,Mono_CD14_ID1,specific,0.9099268124169119,686,37,0.05393586005830904,0.9672045977511199,0.05727778533420802
GSM4138132,7,1,Mono_CD14_ID1,specific,0.9366804967071318,642,1,0.001557632398753894,,
GSM4138136,7,1,Mono_CD14_ID1,specific,0.911325329709356,634,13,0.02050473186119874,,
GSM4138110,7,1,Mono_CD14_ID1,specific,0.9166625949074731,625,12,0.0192,,
GSM4138120,7,1,Mono_CD14_ID1,specific,0.8739225499269356,591,464,0.7851099830795262,0.9143636094168758,0.040441059489940145
GSM4138130,7,1,Mono_CD14_ID1,specific,0.923439792533927,584,1,0.0017123287671232876,,
GSM4138138,7,1,Mono_CD14_ID1,specific,0.90393497044711,573,2,0.0034904013961605585,,
GSM4138128,7,1,Mono_CD14_ID1,specific,0.8959558474415688,535,0,0.0,,
GSM4138122,7,1,Mono_CD14_ID1,specific,0.8959558474415688,535,0,0.0,,
GSM4138160,7,1,Mono_CD14_ID1,specific,0.9194571607494754,481,0,0.0,,
GSM4138162,7,1,Mono_CD14_ID1,specific,0.9205112601574489,467,7,0.014989293361884369,,
GSM4138166,7,1,Mono_CD14_ID1,specific,0.9007023458285124,458,10,0.021834061135371178,,
GSM4138146,7,1,Mono_CD14_ID1,specific,0.8998833118367539,455,1,0.002197802197802198,,
GSM4138152,7,1,Mono_CD14_ID1,specific,0.9018983641004333,447,142,0.31767337807606266,0.9520007247267991,0.05010236062636575
GSM4138165,7,1,Mono_CD14_ID1,specific,0.911111095348856,433,0,0.0,,
GSM4138123,7,3,Macrophage_family,family,0.7433099985602454,419,416,0.9928400954653938,0.743904213596224,0.0005942150359786735
GSM4138163,7,1,Mono_CD14_ID1,specific,0.918019092008881,415,11,0.02650602409638554,,
GSM4138135,7,3,Macrophage_family,family,0.7525181923360985,357,353,0.988795518207283,0.7563111994374366,0.0037930071013381195
GSM4138112,7,1,Mono_CD14_ID1,specific,0.9047463027850867,349,0,0.0,,
GSM4138154,7,1,Mono_CD14_ID1,specific,0.8796474224109901,346,149,0.430635838150289,0.943462555263132,0.06381513285214191
GSM4138114,7,1,Mono_CD14_ID1,specific,0.9041187622949814,345,2,0.005797101449275362,,
GSM4138125,7,3,Macrophage_family,family,0.7510424710902694,339,338,0.9970501474926253,0.7509472854292789,-9.518566099053771e-05
GSM4138124,7,1,Mono_CD14_ID1,specific,0.9237456780946116,339,0,0.0,,
GSM4138167,7,1,Mono_CD14_ID1,specific,0.8982685146912551,336,1,0.002976190476190476,,
GSM4138137,7,3,Macrophage_family,family,0.7915496097591852,305,304,0.9967213114754099,0.7917825019890572,0.00023289222987199487
GSM4138141,7,1,Mono_CD14_ID1,specific,0.894415114261546,295,2,0.006779661016949152,,
GSM4138118,7,1,Mono_CD14_ID1,specific,0.9022237135692892,288,170,0.5902777777777778,0.9335570118094065,0.031333298240117324
GSM4138144,7,1,Mono_CD14_ID1,specific,0.8933690019173579,278,13,0.046762589928057555,,
GSM4138158,7,1,Mono_CD14_ID1,specific,0.9295715463367556,268,8,0.029850746268656716,,
GSM4138145,7,1,Mono_CD14_ID1,specific,0.8318687849949159,231,8,0.03463203463203463,,
GSM4138150,7,1,Mono_CD14_ID1,specific,0.9137768683727561,188,8,0.0425531914893617,,
GSM4138155,7,1,Mono_CD14_ID1,specific,0.8179259614326891,182,5,0.027472527472527472,,
GSM4138145,7,2,DC_family,family,0.7667565339396528,180,171,0.95,0.7643153639902075,-0.002441169949445321
GSM4138148,7,1,Mono_CD14_ID1,specific,0.8734551110742803,169,5,0.029585798816568046,,
GSM4138155,7,2,DC_family,family,0.7156339822417607,169,147,0.8698224852071006,0.7288762071083763,0.013242224866615637
GSM4138139,7,3,Macrophage_family,family,0.738400915012926,164,163,0.9939024390243902,0.7380861968465025,-0.00031471816642358874
GSM4138139,7,1,Mono_CD14_ID1,specific,0.8569647318392697,163,2,0.012269938650306749,,
GSM4138117,7,1,Mono_CD14_ID1,specific,0.8152954804919879,158,1,0.006329113924050633,,
GSM4138127,7,1,Mono_CD14_ID1,specific,0.8854385673761549,153,14,0.0915032679738562,,
GSM4138164,7,1,Mono_CD14_ID1,specific,0.8614121220574006,149,0,0.0,,
GSM4138135,7,1,Mono_CD14_ID1,specific,0.9285470774509396,149,4,0.026845637583892617,,
GSM4138137,7,1,Mono_CD14_ID1,specific,0.8916128560070626,137,4,0.029197080291970802,,
GSM4138131,7,1,Mono_CD14_ID1,specific,0.893620231078882,136,3,0.022058823529411766,,
GSM4138143,7,1,Mono_CD14_ID1,specific,0.8356963884394084,135,2,0.014814814814814815,,
GSM4138131,7,3,Macrophage_family,family,0.7891679715006328,135,93,0.6888888888888889,0.8157215278551113,0.026553556354478536
GSM4138125,7,1,Mono_CD14_ID1,specific,0.8510985476899218,133,2,0.015037593984962405,,
GSM4138161,7,1,Mono_CD14_ID1,specific,0.8706415677673353,126,6,0.047619047619047616,,
GSM4138111,7,1,Mono_CD14_ID1,specific,0.8126364816381839,125,4,0.032,,
GSM4138131,7,6,DC_pDC,specific,0.9183495726472163,108,104,0.9629629629629629,0.923305153044135,0.00495558039691868
GSM4138161,7,6,DC_pDC,specific,0.8669479000470499,107,106,0.9906542056074766,0.8573154205164121,-0.009632479530637839
GSM4138143,7,2,DC_family,family,0.7778354547913591,99,80,0.8080808080808081,0.8246806893839914,0.046845234592632345
GSM4138155,7,3,Macrophage_family,family,0.7283336337238286,98,97,0.9897959183673469,0.7387517639996894,0.010418130275860804
GSM4138141,7,2,DC_family,family,0.8243632076845719,95,80,0.8421052631578947,0.8538757054582796,0.02951249777370768
GSM4138161,7,2,DC_family,family,0.7543310480738157,94,86,0.9148936170212766,0.7538507683320567,-0.00048027974175901544
GSM4138129,7,1,Mono_CD14_ID1,specific,0.8798254775142139,91,5,0.054945054945054944,,
GSM4138133,7,3,Macrophage_family,family,0.8142632632369665,87,82,0.9425287356321839,0.8265583394165255,0.01229507617955894
GSM4138113,7,1,Mono_CD14_ID1,specific,0.8619256109051657,86,0,0.0,,
GSM4138117,7,3,Macrophage_family,family,0.797906075580249,79,79,1.0,0.797906075580249,0.0
GSM4138129,7,3,Macrophage_family,family,0.8448279978406515,78,76,0.9743589743589743,0.8446612505466565,-0.00016674729399501764
GSM4138115,7,2,DC_family,family,0.8248290660188594,75,69,0.92,0.8322861035552731,0.007457037536413691
GSM4138141,7,6,DC_pDC,specific,0.9165508686482305,72,72,1.0,0.9165508686482305,0.0
GSM4138133,7,2,DC_family,family,0.869591411745131,67,56,0.835820895522388,0.860193268450239,-0.00939814329489197
GSM4138111,7,2,DC_family,family,0.7985522767019447,65,55,0.8461538461538461,0.8248252611339209,0.02627298443197612
GSM4138111,7,6,DC_pDC,specific,0.8947421105721687,64,64,1.0,0.8947421105721687,0.0
GSM4138131,7,2,DC_family,family,0.8679187604286493,62,48,0.7741935483870968,0.8714486485073196,0.0035298880786702735
GSM4138139,7,7,Mast,specific,0.966827109414383,59,59,1.0,0.966827109414383,0.0
GSM4138141,7,3,Macrophage_family,family,0.8747465570091368,57,48,0.8421052631578947,0.8842308266941569,0.00948426968502003
GSM4138133,7,1,Mono_CD14_ID1,specific,0.942042678532171,57,0,0.0,,
GSM4138159,7,1,Mono_CD14_ID1,specific,0.9410856453243512,53,3,0.05660377358490566,,
GSM4138139,7,2,DC_family,family,0.891093085599491,52,47,0.9038461538461539,0.9150402154081079,0.023947129808616907
GSM4138155,7,6,DC_pDC,specific,0.9011069531084976,51,50,0.9803921568627451,0.9062361607604512,0.005129207651953571
GSM4138157,7,1,Mono_CD14_ID1,specific,0.9268573649155646,50,2,0.04,,
GSM4138123,7,6,DC_pDC,specific,0.9508575041839805,48,48,1.0,0.9508575041839805,0.0
GSM4138157,7,2,DC_family,family,0.8289049480989218,48,37,0.7708333333333334,0.8818086027949306,0.05290365469600877
GSM4138119,7,1,Mono_CD14_ID1,specific,0.9465758877288001,48,0,0.0,,
GSM4138121,7,1,Mono_CD14_ID1,specific,0.9064324696355014,45,6,0.13333333333333333,,
GSM4138143,7,6,DC_pDC,specific,0.9287322613330776,45,45,1.0,0.9287322613330776,0.0
GSM4138145,7,6,DC_pDC,specific,0.945258029964264,45,45,1.0,0.945258029964264,0.0
GSM4138159,7,2,DC_family,family,0.8089205054940727,45,38,0.8444444444444444,0.8237717741498397,0.014851268655767025
GSM4138123,7,2,DC_family,family,0.7793867648753902,44,36,0.8181818181818182,0.8230292450872987,0.04364248021190853
GSM4138127,7,3,Macrophage_family,family,0.9253492289193467,42,39,0.9285714285714286,0.9567962340142492,0.0314470050949025
GSM4138113,7,6,DC_pDC,specific,0.9193607203971467,34,34,1.0,0.9193607203971467,0.0
GSM4138135,7,2,DC_family,family,0.8563168086952782,32,18,0.5625,0.9115154623561621,0.055198653660883945
GSM4138143,7,7,Mast,specific,0.9748135904112316,31,31,1.0,0.9748135904112316,0.0
GSM4138115,7,1,Mono_CD14_ID1,specific,0.9575802705409975,31,1,0.03225806451612903,,
GSM4138123,7,1,Mono_CD14_ID1,specific,0.9491042945264545,31,0,0.0,,
GSM4138147,7,6,DC_pDC,specific,0.935324749011505,31,31,1.0,0.935324749011505,0.0
GSM4138137,7,2,DC_family,family,0.8649743954733138,31,17,0.5483870967741935,0.9190058279471073,0.054031432473793495
GSM4138111,7,7,Mast,specific,0.9050661191766445,28,28,1.0,0.9050661191766445,0.0
GSM4138127,7,6,DC_pDC,specific,0.9560784239578238,28,27,0.9642857142857143,0.9538411986320278,-0.002237225325796066
GSM4138113,7,2,DC_family,family,0.8664178414200414,28,27,0.9642857142857143,0.8650700839264305,-0.0013477574936109349
GSM4138119,7,2,DC_family,family,0.7973531841943233,27,18,0.6666666666666666,0.9277640980677694,0.13041091387344605
GSM4138125,7,2,DC_family,family,0.9108778683011874,25,16,0.64,0.9577252028504422,0.046847334549254716
GSM4138112,7,6,DC_pDC,specific,0.9670409840078681,25,25,1.0,0.9670409840078681,0.0
GSM4138129,7,6,DC_pDC,specific,0.9868286715955322,25,25,1.0,0.9868286715955322,0.0
GSM4138119,7,3,Macrophage_family,family,0.8436462650752521,24,23,0.9583333333333334,0.8554278863724538,0.011781621297201728
GSM4138153,7,2,DC_family,family,0.9253293528897513,24,19,0.7916666666666666,0.9477268539540532,0.02239750106430194
GSM4138143,7,3,Macrophage_family,family,0.9114122576070792,23,23,1.0,0.9114122576070792,0.0
GSM4138139,7,6,DC_pDC,specific,0.9506174967437965,22,22,1.0,0.9506174967437965,0.0
GSM4138129,7,2,DC_family,family,0.9511530133079233,22,18,0.8181818181818182,0.9772710122829655,0.02611799897504219
GSM4138160,7,6,DC_pDC,specific,0.9826077730887751,22,22,1.0,0.9826077730887751,0.0
GSM4138117,7,2,DC_family,family,0.9676818198729329,21,18,0.8571428571428571,0.9580029116911486,-0.009678908181784296
GSM4138111,7,3,Macrophage_family,family,0.9111643394169278,21,21,1.0,0.9111643394169278,0.0
GSM4138135,7,7,Mast,specific,1.0,21,21,1.0,1.0,0.0
GSM4138144,7,2,DC_family,family,0.9708045111142379,20,20,1.0,0.9708045111142379,0.0
GSM4138133,7,6,DC_pDC,specific,0.9772575612773257,20,20,1.0,0.9772575612773257,0.0
GSM4138122,7,6,DC_pDC,specific,0.9782659584116306,20,20,1.0,0.9782659584116306,0.0
GSM4138168,7,6,DC_pDC,specific,0.9457890908623999,20,20,1.0,0.9457890908623999,0.0
GSM4138110,7,6,DC_pDC,specific,0.9697106021963595,20,20,1.0,0.9697106021963595,0.0
GSM4138128,7,6,DC_pDC,specific,0.9782659584116306,20,20,1.0,0.9782659584116306,0.0
GSM4138121,7,2,DC_family,family,0.9262283701585734,19,18,0.9473684210526315,0.9388958231924827,0.01266745303390926
GSM4138135,7,6,DC_pDC,specific,0.9592348250153161,19,17,0.8947368421052632,0.9787886250594097,0.019553800044093572
GSM4138127,7,2,DC_family,family,0.974423076742236,19,17,0.8947368421052632,0.987087942794276,0.01266486605203998
GSM4138157,7,3,Macrophage_family,family,0.9635954523219945,19,19,1.0,0.9635954523219945,0.0
GSM4138155,7,7,Mast,specific,0.9381206978557273,19,19,1.0,0.9381206978557273,0.0
GSM4138115,7,6,DC_pDC,specific,0.9816087420119992,19,19,1.0,0.9816087420119992,0.0
GSM4138131,7,7,Mast,specific,0.9564196483172959,19,18,0.9473684210526315,0.9764376533440459,0.020018005026749996
GSM4138153,7,1,Mono_CD14_ID1,specific,0.895311369775414,19,0,0.0,,
GSM4138162,7,2,DC_family,family,0.9902770529495832,18,18,1.0,0.9902770529495832,0.0
GSM4138120,7,2,DC_family,family,0.9811159638729601,18,18,1.0,0.9811159638729601,0.0
GSM4138171,7,2,DC_family,family,1.0,18,15,0.8333333333333334,1.0,0.0
GSM4138159,7,3,Macrophage_family,family,0.9708356744047855,18,18,1.0,0.9708356744047855,0.0
GSM4138172,7,2,DC_family,family,0.9754958122373675,18,16,0.8888888888888888,0.9863191889443204,0.01082337670695288
GSM4138162,7,6,DC_pDC,specific,0.9897606953288196,17,17,1.0,0.9897606953288196,0.0
GSM4138130,7,6,DC_pDC,specific,0.9652784490766921,17,17,1.0,0.9652784490766921,0.0
GSM4138157,7,6,DC_pDC,specific,0.978093154163344,16,16,1.0,0.978093154163344,0.0
GSM4138163,7,6,DC_pDC,specific,0.9941087355013785,16,16,1.0,0.9941087355013785,0.0
GSM4138145,7,3,Macrophage_family,family,1.0,16,16,1.0,1.0,0.0
GSM4138121,7,3,Macrophage_family,family,0.9498235871955446,15,15,1.0,0.9498235871955446,0.0
GSM4138134,7,6,DC_pDC,specific,0.9856991785152992,15,15,1.0,0.9856991785152992,0.0
GSM4138117,7,7,Mast,specific,0.9848958966969695,15,15,1.0,0.9848958966969695,0.0
GSM4138151,7,6,DC_pDC,specific,0.9806392337550041,15,15,1.0,0.9806392337550041,0.0
GSM4138152,7,2,DC_family,family,0.9905377356009475,15,15,1.0,0.9905377356009475,0.0
GSM4138147,7,2,DC_family,family,0.9840307386621786,15,13,0.8666666666666667,,
GSM4138134,8,1,Mono_CD14_ID1,specific,0.9561562126178971,1213,1,0.0008244023083264633,,
GSM4138156,8,1,Mono_CD14_ID1,specific,0.9057935180236475,912,9,0.009868421052631578,,
GSM4138126,8,1,Mono_CD14_ID1,specific,0.9549444876876225,757,9,0.011889035667107,,
GSM4138116,8,1,Mono_CD14_ID1,specific,0.9303430193458323,701,0,0.0,,
GSM4138140,8,1,Mono_CD14_ID1,specific,0.922601387293611,692,2,0.002890173410404624,,
GSM4138142,8,1,Mono_CD14_ID1,specific,0.9099268124169119,686,37,0.05393586005830904,0.9672045977511199,0.05727778533420802
GSM4138132,8,1,Mono_CD14_ID1,specific,0.936207788198537,641,1,0.0015600624024961,,
GSM4138136,8,1,Mono_CD14_ID1,specific,0.911325329709356,634,13,0.02050473186119874,,
GSM4138110,8,1,Mono_CD14_ID1,specific,0.9166625949074731,625,12,0.0192,,
GSM4138120,8,1,Mono_CD14_ID1,specific,0.8739225499269356,591,464,0.7851099830795262,0.9143636094168758,0.040441059489940145
GSM4138130,8,1,Mono_CD14_ID1,specific,0.923439792533927,584,1,0.0017123287671232876,,
GSM4138138,8,1,Mono_CD14_ID1,specific,0.90393497044711,573,2,0.0034904013961605585,,
GSM4138128,8,1,Mono_CD14_ID1,specific,0.8959558474415688,535,0,0.0,,
GSM4138122,8,1,Mono_CD14_ID1,specific,0.8959558474415688,535,0,0.0,,
GSM4138160,8,1,Mono_CD14_ID1,specific,0.9194571607494754,481,0,0.0,,
GSM4138162,8,1,Mono_CD14_ID1,specific,0.9205112601574489,467,7,0.014989293361884369,,
GSM4138166,8,1,Mono_CD14_ID1,specific,0.9007023458285124,458,10,0.021834061135371178,,
GSM4138146,8,1,Mono_CD14_ID1,specific,0.8998833118367539,455,1,0.002197802197802198,,
GSM4138152,8,1,Mono_CD14_ID1,specific,0.9018983641004333,447,142,0.31767337807606266,0.9520007247267991,0.05010236062636575
GSM4138165,8,1,Mono_CD14_ID1,specific,0.911111095348856,433,0,0.0,,
GSM4138123,8,3,Macrophage_family,family,0.7498631647539007,422,419,0.9928909952606635,0.7478667784364041,-0.0019963863174965457
GSM4138163,8,1,Mono_CD14_ID1,specific,0.918019092008881,415,11,0.02650602409638554,,
GSM4138112,8,1,Mono_CD14_ID1,specific,0.9047463027850867,349,0,0.0,,
GSM4138154,8,1,Mono_CD14_ID1,specific,0.8796474224109901,346,149,0.430635838150289,0.943462555263132,0.06381513285214191
GSM4138114,8,1,Mono_CD14_ID1,specific,0.9085553567196336,344,2,0.005813953488372093,,
GSM4138124,8,1,Mono_CD14_ID1,specific,0.9237456780946116,339,0,0.0,,
GSM4138167,8,1,Mono_CD14_ID1,specific,0.8982685146912551,336,1,0.002976190476190476,,
GSM4138125,8,7,Macrophage_family,family,0.7584126640393274,332,330,0.9939759036144579,0.7583053075940193,-0.0001073564453081266
GSM4138135,8,3,Macrophage_family,family,0.7684374588995865,299,294,0.9832775919732442,0.7737250318572451,0.005287572957658582
GSM4138141,8,1,Mono_CD14_ID1,specific,0.8966669389235868,292,2,0.00684931506849315,,
GSM4138118,8,1,Mono_CD14_ID1,specific,0.9022237135692892,288,170,0.5902777777777778,0.9335570118094065,0.031333298240117324
GSM4138144,8,1,Mono_CD14_ID1,specific,0.8933690019173579,278,13,0.046762589928057555,,
GSM4138158,8,1,Mono_CD14_ID1,specific,0.9295715463367556,268,8,0.029850746268656716,,
GSM4138145,8,1,Mono_CD14_ID1,specific,0.836332172520328,232,8,0.034482758620689655,,
GSM4138137,8,3,Macrophage_family,family,0.8159798070817842,228,226,0.9912280701754386,0.8173280305056769,0.001348223423892736
GSM4138150,8,1,Mono_CD14_ID1,specific,0.9137768683727561,188,8,0.0425531914893617,,
