sample,K,gep,label,label_kind,whole_gep_ROGUE,whole_gep_n_cells,matched_n_cells,matched_frac,matched_ROGUE,contamination_delta
GSM4138139,5,5,Mast,specific,0.9658315628046693,60,60,1.0,0.9658315628046693,0.0
GSM4138143,5,5,Mast,specific,0.9748135904112316,31,31,1.0,0.9748135904112316,0.0
GSM4138111,5,5,Mast,specific,0.8772200899755831,30,29,0.9666666666666667,0.9059125026497903,0.02869241267420719
GSM4138135,5,5,Mast,specific,1.0,21,21,1.0,1.0,0.0
GSM4138155,5,5,Mast,specific,0.9381206978557273,19,19,1.0,0.9381206978557273,0.0
GSM4138131,5,5,Mast,specific,0.9564196483172959,19,18,0.9473684210526315,0.9764376533440459,0.020018005026749996
GSM4138117,5,5,Mast,specific,0.9848958966969695,15,15,1.0,0.9848958966969695,0.0
GSM4138123,6,3,Macrophage_family,family,0.7424016288401483,403,400,0.9925558312655087,0.7452306633190271,0.0028290344788788335
GSM4138135,6,3,Macrophage_family,family,0.7495144487620636,359,355,0.9888579387186629,0.7562995056150477,0.006785056852984028
GSM4138125,6,3,Macrophage_family,family,0.7525898180020528,342,340,0.9941520467836257,0.7524018074398744,-0.00018801056217843115
GSM4138137,6,3,Macrophage_family,family,0.7889813275610023,312,311,0.9967948717948718,0.7891713411753631,0.00019001361436088438
GSM4138131,6,2,DC_family,family,0.7167153982415957,282,157,0.5567375886524822,0.7538143179664833,0.03709891972488766
GSM4138155,6,2,DC_family,family,0.7058781911771544,186,161,0.8655913978494624,0.7199940563714887,0.014115865194334276
GSM4138145,6,2,DC_family,family,0.7410749749983234,178,171,0.9606741573033708,0.7442580688894826,0.0031830938911592277
GSM4138141,6,2,DC_family,family,0.7405548032071125,172,138,0.8023255813953488,0.772898173807245,0.03234337060013248
GSM4138139,6,3,Macrophage_family,family,0.7391694030203018,164,163,0.9939024390243902,0.7389306206538988,-0.00023878236640295647
GSM4138111,6,2,DC_family,family,0.6929328846732705,142,92,0.647887323943662,0.7154535367955283,0.022520652122257734
GSM4138143,6,2,DC_family,family,0.7841178639233746,141,126,0.8936170212765957,0.8010100991315257,0.016892235208151085
GSM4138123,6,2,DC_family,family,0.6559064039345078,140,65,0.4642857142857143,0.7790506389280968,0.12314423499358895
GSM4138161,6,2,DC_family,family,0.6758665173454972,136,103,0.7573529411764706,0.6853664951066363,0.009499977761139089
GSM4138133,6,2,DC_family,family,0.7409212754301988,134,96,0.7164179104477612,0.7914890308885254,0.05056775545832659
GSM4138131,6,3,Macrophage_family,family,0.7980414157391909,125,90,0.72,0.8155411850408794,0.017499769301688506
GSM4138127,6,2,DC_family,family,0.7573782258329818,124,44,0.3548387096774194,0.9080714745306382,0.15069324869765643
GSM4138155,6,3,Macrophage_family,family,0.7139650764146923,108,103,0.9537037037037037,0.7233593434138987,0.009394266999206424
GSM4138161,6,5,DC_pDC,specific,0.882884773226156,105,104,0.9904761904761905,0.8816535810111951,-0.00123119221496093
GSM4138131,6,5,DC_pDC,specific,0.9369238574581618,104,102,0.9807692307692307,0.9294499878571717,-0.007473869600990057
GSM4138137,6,2,DC_family,family,0.7944095264874084,103,40,0.3883495145631068,0.8344276469563251,0.04001812046891673
GSM4138139,6,2,DC_family,family,0.79224471611957,102,72,0.7058823529411765,0.8637197029196201,0.07147498680005004
GSM4138115,6,2,DC_family,family,0.7663447148541443,98,91,0.9285714285714286,0.8138160506729825,0.04747133581883811
GSM4138133,6,3,Macrophage_family,family,0.8148856950727769,89,84,0.9438202247191011,0.8229607124253795,0.008075017352602631
GSM4138135,6,2,DC_family,family,0.8350946368133607,82,52,0.6341463414634146,0.8396440332761214,0.0045493964627606465
GSM4138129,6,3,Macrophage_family,family,0.8323969031388694,80,77,0.9625,0.836558291073104,0.004161387934234595
GSM4138117,6,3,Macrophage_family,family,0.798808416088053,78,78,1.0,0.798808416088053,0.0
GSM4138117,6,2,DC_family,family,0.7752928290882938,74,27,0.36486486486486486,0.9357635701506808,0.160470741062387
GSM4138141,6,5,DC_pDC,specific,0.9220778673883754,70,70,1.0,0.9220778673883754,0.0
GSM4138111,6,5,DC_pDC,specific,0.8921496096643795,63,63,1.0,0.8921496096643795,0.0
GSM4138157,6,2,DC_family,family,0.8301790069109647,60,45,0.75,0.8770624286269946,0.04688342171602988
GSM4138139,6,6,Mast,specific,0.966827109414383,59,59,1.0,0.966827109414383,0.0
GSM4138141,6,3,Macrophage_family,family,0.8557321118961789,58,52,0.896551724137931,0.8791200171949629,0.023387905298783984
GSM4138159,6,2,DC_family,family,0.7598414970023137,50,45,0.9,0.7863296990285937,0.026488202026279994
GSM4138155,6,5,DC_pDC,specific,0.904973189507882,50,49,0.98,0.9065649257681399,0.001591736260257881
GSM4138123,6,5,DC_pDC,specific,0.9508575041839805,48,48,1.0,0.9508575041839805,0.0
GSM4138127,6,3,Macrophage_family,family,0.9228253977982559,45,42,0.9333333333333333,0.9287089974151461,0.005883599616890223
GSM4138143,6,5,DC_pDC,specific,0.9287322613330776,45,45,1.0,0.9287322613330776,0.0
GSM4138145,6,5,DC_pDC,specific,0.945258029964264,45,45,1.0,0.945258029964264,0.0
GSM4138113,6,2,DC_family,family,0.7788455617675204,40,30,0.75,0.7716398600561523,-0.00720570171136814
GSM4138129,6,2,DC_family,family,0.8714175018134912,36,28,0.7777777777777778,0.9188520541762627,0.0474345523627715
GSM4138121,6,2,DC_family,family,0.8014687944220541,35,29,0.8285714285714286,0.8615499520470269,0.06008115762497279
GSM4138113,6,5,DC_pDC,specific,0.9193607203971467,34,34,1.0,0.9193607203971467,0.0
GSM4138147,6,5,DC_pDC,specific,0.935324749011505,31,31,1.0,0.935324749011505,0.0
GSM4138143,6,6,Mast,specific,0.9748135904112316,31,31,1.0,0.9748135904112316,0.0
GSM4138111,6,6,Mast,specific,0.876493661763317,29,28,0.9655172413793104,0.9050661191766445,0.02857245741332748
GSM4138143,6,3,Macrophage_family,family,0.88842253879132,29,29,1.0,0.88842253879132,0.0
GSM4138119,6,2,DC_family,family,0.8667932022025296,28,21,0.75,0.93118174893201,0.06438854672948036
GSM4138127,6,5,DC_pDC,specific,0.9538411986320278,27,27,1.0,0.9538411986320278,0.0
GSM4138153,6,2,DC_family,family,0.8756505205390447,27,20,0.7407407407407407,0.9348779773625913,0.059227456823546576
GSM4138129,6,5,DC_pDC,specific,0.9868286715955322,25,25,1.0,0.9868286715955322,0.0
GSM4138119,6,3,Macrophage_family,family,0.8443560073622928,25,24,0.96,0.854050768639347,0.009694761277054265
GSM4138112,6,5,DC_pDC,specific,0.9670409840078681,25,25,1.0,0.9670409840078681,0.0
GSM4138125,6,2,DC_family,family,0.9418781107392166,24,16,0.6666666666666666,0.9540530205311766,0.012174909791960009
GSM4138157,6,3,Macrophage_family,family,0.9499196703255945,23,23,1.0,0.9499196703255945,0.0
GSM4138139,6,5,DC_pDC,specific,0.9506174967437965,22,22,1.0,0.9506174967437965,0.0
GSM4138160,6,5,DC_pDC,specific,0.9826077730887751,22,22,1.0,0.9826077730887751,0.0
GSM4138135,6,6,Mast,specific,1.0,21,21,1.0,1.0,0.0
GSM4138171,6,2,DC_family,family,0.9866339541778586,21,19,0.9047619047619048,0.9859276060195052,-0.0007063481583533537
GSM4138122,6,5,DC_pDC,specific,0.9782659584116306,20,20,1.0,0.9782659584116306,0.0
GSM4138133,6,5,DC_pDC,specific,0.9772575612773257,20,20,1.0,0.9772575612773257,0.0
GSM4138159,6,3,Macrophage_family,family,0.9735035046871444,20,20,1.0,0.9735035046871444,0.0
GSM4138110,6,5,DC_pDC,specific,0.9697106021963595,20,20,1.0,0.9697106021963595,0.0
GSM4138128,6,5,DC_pDC,specific,0.9782659584116306,20,20,1.0,0.9782659584116306,0.0
GSM4138111,6,3,Macrophage_family,family,0.9091338002589118,20,20,1.0,0.9091338002589118,0.0
GSM4138168,6,5,DC_pDC,specific,0.9457890908623999,20,20,1.0,0.9457890908623999,0.0
GSM4138155,6,6,Mast,specific,0.9381206978557273,19,19,1.0,0.9381206978557273,0.0
