sample,size_bin,draw,ROGUE
GSM4138134,1225,0,0.9514092479671554
GSM4138134,1225,1,0.9504649738183089
GSM4138134,1225,2,0.9513164636527417
GSM4138134,1225,3,0.9514480801886754
GSM4138134,1225,4,0.9513701973560083
GSM4138134,1225,5,0.9515077893161457
GSM4138134,1225,6,0.9505181745984799
GSM4138134,1225,7,0.9503931343142719
GSM4138134,1225,8,0.9514335059670216
GSM4138134,1225,9,0.9513930019026504
GSM4138156,925,0,0.8926078476535957
GSM4138156,925,1,0.8850271125655573
GSM4138156,925,2,0.8924927698815205
GSM4138156,925,3,0.8920168384728013
GSM4138156,925,4,0.8941009930533084
GSM4138156,925,5,0.8855154599676831
GSM4138156,925,6,0.8851086915544338
GSM4138156,925,7,0.8855277792330859
GSM4138156,925,8,0.8918677107227564
GSM4138156,925,9,0.885237993057786
GSM4138126,750,0,0.9543936293609475
GSM4138126,750,1,0.9536556130830037
GSM4138126,750,2,0.9537559178354231
GSM4138126,750,3,0.9537857692728778
GSM4138126,750,4,0.9537390561577935
GSM4138126,750,5,0.95388498541481
GSM4138126,750,6,0.9540358684105612
GSM4138126,750,7,0.9539926881023023
GSM4138126,750,8,0.9538297800905828
GSM4138126,750,9,0.9539470089541223
GSM4138116,700,0,0.9215123263457159
GSM4138116,700,1,0.921683344950538
GSM4138116,700,2,0.9221734368283304
GSM4138116,700,3,0.9219244176522222
GSM4138116,700,4,0.9218343412735025
GSM4138116,700,5,0.9216201535298154
GSM4138116,700,6,0.921492423223074
GSM4138116,700,7,0.921456915896549
GSM4138116,700,8,0.9217687388067116
GSM4138116,700,9,0.9218826703514563
GSM4138140,700,0,0.9078402264718555
GSM4138140,700,1,0.9041353669718007
GSM4138140,700,2,0.9077821038894258
GSM4138140,700,3,0.9044765785727688
GSM4138140,700,4,0.9082195752437736
GSM4138140,700,5,0.9069423775739904
GSM4138140,700,6,0.9083362556473498
GSM4138140,700,7,0.9080416262376568
GSM4138140,700,8,0.9046183092126469
GSM4138140,700,9,0.9085133822329283
GSM4138110,625,0,0.9086804422644164
GSM4138110,625,1,0.9092096149275857
GSM4138110,625,2,0.9062788613630626
GSM4138110,625,3,0.9063351159505645
GSM4138110,625,4,0.9084160839641323
GSM4138110,625,5,0.9049345965695937
GSM4138110,625,6,0.9058063567663388
GSM4138110,625,7,0.9059005464677735
GSM4138110,625,8,0.9057685361147172
GSM4138110,625,9,0.9053554749061992
GSM4138120,600,0,0.8444634954479676
GSM4138120,600,1,0.8454629796693689
GSM4138120,600,2,0.8446187552363459
GSM4138120,600,3,0.8427205665759707
GSM4138120,600,4,0.8444207359554374
GSM4138120,600,5,0.8433296642460434
GSM4138120,600,6,0.8430505376727374
GSM4138120,600,7,0.845026752929961
GSM4138120,600,8,0.8427817397255755
GSM4138120,600,9,0.8443697699429403
GSM4138130,575,0,0.9011082573986459
GSM4138130,575,1,0.9004921841406612
GSM4138130,575,2,0.9048807800611749
GSM4138130,575,3,0.8995441691640594
GSM4138130,575,4,0.8998469208615328
GSM4138130,575,5,0.8996209895153803
GSM4138130,575,6,0.8973154766143051
