sample,K,gep,label,label_kind,ROGUE,n_cells
GSM4138129,12,6,Ambiguous/Mixed,ambiguous,0.8841161325894955,33
GSM4138135,12,5,Ambiguous/Mixed,ambiguous,0.8941017024787461,32
GSM4138139,12,2,Mono_CD16,specific,0.9746060997996634,32
GSM4138147,12,7,DC_pDC,specific,0.935324749011505,31
GSM4138143,12,11,Mast,specific,0.9748135904112316,31
GSM4138135,12,10,DC_family,family,0.9258735720252302,30
GSM4138133,12,1,Monocyte_family,family,0.9592989429202927,30
GSM4138145,12,6,Ambiguous/Mixed,ambiguous,0.9418463823255908,30
GSM4138141,12,9,Ambiguous/Mixed,ambiguous,0.9575318770820527,30
GSM4138127,12,7,DC_pDC,specific,0.9419975452784044,29
GSM4138119,12,3,DC_family,family,0.7841669029157519,28
GSM4138157,12,1,Monocyte_family,family,0.9659744337085671,28
GSM4138111,12,11,Mast,specific,0.9050661191766445,28
GSM4138155,12,4,Macrophage_family,family,0.9121517566245125,28
GSM4138117,12,3,DC_family,family,0.9267430252279545,27
GSM4138113,12,3,DC_family,family,0.8726883461069048,26
GSM4138127,12,8,Macrophage_family,family,0.9559325492496658,26
GSM4138135,12,2,Mono_CD16,specific,0.9812734851395931,25
GSM4138112,12,7,DC_pDC,specific,0.9670409840078681,25
GSM4138129,12,7,DC_pDC,specific,0.9868286715955322,25
GSM4138119,12,8,Macrophage_family,family,0.8760046119891902,25
GSM4138113,12,2,Mono_CD16,specific,0.9317284283309728,24
GSM4138144,12,3,DC_family,family,0.9774820464942098,24
GSM4138125,12,3,DC_family,family,0.9204911424777072,24
GSM4138160,12,7,DC_pDC,specific,0.980833886723325,23
GSM4138153,12,3,DC_family,family,0.922645268527941,23
GSM4138129,12,3,DC_family,family,0.9331394198201579,23
GSM4138155,12,10,DC_family,family,0.9283079458378963,23
GSM4138123,12,1,Monocyte_family,family,0.9659202117288335,23
GSM4138139,12,7,DC_pDC,specific,0.9506174967437965,22
GSM4138139,12,10,DC_family,family,0.9422756010989471,22
GSM4138137,12,2,Mono_CD16,specific,1.0,22
GSM4138162,12,3,DC_family,family,0.9941525776404126,21
GSM4138120,12,3,DC_family,family,0.9675202675594767,21
GSM4138155,12,5,Ambiguous/Mixed,ambiguous,0.945883456323077,21
GSM4138116,12,2,Mono_CD16,specific,0.9842694746206083,21
GSM4138133,12,7,DC_pDC,specific,0.9780104357713506,21
GSM4138123,12,10,DC_family,family,0.9565098966662946,21
GSM4138135,12,11,Mast,specific,1.0,21
GSM4138128,12,7,DC_pDC,specific,0.9782659584116306,20
GSM4138110,12,7,DC_pDC,specific,0.9697106021963595,20
GSM4138168,12,7,DC_pDC,specific,0.9457890908623999,20
GSM4138115,12,10,DC_family,family,0.9593305446031526,20
GSM4138152,12,3,DC_family,family,0.9745412407235607,20
GSM4138122,12,7,DC_pDC,specific,0.9782659584116306,20
GSM4138135,12,7,DC_pDC,specific,0.9592348250153161,19
GSM4138133,12,10,DC_family,family,0.880236894807487,19
GSM4138115,12,7,DC_pDC,specific,0.9816087420119992,19
GSM4138155,12,11,Mast,specific,0.9381206978557273,19
GSM4138118,12,2,Mono_CD16,specific,0.989744282581234,19
GSM4138171,12,3,DC_family,family,1.0,18
