sample,K,gep,label,label_kind,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,recommendation
GSM4138133,4,2,Ambiguous/Mixed,ambiguous,0.7411041668849959,250,,,ambiguous
GSM4138141,4,2,Ambiguous/Mixed,ambiguous,0.7178051372681549,245,,,ambiguous
GSM4138135,4,4,Ambiguous/Mixed,ambiguous,0.7622950979702181,206,,,ambiguous
GSM4138143,4,2,Ambiguous/Mixed,ambiguous,0.7148877979137864,196,,,ambiguous
GSM4138150,4,1,Ambiguous/Mixed,ambiguous,0.897909786957394,190,,,ambiguous
GSM4138155,4,1,Ambiguous/Mixed,ambiguous,0.8074305866859492,189,,,ambiguous
GSM4138111,4,2,Ambiguous/Mixed,ambiguous,0.6797673916355189,179,,,ambiguous
GSM4138117,4,2,Ambiguous/Mixed,ambiguous,0.7366321479260738,178,,,ambiguous
GSM4138148,4,1,Ambiguous/Mixed,ambiguous,0.8569403051496318,177,,,ambiguous
GSM4138145,4,2,Ambiguous/Mixed,ambiguous,0.7310335742938701,172,,,ambiguous
GSM4138127,4,2,Ambiguous/Mixed,ambiguous,0.7538061616903207,165,,,ambiguous
GSM4138164,4,1,Ambiguous/Mixed,ambiguous,0.841996642698004,155,,,ambiguous
GSM4138127,4,1,Ambiguous/Mixed,ambiguous,0.9141995459344363,148,,,ambiguous
GSM4138143,4,1,Ambiguous/Mixed,ambiguous,0.8339243964475664,147,,,ambiguous
GSM4138161,4,2,Ambiguous/Mixed,ambiguous,0.7073285172955495,147,,,ambiguous
GSM4138117,4,1,Ambiguous/Mixed,ambiguous,0.824572933666172,145,,,ambiguous
GSM4138139,4,1,Ambiguous/Mixed,ambiguous,0.8765083980944465,142,,,ambiguous
GSM4138155,4,4,Ambiguous/Mixed,ambiguous,0.7258971638847893,137,,,ambiguous
GSM4138139,4,4,Ambiguous/Mixed,ambiguous,0.8218078707821097,137,,,ambiguous
GSM4138161,4,1,Ambiguous/Mixed,ambiguous,0.835957856195919,137,,,ambiguous
GSM4138129,4,2,Ambiguous/Mixed,ambiguous,0.7685567770674665,133,,,ambiguous
GSM4138125,4,1,Ambiguous/Mixed,ambiguous,0.8999309439502462,130,,,ambiguous
GSM4138137,4,4,Ambiguous/Mixed,ambiguous,0.8216113958144029,129,,,ambiguous
GSM4138111,4,1,Ambiguous/Mixed,ambiguous,0.7956338605493564,127,,,ambiguous
GSM4138115,4,2,Ambiguous/Mixed,ambiguous,0.7716281834695836,122,,,ambiguous
GSM4138131,4,1,Ambiguous/Mixed,ambiguous,0.8727345972583438,117,,,ambiguous
GSM4138127,4,4,Ambiguous/Mixed,ambiguous,0.7951429813079743,117,,,ambiguous
GSM4138137,4,1,Ambiguous/Mixed,ambiguous,0.9200092524549826,114,,,ambiguous
GSM4138135,4,1,Ambiguous/Mixed,ambiguous,0.9320250141602635,114,,,ambiguous
GSM4138161,4,3,Ambiguous/Mixed,ambiguous,0.860021817300931,113,,,ambiguous
GSM4138131,4,3,Ambiguous/Mixed,ambiguous,0.9051170331450963,111,,,ambiguous
GSM4138113,4,1,Ambiguous/Mixed,ambiguous,0.8526042396191641,92,,,ambiguous
GSM4138157,4,2,Ambiguous/Mixed,ambiguous,0.8072243720056547,91,,,ambiguous
GSM4138129,4,1,Ambiguous/Mixed,ambiguous,0.8965448553388752,89,,,ambiguous
GSM4138131,4,4,Ambiguous/Mixed,ambiguous,0.801293435371213,88,,,ambiguous
GSM4138121,4,4,Ambiguous/Mixed,ambiguous,0.7637491234209671,85,,,ambiguous
GSM4138159,4,2,Ambiguous/Mixed,ambiguous,0.7414897667455603,75,,,ambiguous
GSM4138141,4,3,Ambiguous/Mixed,ambiguous,0.9158404233747901,74,,,ambiguous
GSM4138111,4,3,Ambiguous/Mixed,ambiguous,0.7677110639005599,71,,,ambiguous
GSM4138119,4,2,Ambiguous/Mixed,ambiguous,0.7188119089065275,60,,,ambiguous
GSM4138121,4,2,Ambiguous/Mixed,ambiguous,0.7410901946360482,57,,,ambiguous
GSM4138155,4,3,Ambiguous/Mixed,ambiguous,0.9001000132765705,52,,,ambiguous
GSM4138157,4,1,Ambiguous/Mixed,ambiguous,0.9284703486310911,51,,,ambiguous
GSM4138159,4,1,Ambiguous/Mixed,ambiguous,0.9509075599265641,50,,,ambiguous
GSM4138119,4,1,Ambiguous/Mixed,ambiguous,0.8313345310276647,50,,,ambiguous
GSM4138123,4,3,Ambiguous/Mixed,ambiguous,0.9495662265448335,50,,,ambiguous
GSM4138143,4,3,Ambiguous/Mixed,ambiguous,0.9235207914849688,48,,,ambiguous
GSM4138113,4,2,Ambiguous/Mixed,ambiguous,0.8109563413655733,47,,,ambiguous
GSM4138133,4,1,Ambiguous/Mixed,ambiguous,0.9446926353957724,46,,,ambiguous
GSM4138145,4,3,Ambiguous/Mixed,ambiguous,0.9472622152517468,46,,,ambiguous
GSM4138161,4,4,Ambiguous/Mixed,ambiguous,0.8564055556061472,46,,,ambiguous
GSM4138121,4,1,Ambiguous/Mixed,ambiguous,0.905249073117885,43,,,ambiguous
GSM4138153,4,2,Ambiguous/Mixed,ambiguous,0.7982978552799926,43,,,ambiguous
GSM4138113,4,3,Ambiguous/Mixed,ambiguous,0.7785771275833526,38,,,ambiguous
GSM4138145,4,4,Ambiguous/Mixed,ambiguous,0.9301123877602014,37,,,ambiguous
GSM4138123,4,4,Ambiguous/Mixed,ambiguous,0.8855966660914028,32,,,ambiguous
GSM4138147,4,3,Ambiguous/Mixed,ambiguous,0.925292417692126,32,,,ambiguous
GSM4138127,4,3,Ambiguous/Mixed,ambiguous,0.921039121510737,32,,,ambiguous
GSM4138149,4,2,Ambiguous/Mixed,ambiguous,0.8925847752595351,28,,,ambiguous
GSM4138115,4,1,Ambiguous/Mixed,ambiguous,0.9687325166582295,28,,,ambiguous
GSM4138129,4,4,Ambiguous/Mixed,ambiguous,0.9101838432203979,27,,,ambiguous
GSM4138123,4,1,Ambiguous/Mixed,ambiguous,0.9543318868316409,27,,,ambiguous
GSM4138112,4,3,Ambiguous/Mixed,ambiguous,0.9670409840078681,25,,,ambiguous
GSM4138129,4,3,Ambiguous/Mixed,ambiguous,0.9868286715955322,25,,,ambiguous
GSM4138160,4,3,Ambiguous/Mixed,ambiguous,0.980833886723325,23,,,ambiguous
GSM4138139,4,3,Ambiguous/Mixed,ambiguous,0.9603602245344051,23,,,ambiguous
GSM4138133,4,3,Ambiguous/Mixed,ambiguous,0.9840886463775538,22,,,ambiguous
GSM4138110,4,3,Ambiguous/Mixed,ambiguous,0.9555193703185515,21,,,ambiguous
GSM4138170,4,2,Ambiguous/Mixed,ambiguous,1.0,20,,,ambiguous
GSM4138128,4,3,Ambiguous/Mixed,ambiguous,0.9782659584116306,20,,,ambiguous
GSM4138115,4,3,Ambiguous/Mixed,ambiguous,0.96780551371186,20,,,ambiguous
GSM4138168,4,3,Ambiguous/Mixed,ambiguous,0.9457890908623999,20,,,ambiguous
GSM4138122,4,3,Ambiguous/Mixed,ambiguous,0.9782659584116306,20,,,ambiguous
GSM4138141,4,4,Ambiguous/Mixed,ambiguous,0.9469821716081,19,,,ambiguous
GSM4138153,4,1,Ambiguous/Mixed,ambiguous,1.0,19,,,ambiguous
GSM4138147,4,2,Ambiguous/Mixed,ambiguous,0.8730933452623457,19,,,ambiguous
GSM4138171,4,2,Ambiguous/Mixed,ambiguous,0.9708881861822778,18,,,ambiguous
GSM4138135,4,3,Ambiguous/Mixed,ambiguous,0.9773181223355705,18,,,ambiguous
GSM4138172,4,2,Ambiguous/Mixed,ambiguous,0.9589225144173786,18,,,ambiguous
GSM4138157,4,3,Ambiguous/Mixed,ambiguous,0.9480389776479722,17,,,ambiguous
GSM4138162,4,3,Ambiguous/Mixed,ambiguous,0.9897606953288196,17,,,ambiguous
GSM4138157,4,4,Ambiguous/Mixed,ambiguous,0.9599457953890572,17,,,ambiguous
GSM4138130,4,3,Ambiguous/Mixed,ambiguous,0.9652784490766921,17,,,ambiguous
GSM4138163,4,3,Ambiguous/Mixed,ambiguous,0.9941087355013785,16,,,ambiguous
GSM4138172,4,1,Ambiguous/Mixed,ambiguous,0.9732120765697936,15,,,ambiguous
GSM4138134,4,3,Ambiguous/Mixed,ambiguous,0.9856991785152992,15,,,ambiguous
GSM4138121,4,3,Ambiguous/Mixed,ambiguous,0.966326387069566,15,,,ambiguous
GSM4138151,4,3,Ambiguous/Mixed,ambiguous,0.9806392337550041,15,,,ambiguous
GSM4138134,5,1,Ambiguous/Mixed,ambiguous,0.9561562126178971,1213,,,ambiguous
GSM4138156,5,1,Ambiguous/Mixed,ambiguous,0.8972217973513263,919,,,ambiguous
GSM4138126,5,1,Ambiguous/Mixed,ambiguous,0.9529039457285877,758,,,ambiguous
GSM4138116,5,1,Ambiguous/Mixed,ambiguous,0.9242507542572167,703,,,ambiguous
GSM4138140,5,1,Ambiguous/Mixed,ambiguous,0.9104399036333599,700,,,ambiguous
GSM4138142,5,1,Ambiguous/Mixed,ambiguous,0.908776416664459,689,,,ambiguous
GSM4138132,5,1,Ambiguous/Mixed,ambiguous,0.933026659763963,643,,,ambiguous
GSM4138136,5,1,Ambiguous/Mixed,ambiguous,0.897545671138613,641,,,ambiguous
GSM4138110,5,1,Ambiguous/Mixed,ambiguous,0.9119283262748428,628,,,ambiguous
GSM4138120,5,1,Ambiguous/Mixed,ambiguous,0.8473820463215724,609,,,ambiguous
GSM4138130,5,1,Ambiguous/Mixed,ambiguous,0.9194673989705873,585,,,ambiguous
GSM4138138,5,1,Ambiguous/Mixed,ambiguous,0.8903661621199703,576,,,ambiguous
GSM4138123,5,2,Ambiguous/Mixed,ambiguous,0.7192679676561551,550,,,ambiguous
GSM4138122,5,1,Ambiguous/Mixed,ambiguous,0.8813609773768527,544,,,ambiguous
GSM4138128,5,1,Ambiguous/Mixed,ambiguous,0.8813609773768527,544,,,ambiguous
GSM4138135,5,2,Ambiguous/Mixed,ambiguous,0.743947241441501,493,,,ambiguous
GSM4138162,5,1,Ambiguous/Mixed,ambiguous,0.8911671709487927,485,,,ambiguous
GSM4138160,5,1,Ambiguous/Mixed,ambiguous,0.8973504704889755,485,,,ambiguous
GSM4138166,5,1,Ambiguous/Mixed,ambiguous,0.8913964012848505,467,,,ambiguous
GSM4138146,5,1,Ambiguous/Mixed,ambiguous,0.8890286325827184,461,,,ambiguous
GSM4138152,5,1,Ambiguous/Mixed,ambiguous,0.8615241308228656,461,,,ambiguous
GSM4138137,5,2,Ambiguous/Mixed,ambiguous,0.7718623865211739,460,,,ambiguous
GSM4138165,5,1,Ambiguous/Mixed,ambiguous,0.8949850658164404,437,,,ambiguous
GSM4138163,5,1,Ambiguous/Mixed,ambiguous,0.9072704819130132,424,,,ambiguous
GSM4138131,5,2,Ambiguous/Mixed,ambiguous,0.7292039610840264,409,,,ambiguous
GSM4138125,5,2,Ambiguous/Mixed,ambiguous,0.7457012034805575,379,,,ambiguous
GSM4138112,5,1,Ambiguous/Mixed,ambiguous,0.8964559322265603,354,,,ambiguous
GSM4138114,5,1,Ambiguous/Mixed,ambiguous,0.8848695210761265,352,,,ambiguous
GSM4138154,5,1,Ambiguous/Mixed,ambiguous,0.8579446319199553,352,,,ambiguous
GSM4138167,5,1,Ambiguous/Mixed,ambiguous,0.8808930053659563,340,,,ambiguous
GSM4138124,5,1,Ambiguous/Mixed,ambiguous,0.9156908552946471,340,,,ambiguous
GSM4138155,5,2,Ambiguous/Mixed,ambiguous,0.6596681055935145,300,,,ambiguous
GSM4138144,5,1,Ambiguous/Mixed,ambiguous,0.8498831569088204,298,,,ambiguous
GSM4138141,5,1,Ambiguous/Mixed,ambiguous,0.9068391083874362,294,,,ambiguous
GSM4138118,5,1,Ambiguous/Mixed,ambiguous,0.8770768667778066,292,,,ambiguous
GSM4138139,5,2,Ambiguous/Mixed,ambiguous,0.7201407142764347,286,,,ambiguous
GSM4138145,5,1,Ambiguous/Mixed,ambiguous,0.7915138099644659,283,,,ambiguous
GSM4138158,5,1,Ambiguous/Mixed,ambiguous,0.8973834055759495,276,,,ambiguous
GSM4138133,5,2,Ambiguous/Mixed,ambiguous,0.7307058130449876,239,,,ambiguous
GSM4138141,5,2,Ambiguous/Mixed,ambiguous,0.7275276070362975,235,,,ambiguous
GSM4138135,5,4,Ambiguous/Mixed,ambiguous,0.7611300250956905,209,,,ambiguous
GSM4138155,5,1,Ambiguous/Mixed,ambiguous,0.8038673549443942,190,,,ambiguous
GSM4138150,5,1,Ambiguous/Mixed,ambiguous,0.897909786957394,190,,,ambiguous
GSM4138148,5,1,Ambiguous/Mixed,ambiguous,0.8569403051496318,177,,,ambiguous
GSM4138145,5,2,Ambiguous/Mixed,ambiguous,0.7288359779231,166,,,ambiguous
GSM4138127,5,2,Ambiguous/Mixed,ambiguous,0.7573785855466127,164,,,ambiguous
GSM4138143,5,2,Ambiguous/Mixed,ambiguous,0.7227659296837639,159,,,ambiguous
GSM4138117,5,2,Ambiguous/Mixed,ambiguous,0.7467085033841926,157,,,ambiguous
GSM4138164,5,1,Ambiguous/Mixed,ambiguous,0.841996642698004,155,,,ambiguous
GSM4138143,5,1,Ambiguous/Mixed,ambiguous,0.8389408479330955,153,,,ambiguous
GSM4138117,5,1,Ambiguous/Mixed,ambiguous,0.8190179174955012,150,,,ambiguous
GSM4138127,5,1,Ambiguous/Mixed,ambiguous,0.9199053531291854,148,,,ambiguous
GSM4138139,5,1,Ambiguous/Mixed,ambiguous,0.8720554830449216,145,,,ambiguous
GSM4138161,5,1,Ambiguous/Mixed,ambiguous,0.827374275886676,140,,,ambiguous
GSM4138111,5,2,Ambiguous/Mixed,ambiguous,0.683383729891532,139,,,ambiguous
GSM4138139,5,4,Ambiguous/Mixed,ambiguous,0.8218078707821097,137,,,ambiguous
GSM4138111,5,1,Ambiguous/Mixed,ambiguous,0.7870366832080937,137,,,ambiguous
GSM4138161,5,2,Ambiguous/Mixed,ambiguous,0.6958845739271229,136,,,ambiguous
GSM4138155,5,4,Ambiguous/Mixed,ambiguous,0.723801876264266,136,,,ambiguous
GSM4138137,5,4,Ambiguous/Mixed,ambiguous,0.8235118713433076,131,,,ambiguous
GSM4138125,5,1,Ambiguous/Mixed,ambiguous,0.8999309439502462,130,,,ambiguous
GSM4138129,5,2,Ambiguous/Mixed,ambiguous,0.7768906236490587,122,,,ambiguous
GSM4138131,5,1,Ambiguous/Mixed,ambiguous,0.8735110662933803,121,,,ambiguous
GSM4138135,5,1,Ambiguous/Mixed,ambiguous,0.9355637461062194,118,,,ambiguous
GSM4138127,5,4,Ambiguous/Mixed,ambiguous,0.7951429813079743,117,,,ambiguous
GSM4138137,5,1,Ambiguous/Mixed,ambiguous,0.9177903600148091,115,,,ambiguous
GSM4138161,5,3,Ambiguous/Mixed,ambiguous,0.860021817300931,113,,,ambiguous
GSM4138131,5,3,Ambiguous/Mixed,ambiguous,0.9046789059634622,112,,,ambiguous
GSM4138115,5,2,Ambiguous/Mixed,ambiguous,0.7886697691484414,110,,,ambiguous
GSM4138113,5,1,Ambiguous/Mixed,ambiguous,0.8453409179734663,93,,,ambiguous
GSM4138131,5,4,Ambiguous/Mixed,ambiguous,0.802385989441829,91,,,ambiguous
GSM4138129,5,1,Ambiguous/Mixed,ambiguous,0.8965448553388752,89,,,ambiguous
GSM4138121,5,4,Ambiguous/Mixed,ambiguous,0.7637491234209671,85,,,ambiguous
GSM4138157,5,2,Ambiguous/Mixed,ambiguous,0.7741459420303799,80,,,ambiguous
GSM4138159,5,2,Ambiguous/Mixed,ambiguous,0.7255477856648588,74,,,ambiguous
GSM4138141,5,3,Ambiguous/Mixed,ambiguous,0.9158404233747901,74,,,ambiguous
GSM4138111,5,3,Ambiguous/Mixed,ambiguous,0.7677110639005599,71,,,ambiguous
GSM4138139,5,5,Mast,specific,0.9658315628046693,60,0.9658315628046693,0.0,tie
GSM4138121,5,2,Ambiguous/Mixed,ambiguous,0.7410901946360482,57,,,ambiguous
GSM4138155,5,3,Ambiguous/Mixed,ambiguous,0.9001000132765705,52,,,ambiguous
GSM4138157,5,1,Ambiguous/Mixed,ambiguous,0.8931310440079556,52,,,ambiguous
GSM4138119,5,2,Ambiguous/Mixed,ambiguous,0.7084484697960387,52,,,ambiguous
GSM4138123,5,3,Ambiguous/Mixed,ambiguous,0.9495662265448335,50,,,ambiguous
GSM4138119,5,1,Ambiguous/Mixed,ambiguous,0.8313345310276647,50,,,ambiguous
GSM4138159,5,1,Ambiguous/Mixed,ambiguous,0.9509075599265641,50,,,ambiguous
GSM4138133,5,1,Ambiguous/Mixed,ambiguous,0.9366421187502854,48,,,ambiguous
GSM4138143,5,3,Ambiguous/Mixed,ambiguous,0.9235207914849688,48,,,ambiguous
GSM4138145,5,3,Ambiguous/Mixed,ambiguous,0.9472622152517468,46,,,ambiguous
GSM4138161,5,4,Ambiguous/Mixed,ambiguous,0.8564055556061472,46,,,ambiguous
GSM4138121,5,1,Ambiguous/Mixed,ambiguous,0.905249073117885,43,,,ambiguous
GSM4138113,5,2,Ambiguous/Mixed,ambiguous,0.8588035562353217,42,,,ambiguous
GSM4138113,5,3,Ambiguous/Mixed,ambiguous,0.7785771275833526,38,,,ambiguous
GSM4138145,5,4,Ambiguous/Mixed,ambiguous,0.9301123877602014,37,,,ambiguous
GSM4138153,5,2,Ambiguous/Mixed,ambiguous,0.7996953545449202,36,,,ambiguous
GSM4138127,5,3,Ambiguous/Mixed,ambiguous,0.9217204179375714,33,,,ambiguous
GSM4138123,5,4,Ambiguous/Mixed,ambiguous,0.8855966660914028,32,,,ambiguous
GSM4138147,5,3,Ambiguous/Mixed,ambiguous,0.925292417692126,32,,,ambiguous
GSM4138143,5,5,Mast,specific,0.9748135904112316,31,0.9748135904112316,0.0,tie
GSM4138111,5,5,Mast,specific,0.8772200899755831,30,0.9059125026497903,-0.02869241267420719,tie
GSM4138115,5,1,Ambiguous/Mixed,ambiguous,0.9589018943170823,30,,,ambiguous
GSM4138123,5,1,Ambiguous/Mixed,ambiguous,0.9543318868316409,27,,,ambiguous
GSM4138129,5,4,Ambiguous/Mixed,ambiguous,0.9101838432203979,27,,,ambiguous
GSM4138112,5,3,Ambiguous/Mixed,ambiguous,0.9670409840078681,25,,,ambiguous
GSM4138129,5,3,Ambiguous/Mixed,ambiguous,0.9868286715955322,25,,,ambiguous
GSM4138139,5,3,Ambiguous/Mixed,ambiguous,0.9603602245344051,23,,,ambiguous
GSM4138160,5,3,Ambiguous/Mixed,ambiguous,0.980833886723325,23,,,ambiguous
GSM4138133,5,3,Ambiguous/Mixed,ambiguous,0.9840886463775538,22,,,ambiguous
GSM4138149,5,2,Ambiguous/Mixed,ambiguous,0.913724330125635,22,,,ambiguous
GSM4138135,5,5,Mast,specific,1.0,21,1.0,0.0,tie
GSM4138110,5,3,Ambiguous/Mixed,ambiguous,0.9555193703185515,21,,,ambiguous
GSM4138168,5,3,Ambiguous/Mixed,ambiguous,0.9457890908623999,20,,,ambiguous
GSM4138128,5,3,Ambiguous/Mixed,ambiguous,0.9782659584116306,20,,,ambiguous
GSM4138115,5,3,Ambiguous/Mixed,ambiguous,0.96780551371186,20,,,ambiguous
GSM4138122,5,3,Ambiguous/Mixed,ambiguous,0.9782659584116306,20,,,ambiguous
GSM4138155,5,5,Mast,specific,0.9381206978557273,19,0.9381206978557273,0.0,tie
GSM4138147,5,2,Ambiguous/Mixed,ambiguous,0.8730933452623457,19,,,ambiguous
GSM4138141,5,4,Ambiguous/Mixed,ambiguous,0.9469821716081,19,,,ambiguous
GSM4138153,5,1,Ambiguous/Mixed,ambiguous,1.0,19,,,ambiguous
GSM4138131,5,5,Mast,specific,0.9564196483172959,19,0.9764376533440459,-0.020018005026749996,tie
GSM4138135,5,3,Ambiguous/Mixed,ambiguous,0.9773181223355705,18,,,ambiguous
GSM4138157,5,4,Ambiguous/Mixed,ambiguous,0.9599457953890572,17,,,ambiguous
GSM4138170,5,2,Ambiguous/Mixed,ambiguous,1.0,17,,,ambiguous
GSM4138130,5,3,Ambiguous/Mixed,ambiguous,0.9652784490766921,17,,,ambiguous
GSM4138162,5,3,Ambiguous/Mixed,ambiguous,0.9897606953288196,17,,,ambiguous
GSM4138157,5,3,Ambiguous/Mixed,ambiguous,0.9480389776479722,17,,,ambiguous
GSM4138171,5,2,Ambiguous/Mixed,ambiguous,1.0,17,,,ambiguous
GSM4138163,5,3,Ambiguous/Mixed,ambiguous,0.9941087355013785,16,,,ambiguous
GSM4138172,5,1,Ambiguous/Mixed,ambiguous,0.97421260071075,16,,,ambiguous
GSM4138151,5,3,Ambiguous/Mixed,ambiguous,0.9806392337550041,15,,,ambiguous
GSM4138121,5,3,Ambiguous/Mixed,ambiguous,0.966326387069566,15,,,ambiguous
GSM4138172,5,2,Ambiguous/Mixed,ambiguous,0.9604836431532564,15,,,ambiguous
GSM4138134,5,3,Ambiguous/Mixed,ambiguous,0.9856991785152992,15,,,ambiguous
GSM4138117,5,5,Mast,specific,0.9848958966969695,15,0.9848958966969695,0.0,tie
GSM4138134,6,1,Ambiguous/Mixed,ambiguous,0.9561562126178971,1213,,,ambiguous
GSM4138156,6,1,Ambiguous/Mixed,ambiguous,0.901151012079771,916,,,ambiguous
GSM4138126,6,1,Ambiguous/Mixed,ambiguous,0.9529039457285877,758,,,ambiguous
GSM4138116,6,1,Ambiguous/Mixed,ambiguous,0.9303430193458323,701,,,ambiguous
GSM4138140,6,1,Ambiguous/Mixed,ambiguous,0.9171426062806511,696,,,ambiguous
GSM4138142,6,1,Ambiguous/Mixed,ambiguous,0.9106069169972388,689,,,ambiguous
GSM4138132,6,1,Ambiguous/Mixed,ambiguous,0.93497175799228,644,,,ambiguous
GSM4138136,6,1,Ambiguous/Mixed,ambiguous,0.897545671138613,641,,,ambiguous
GSM4138110,6,1,Ambiguous/Mixed,ambiguous,0.9110540960137425,627,,,ambiguous
GSM4138120,6,1,Ambiguous/Mixed,ambiguous,0.852327674382433,606,,,ambiguous
GSM4138130,6,1,Ambiguous/Mixed,ambiguous,0.923439792533927,584,,,ambiguous
GSM4138138,6,1,Ambiguous/Mixed,ambiguous,0.9129224731905184,575,,,ambiguous
GSM4138128,6,1,Ambiguous/Mixed,ambiguous,0.8858123633540804,541,,,ambiguous
GSM4138122,6,1,Ambiguous/Mixed,ambiguous,0.8858123633540804,541,,,ambiguous
GSM4138160,6,1,Ambiguous/Mixed,ambiguous,0.9020943888560353,485,,,ambiguous
GSM4138162,6,1,Ambiguous/Mixed,ambiguous,0.8969505020191236,482,,,ambiguous
GSM4138166,6,1,Ambiguous/Mixed,ambiguous,0.8961901068450987,465,,,ambiguous
GSM4138146,6,1,Ambiguous/Mixed,ambiguous,0.8893332715472475,460,,,ambiguous
GSM4138152,6,1,Ambiguous/Mixed,ambiguous,0.8696110470806976,459,,,ambiguous
GSM4138165,6,1,Ambiguous/Mixed,ambiguous,0.9010838514971067,436,,,ambiguous
GSM4138163,6,1,Ambiguous/Mixed,ambiguous,0.9072704819130132,424,,,ambiguous
GSM4138123,6,3,Macrophage_family,family,0.7424016288401483,403,0.7056844211043604,0.036717207735787905,tie
GSM4138135,6,3,Macrophage_family,family,0.7495144487620636,359,0.6821237468466982,0.06739070191536545,purer
GSM4138112,6,1,Ambiguous/Mixed,ambiguous,0.8954083411534985,353,,,ambiguous
GSM4138114,6,1,Ambiguous/Mixed,ambiguous,0.885230274258664,351,,,ambiguous
GSM4138154,6,1,Ambiguous/Mixed,ambiguous,0.8616792864768621,350,,,ambiguous
GSM4138125,6,3,Macrophage_family,family,0.7525898180020528,342,0.7439021951733407,0.00868762282871216,tie
GSM4138167,6,1,Ambiguous/Mixed,ambiguous,0.889034732585736,339,,,ambiguous
GSM4138124,6,1,Ambiguous/Mixed,ambiguous,0.9237456780946116,339,,,ambiguous
GSM4138137,6,3,Macrophage_family,family,0.7889813275610023,312,0.747893468389154,0.04108785917184821,tie
GSM4138141,6,1,Ambiguous/Mixed,ambiguous,0.8779881339978622,303,,,ambiguous
