sample,K,gep,label,label_kind,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,recommendation
GSM4138134,4,1,Ambiguous/Mixed,ambiguous,0.9561562126178971,1213,,,ambiguous
GSM4138156,4,1,Ambiguous/Mixed,ambiguous,0.8972217973513263,919,,,ambiguous
GSM4138126,4,1,Ambiguous/Mixed,ambiguous,0.9529039457285877,758,,,ambiguous
GSM4138116,4,1,Ambiguous/Mixed,ambiguous,0.9242507542572167,703,,,ambiguous
GSM4138140,4,1,Ambiguous/Mixed,ambiguous,0.9104399036333599,700,,,ambiguous
GSM4138142,4,1,Ambiguous/Mixed,ambiguous,0.908776416664459,689,,,ambiguous
GSM4138132,4,1,Ambiguous/Mixed,ambiguous,0.933026659763963,643,,,ambiguous
GSM4138136,4,1,Ambiguous/Mixed,ambiguous,0.897545671138613,641,,,ambiguous
GSM4138110,4,1,Ambiguous/Mixed,ambiguous,0.9119283262748428,628,,,ambiguous
GSM4138120,4,1,Ambiguous/Mixed,ambiguous,0.8473820463215724,609,,,ambiguous
GSM4138130,4,1,Ambiguous/Mixed,ambiguous,0.9194673989705873,585,,,ambiguous
GSM4138138,4,1,Ambiguous/Mixed,ambiguous,0.8903661621199703,576,,,ambiguous
GSM4138123,4,2,Ambiguous/Mixed,ambiguous,0.6968886543302559,562,,,ambiguous
GSM4138122,4,1,Ambiguous/Mixed,ambiguous,0.8836217431693505,543,,,ambiguous
GSM4138128,4,1,Ambiguous/Mixed,ambiguous,0.8836217431693505,543,,,ambiguous
GSM4138135,4,2,Ambiguous/Mixed,ambiguous,0.7258529413620705,521,,,ambiguous
GSM4138160,4,1,Ambiguous/Mixed,ambiguous,0.8973504704889755,485,,,ambiguous
GSM4138162,4,1,Ambiguous/Mixed,ambiguous,0.8911671709487927,485,,,ambiguous
GSM4138137,4,2,Ambiguous/Mixed,ambiguous,0.7614529724075058,469,,,ambiguous
GSM4138166,4,1,Ambiguous/Mixed,ambiguous,0.8913964012848505,467,,,ambiguous
GSM4138146,4,1,Ambiguous/Mixed,ambiguous,0.8890286325827184,461,,,ambiguous
GSM4138152,4,1,Ambiguous/Mixed,ambiguous,0.8615241308228656,461,,,ambiguous
GSM4138165,4,1,Ambiguous/Mixed,ambiguous,0.8949850658164404,437,,,ambiguous
GSM4138131,4,2,Ambiguous/Mixed,ambiguous,0.7112405257474139,436,,,ambiguous
GSM4138163,4,1,Ambiguous/Mixed,ambiguous,0.9072704819130132,424,,,ambiguous
GSM4138125,4,2,Ambiguous/Mixed,ambiguous,0.7396250076788939,383,,,ambiguous
GSM4138112,4,1,Ambiguous/Mixed,ambiguous,0.8964559322265603,354,,,ambiguous
GSM4138114,4,1,Ambiguous/Mixed,ambiguous,0.8848695210761265,352,,,ambiguous
GSM4138154,4,1,Ambiguous/Mixed,ambiguous,0.8579446319199553,352,,,ambiguous
GSM4138139,4,2,Ambiguous/Mixed,ambiguous,0.7194972391979613,349,,,ambiguous
GSM4138124,4,1,Ambiguous/Mixed,ambiguous,0.915608488781229,341,,,ambiguous
GSM4138167,4,1,Ambiguous/Mixed,ambiguous,0.8808930053659563,340,,,ambiguous
GSM4138155,4,2,Ambiguous/Mixed,ambiguous,0.6704713611675652,319,,,ambiguous
GSM4138144,4,1,Ambiguous/Mixed,ambiguous,0.8498831569088204,298,,,ambiguous
GSM4138141,4,1,Ambiguous/Mixed,ambiguous,0.9068391083874362,294,,,ambiguous
GSM4138118,4,1,Ambiguous/Mixed,ambiguous,0.8770768667778066,292,,,ambiguous
GSM4138145,4,1,Ambiguous/Mixed,ambiguous,0.7946404926322501,279,,,ambiguous
GSM4138158,4,1,Ambiguous/Mixed,ambiguous,0.8990372377107105,275,,,ambiguous
