sample,K,gep,label,label_kind,ROGUE,n_cells,size_bin,null_median,null_mean,null_std,n_draws,null_zscore,beats_null_median
GSM4138134,4,1,Ambiguous/Mixed,ambiguous,0.9561562126178971,1213,1225,0.9513815996293293,0.9511254569081459,0.0004636789267097363,10.0,10.849653542483418,True
GSM4138156,4,1,Ambiguous/Mixed,ambiguous,0.8972217973513263,919,925,0.8886977449779212,0.8889503196162529,0.003913135749290336,10.0,2.1137722443116074,True
GSM4138126,4,1,Ambiguous/Mixed,ambiguous,0.9529039457285877,758,750,0.9538573827526964,0.9539020316682425,0.0002101539933936338,10.0,-4.749307512730878,False
GSM4138116,4,1,Ambiguous/Mixed,ambiguous,0.9242507542572167,703,700,0.9217260418786248,0.9217348768857916,0.00022669976466545822,10.0,11.09783847873774,True
GSM4138140,4,1,Ambiguous/Mixed,ambiguous,0.9104399036333599,700,700,0.9078111651806406,0.9068905802054197,0.0017668472697567185,10.0,2.008845636345776,True
GSM4138142,4,1,Ambiguous/Mixed,ambiguous,0.908776416664459,689,700,,,,,,False
GSM4138132,4,1,Ambiguous/Mixed,ambiguous,0.933026659763963,643,650,,,,,,False
GSM4138136,4,1,Ambiguous/Mixed,ambiguous,0.897545671138613,641,650,,,,,,False
GSM4138110,4,1,Ambiguous/Mixed,ambiguous,0.9119283262748428,628,625,0.9060897039154181,0.9066685629294383,0.0015164147847689798,10.0,3.468551875274522,True
GSM4138120,4,1,Ambiguous/Mixed,ambiguous,0.8473820463215724,609,600,0.8443952529491889,0.8440244997402349,0.0009759269134653771,10.0,3.440366829740774,True
GSM4138130,4,1,Ambiguous/Mixed,ambiguous,0.9194673989705873,585,575,0.9001695525010971,0.9005950010084701,0.002005367489728226,10.0,9.41094241269205,True
GSM4138138,4,1,Ambiguous/Mixed,ambiguous,0.8903661621199703,576,575,0.9043714999078616,0.9048127741948289,0.0011477243306989308,10.0,-12.58717941969651,False
GSM4138123,4,2,Ambiguous/Mixed,ambiguous,0.6968886543302559,562,550,0.6784234072551489,0.6778744843113707,0.004680732912351878,10.0,4.062220676746845,True
GSM4138122,4,1,Ambiguous/Mixed,ambiguous,0.8836217431693505,543,550,0.8827907504497787,0.8834174043870373,0.0014808083294433284,10.0,0.13799137825622623,True
GSM4138128,4,1,Ambiguous/Mixed,ambiguous,0.8836217431693505,543,550,0.8836444036268716,0.8844613770301131,0.002162722762049103,10.0,-0.3882300013188262,False
GSM4138135,4,2,Ambiguous/Mixed,ambiguous,0.7258529413620705,521,525,0.6800682596153514,0.6804157731448418,0.009455459301259074,10.0,4.805389856754849,True
GSM4138160,4,1,Ambiguous/Mixed,ambiguous,0.8973504704889755,485,475,0.8596701616474662,0.8611821379546842,0.005928421014857502,10.0,6.100837380416825,True
