sample,members_str,ROGUE,n_cells
GSM4138154,Mono_CD16+Mono_Int,0.9355922464670017,51
GSM4138162,Mono_CD14_IL1B+Mono_CD16+Mono_Int,0.94668868852689,397
GSM4138163,Mono_CD14_IL1B+Mono_CD16+Mono_Int,0.9467643491054498,353
GSM4138122,Mono_CD16+Mono_Int,0.9699002469085148,225
GSM4138128,Mono_CD16+Mono_Int,0.9699002469085148,225
GSM4138140,Mono_CD16+Mono_Int,0.9606633277938099,179
GSM4138125,Mac_CXCL9+Mac_SPP1,0.7561712187279366,356
GSM4138132,Mono_CD16+Mono_Int,0.9538671121572256,170
GSM4138165,Mono_CD16+Mono_Int,0.9418843907021985,127
GSM4138124,Mono_CD16+Mono_Int,0.970131476717799,68
GSM4138167,Mono_CD16+Mono_Int,0.9635187038692595,63
GSM4138131,Mac_CXCL9+Mac_IL1Bint,0.7828997186667236,145
GSM4138139,Mac_CXCL9+Mac_SPP1,0.7492953625800536,145
GSM4138126,Mono_CD16+Mono_Int,0.9844564676016059,57
GSM4138155,cDC2_CD1C+mregDC_LAMP3,0.6854244853162987,158
GSM4138135,Mac_CXCL9+Mac_IL1B,0.6595324966653415,364
GSM4138134,Mono_CD14+Mono_Int,0.9727777383121166,1044
GSM4138110,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.941439209092174,544
GSM4138140,Mono_CD14+Mono_Int,0.9546359152081644,570
GSM4138140,Mono_CD14+Mono_CD16,0.9591439267157352,545
GSM4138136,Mono_CD14+Mono_CD16,0.9443466753153855,439
GSM4138146,Mono_CD14+Mono_CD16,0.9173408953787738,349
GSM4138124,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.9465214999654281,309
GSM4138122,Mono_CD14+Mono_CD16,0.9412231573495089,373
GSM4138128,Mono_CD14+Mono_CD16,0.9412231573495089,373
GSM4138144,Mono_CD14+Mono_CD16,0.9256713965166431,163
GSM4138134,Mono_CD16+Mono_Int,0.968722465524963,302
GSM4138142,Mono_CD14+Mono_CD14_IL1B+Mono_Int,0.9367601338181617,501
GSM4138138,Mono_CD14+Mono_Int,0.94831225933609,406
GSM4138161,cDC2_CD1C+cDC2_CD33,0.710890009337813,105
GSM4138115,cDC2_CD1C+cDC2_CD33,0.8607852216148225,68
GSM4138143,Mono_CD14+Mono_CD14_IL1B,0.9584466774561636,54
GSM4138142,Mono_CD14+Mono_CD16+Mono_Int,0.9140940433706493,526
GSM4138162,Mono_CD14_IL1B+Mono_CD16,0.9561680598227096,355
GSM4138138,Mono_CD14+Mono_CD16+Mono_Int,0.9067888947321965,518
GSM4138126,Mono_CD14+Mono_Int,0.9738723099838855,652
GSM4138112,Mono_CD14+Mono_CD16+Mono_Int,0.9195894389308333,325
GSM4138124,Mono_CD14_THBS1+Mono_CD16,0.9363445464061112,230
GSM4138160,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.9477884364351251,450
GSM4138155,Mac_CXCL9+Mac_IL1Bint,0.7206161286840025,149
GSM4138111,Mac_CXCL9+Mac_IL1Bint,0.7416052840213305,76
GSM4138134,Mono_CD14+Mono_CD16,0.9557573917578885,1006
GSM4138139,Mac_IL1B+Mac_IL1Bint,0.7280384137012346,213
GSM4138142,Mono_CD14+Mono_CD14_IL1B+Mono_CD16,0.9334936394260506,551
GSM4138123,Mac_CXCL9+Mac_IL1B,0.7090377912780572,455
GSM4138152,Mono_CD14_ID1+Mono_CD16,0.927950221081767,231
GSM4138130,Mono_CD14+Mono_Int,0.9461033170949739,426
GSM4138150,Mono_CD14+Mono_CD16,0.9527661666721061,112
GSM4138162,Mono_CD14_IL1B+Mono_Int,0.9530197134045822,334
GSM4138136,Mono_CD14+Mono_Int,0.9487826382425235,438
GSM4138122,Mono_CD14+Mono_Int,0.9516983147398458,320
GSM4138128,Mono_CD14+Mono_Int,0.9516983147398458,320
GSM4138125,Mac_IL1Bint+Mac_SPP1,0.7576973034197458,359
GSM4138127,Mac_IL1B+Mac_SPP1,0.7781663742257643,158
GSM4138143,cDC2_CD1C+cDC2_CD33+mregDC_LAMP3,0.7704557533881832,132
GSM4138132,Mono_CD14+Mono_CD16,0.9608383260877378,501
GSM4138144,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.9347089006504267,204
GSM4138139,Mac_IL1B+Mac_SPP1,0.7171595861275513,166
GSM4138152,Mono_CD14_ID1+Mono_CD14_IL1B,0.9479444541214949,232
GSM4138155,Mac_IL1B+Mac_IL1Bint,0.674581583714289,213
