sample,K,gep,label,label_kind,membership_label,baseline_group_type,members_str,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,baseline_ROGUE_mean,baseline_ROGUE_min,baseline_ROGUE_max,delta_ROGUE_vs_mean,delta_ROGUE_vs_max,recommendation
GSM4138134,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14,0.9561562126178971,1213,,,,,,,,ambiguous
GSM4138156,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16,subgroup,Mono_CD14+Mono_CD16,0.896215523438854,921,0.9322540907900484,-0.03603856735119437,0.9697216211129801,0.9674540600296433,0.9719891821963169,-0.07350609767412608,-0.07577365875746289,subgroup_GEP_less_pure
GSM4138126,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14,0.9529039457285877,758,,,,,,,,ambiguous
GSM4138135,3,2,Ambiguous/Mixed,ambiguous,Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,subgroup,Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,0.6661004420957182,757,0.6816557003952799,-0.015555258299561725,0.7825491964380239,0.7690520922235567,0.8086840355033273,-0.11644875434230573,-0.14258359340760918,subgroup_GEP_less_pure
GSM4138116,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14_THBS1,0.9218872648235008,704,,,,,,,,ambiguous
GSM4138140,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14,0.9072145288378533,702,,,,,,,,ambiguous
GSM4138142,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16,subgroup,Mono_CD14+Mono_CD16,0.908776416664459,689,0.9271894213412561,-0.018413004676797184,0.9718944033882,0.9665257719433304,0.9772630348330694,-0.06311798672374103,-0.06848661816861046,subgroup_GEP_less_pure
GSM4138132,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_Int,subgroup,Mono_CD14+Mono_Int,0.933026659763963,643,0.9605309142964024,-0.02750425453243932,0.9851452972778509,0.9787604738252575,0.9915301207304444,-0.0521186375138879,-0.0585034609664814,subgroup_GEP_less_pure
GSM4138136,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16+Mono_Int,subgroup,Mono_CD14+Mono_CD16+Mono_Int,0.897545671138613,641,0.9393889781999186,-0.04184330706130557,0.9756666255116541,0.9633769744555425,0.9847081551064648,-0.07812095437304101,-0.08716248396785176,subgroup_GEP_less_pure
GSM4138110,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD14_THBS1,subgroup,Mono_CD14+Mono_CD14_THBS1,0.9119283262748428,628,0.9660212560179537,-0.05409292974311097,0.9713485424285075,0.966937161709359,0.9757599231476562,-0.05942021615366477,-0.06383159687281348,subgroup_GEP_less_pure
GSM4138120,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14_ID1,0.8473820463215724,609,,,,,,,,ambiguous
GSM4138137,3,2,Ambiguous/Mixed,ambiguous,Mac_CXCL9+Mac_IL1Bint,subgroup,Mac_CXCL9+Mac_IL1Bint,0.7429650478359613,609,0.761732242965101,-0.018767195129139713,0.8026532793873087,0.7673473856645985,0.8379591731100189,-0.05968823155134739,-0.0949941252740576,subgroup_GEP_less_pure
GSM4138123,3,2,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mac_CXCL9,0.675453301154537,597,,,,,,,,ambiguous
GSM4138130,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16+Mono_Int,subgroup,Mono_CD14+Mono_CD16+Mono_Int,0.9192650063799177,586,0.9276561159403772,-0.00839110956045952,0.9732306530518309,0.9582255439190961,0.9812775037239836,-0.05396564667191317,-0.06201249734406589,subgroup_GEP_less_pure
GSM4138138,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16,subgroup,Mono_CD14+Mono_CD16,0.8861204739979011,577,0.9107663246825695,-0.024645850684668402,0.9764594236641286,0.9668810029523296,0.9860378443759278,-0.09033894966622757,-0.09991737037802673,subgroup_GEP_less_pure
GSM4138128,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16+Mono_Int,subgroup,Mono_CD14+Mono_CD16+Mono_Int,0.8814912149219919,545,0.9325835242245374,-0.05109230930254549,0.9795562039265402,0.9742090669369424,0.9868478470567125,-0.0980649890045483,-0.10535663213472057,subgroup_GEP_less_pure
GSM4138122,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16+Mono_Int,subgroup,Mono_CD14+Mono_CD16+Mono_Int,0.8814912149219919,545,0.9325835242245374,-0.05109230930254549,0.9795562039265402,0.9742090669369424,0.9868478470567125,-0.0980649890045483,-0.10535663213472057,subgroup_GEP_less_pure
GSM4138131,3,2,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.6774490506174832,538,,,,,,,,ambiguous
GSM4138139,3,2,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.633800956586107,502,,,,,,,,ambiguous
GSM4138162,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14_IL1B,0.8911671709487927,485,,,,,,,,ambiguous
GSM4138160,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD14_THBS1,subgroup,Mono_CD14+Mono_CD14_THBS1,0.8973504704889755,485,0.9629738427447219,-0.06562337225574633,0.9749226655909777,0.968270160470863,0.9815751707110923,-0.0775721951020022,-0.08422470022211681,subgroup_GEP_less_pure
GSM4138155,3,2,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mac_IL1B+Mac_IL1Bint+cDC2_CD1C,0.5943668478181363,472,,,,,,,,ambiguous
GSM4138166,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16,subgroup,Mono_CD14+Mono_CD16,0.8867922994795233,468,0.9390333936946579,-0.052241094215134565,0.969096059823931,0.9621941145544404,0.9759980050934216,-0.08230376034440767,-0.08920570561389829,subgroup_GEP_less_pure
GSM4138152,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14_ID1+Mono_CD14_IL1B+Mono_CD16,subgroup,Mono_CD14_ID1+Mono_CD14_IL1B+Mono_CD16,0.8568259520075167,462,0.9202501241556037,-0.06342417214808704,0.9556687636428419,0.9413199538988823,0.9736856123028442,-0.09884281163532527,-0.11685966029532757,subgroup_GEP_less_pure
GSM4138146,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16+Mono_Int,subgroup,Mono_CD14+Mono_CD16+Mono_Int,0.8890286325827184,461,0.9146879847108832,-0.025659352128164836,0.9664537016708575,0.9600393338795674,0.9770530882408491,-0.07742506908813918,-0.08802445565813077,subgroup_GEP_less_pure
GSM4138165,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16,subgroup,Mono_CD14+Mono_CD16,0.8949850658164404,437,0.9349851744354144,-0.04000010861897396,0.9595011864588462,0.9446544771791544,0.974347895738538,-0.06451612064240575,-0.07936282992209753,subgroup_GEP_less_pure
GSM4138163,3,1,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_CD14_IL1B,0.9072704819130132,424,,,,,,,,ambiguous
GSM4138125,3,2,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mac_SPP1,0.7371477855679304,393,,,,,,,,ambiguous
GSM4138154,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD14_ID1,subgroup,Mono_CD14+Mono_CD14_ID1,0.8369290237563645,356,0.9435923514360012,-0.10666332767963671,0.9588686754218684,0.943462555263132,0.9742747955806047,-0.12193965166550391,-0.13734577182424024,subgroup_GEP_less_pure
GSM4138112,3,1,Ambiguous/Mixed,ambiguous,Mono_CD14+Mono_CD16,subgroup,Mono_CD14+Mono_CD16,0.8908101549354115,355,0.9269019046195429,-0.036091749684131424,0.9704507992559994,0.9618001923997429,0.9791014061122558,-0.07964064432058793,-0.08829125117684433,subgroup_GEP_less_pure
