label,membership_label,label_kind,baseline_group_type,members_str,baseline_ROGUE_median,median_best_constituent,n_K_with_signal,n_rows,median_best_constituent_baseline,ROGUE_min,ROGUE_median,ROGUE_max,ROGUE_iqr,delta_ROGUE_min,delta_ROGUE_median,delta_ROGUE_max,delta_ROGUE_iqr
DC_pDC,DC_pDC,specific,specific,DC_pDC,0.9597342055511806,,1,661,,0.6105962578430075,0.9508575041839805,1.0,0.06635675809240194,-0.30706683985295524,0.0,0.07217838920220376,0.013407318354214354
Mac_IL1B,Mac_IL1B,specific,specific,Mac_IL1B+Mac_IL1Bint+Mono_TIL,0.8676136899960956,,0,25,,0.6808857589096191,0.861980513657902,1.0,0.09860580361692917,-0.14236650014835628,-0.052361169134426344,-0.004097453426177511,0.08048062884823903
Mac_SPP1,Mac_SPP1,specific,specific,Mac_SPP1,0.8901661361622865,,1,37,,0.6688493240861897,0.930746304371574,0.9815858887964104,0.08055558300101784,-0.1850624908073628,-0.03981849721784181,0.07123993356117564,0.13215847330482208
Mast,Mast,specific,specific,Mast,0.9748135904112316,,4,159,,0.872494775074525,0.9700972690342095,1.0,0.04236381492567043,-0.07234258139593086,0.0,0.07248616893848225,0.0010937641659904962
Mono_CD14_ID1,Mono_CD14_ID1,specific,specific,Mono_CD14,0.943462555263132,,0,147,,0.7081118396801025,0.895311369775414,1.0,0.06864283256255888,-0.05476985441828475,-0.040441059489940145,-0.040441059489940145,0.0035821987320861504
Mono_CD16,Mono_CD16,specific,specific,Mono_CD16+Mono_Int+cDC2_CD33,0.969665210227224,,2,208,,0.6377065939372841,0.9545225334206834,1.0,0.07294733175373624,-0.1717460705346988,-0.022624082176987526,0.07677160845495368,0.056288788974533044
cDC2_CD33,cDC2_CD33,specific,specific,Mono_CD14_ID1,0.9624591882527529,,0,157,,0.7262296743299649,0.8843360570859243,1.0,0.05489265696769696,-0.22528227983190607,-0.07150126666751744,-0.009243056416114004,0.033957758737876875
Mac_CXCL9+Mac_IL1B,Mac_CXCL9+Mac_IL1B,subgroup,subgroup,Mac_CXCL9+Mac_IL1B,0.6842851439716994,0.8249665545850178,0,5,0.8249665545850178,0.6747705687636818,0.7669047311379786,0.8064139415728604,0.01703793072402593,-0.03426722251437542,0.07090708098318343,0.14688144490751887,0.0535030842134796
Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,subgroup,subgroup,Mac_CXCL9+Mac_IL1B+Mac_IL1Bint,0.6816557003952799,0.8086840355033273,0,12,0.8086840355033273,0.6661004420957182,0.6906377097441999,0.7141280066304763,0.018975623394759222,-0.015555258299561725,0.008982009348920017,0.03247230623519637,0.018975623394759195
Mac_CXCL9+Mac_IL1Bint,Mac_CXCL9+Mac_IL1Bint,subgroup,subgroup,Mac_CXCL9+Mac_IL1Bint,0.7584338316105461,0.8414773926650984,1,153,0.8414773926650984,0.6753849214012477,0.8082227820223504,0.9162999766873805,0.058079194038429205,-0.066894579060924,0.036237684684934046,0.195683848003378,0.05470425487771713
Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,subgroup,subgroup,Mac_CXCL9+Mac_IL1Bint+Mac_SPP1,0.7194840347234641,0.9117975234359513,0,15,0.9117975234359513,0.6945350912462597,0.7391694030203018,0.8323969031388694,0.05574837769921526,-0.04069023754352585,0.018916880289461924,0.09598763598043347,0.04486719757992713
