label,membership_label,label_kind,baseline_group_type,members_str,baseline_ROGUE_median,median_best_constituent,n_K_with_signal,n_rows,median_best_constituent_baseline,ROGUE_min,ROGUE_median,ROGUE_max,ROGUE_iqr,delta_ROGUE_min,delta_ROGUE_median,delta_ROGUE_max,delta_ROGUE_iqr
Mac_CXCL9+Mac_SPP1,Mac_CXCL9+Mac_SPP1,subgroup,subgroup,Mac_CXCL9+Mac_SPP1,0.7561712187279366,0.8797488820421768,0,4,0.8797488820421768,0.7669886772488475,0.8047623391941212,0.8448279978406515,0.07257470690417955,0.006077126049007342,0.0119993305748049,0.09087689445155323,0.022972750181477514
Mac_IL1B+Mac_IL1Bint,Mac_IL1B+Mac_IL1Bint,subgroup,subgroup,Mac_IL1B+Mac_IL1Bint,0.7280384137012346,0.855205732409343,1,49,0.855205732409343,0.633270551820251,0.778882599773777,0.8882032707816734,0.0583909359146243,-0.08931696289580948,0.037922108655517706,0.1597357414516385,0.034908368857395344
Mac_IL1B+Mac_SPP1,Mac_IL1B+Mac_SPP1,subgroup,subgroup,Mac_IL1B+Mac_SPP1,0.7476629801766578,0.8794372096922785,0,2,0.8794372096922785,0.7802537318030788,0.8114399519823103,0.8426261721615418,0.03118622017923156,0.06309414567552751,0.0637769718056525,0.0644597979357775,0.0006828261301249916
Mac_IL1Bint+Mac_SPP1,Mac_IL1Bint+Mac_SPP1,subgroup,subgroup,Mac_IL1Bint+Mac_SPP1,0.7338402653245938,0.8539118148935525,0,17,0.8539118148935525,0.7365508003819239,0.7734365979554109,0.8064783223682771,0.03414564568143985,0.013543860874996372,0.044670389848050385,0.10339503091890079,0.01095909942564588
Mono_CD14+Mono_CD14_ID1,Mono_CD14+Mono_CD14_ID1,subgroup,subgroup,Mono_CD14+Mono_CD14_ID1,0.9435923514360012,0.9742747955806047,0,35,0.9742747955806047,0.812020114051311,0.8680948189420876,0.9759346784503607,0.07668011010349052,-0.13157223738469015,-0.07549753249391356,0.03234232701435957,0.07668011010349052
Mono_CD14+Mono_CD14_ID1+Mono_CD14_IL1B,Mono_CD14+Mono_CD14_ID1+Mono_CD14_IL1B,subgroup,subgroup,Mono_CD14+Mono_CD14_ID1+Mono_CD14_IL1B,0.945434455044499,0.9827974950237252,0,12,0.9827974950237252,0.8741767273904651,0.9431364702658351,0.9804976732413411,0.03790018662663741,-0.07125772765403382,-0.0022979847786638308,0.035063218196842105,0.037900186626637355
Mono_CD14+Mono_CD14_IL1B,Mono_CD14+Mono_CD14_IL1B,subgroup,subgroup,Mono_CD14+Mono_CD14_IL1B,0.969521173126793,0.9905158467550281,0,50,0.9905158467550281,0.899937941267147,0.9526200298510784,0.9868284210311707,0.02044560051771782,-0.07330252112245483,-0.01806189998024793,0.024293789616120054,0.027434412430995703
Mono_CD14+Mono_CD14_IL1B+Mono_CD16,Mono_CD14+Mono_CD14_IL1B+Mono_CD16,subgroup,subgroup,Mono_CD14+Mono_CD14_IL1B+Mono_CD16,0.933785684760638,0.9810995415874277,0,40,0.9810995415874277,0.8425423385871764,0.892543841168707,0.9431059304893773,0.04291421026621767,-0.09124334617346153,-0.05315818969799946,-0.002596100377329158,0.030997864160149158
Mono_CD14+Mono_CD14_IL1B+Mono_Int,Mono_CD14+Mono_CD14_IL1B+Mono_Int,subgroup,subgroup,Mono_CD14+Mono_CD14_IL1B+Mono_Int,0.9367601338181617,0.9772630348330694,0,3,0.9772630348330694,0.9193009306584377,0.9239842147279504,0.9246636241137576,0.002681346727659961,-0.017459203159724046,-0.012775919090211252,-0.012096509704404124,0.002681346727659961
Mono_CD14+Mono_CD14_THBS1,Mono_CD14+Mono_CD14_THBS1,subgroup,subgroup,Mono_CD14+Mono_CD14_THBS1,0.9701869137547773,0.9804615928790794,0,138,0.9804615928790794,0.8513707449805303,0.9237456780946116,0.9913740255507333,0.05228242945012607,-0.11160309776419153,-0.0435166819952465,0.028400102972197416,0.0588508549147474
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,subgroup,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.943980354528801,0.9825249136826829,0,17,0.9825249136826829,0.8826319370274078,0.9050623476000129,0.96294110344959,0.030378496417197476,-0.06342860283752216,-0.04097913187643221,0.016419603484161938,0.02791923335827684
Mono_CD14+Mono_CD16,Mono_CD14+Mono_CD16,subgroup,subgroup,Mono_CD14+Mono_CD16,0.9401282755220834,0.9816178214738056,0,222,0.9816178214738056,0.8547304683957887,0.8972217973513263,0.982350752927804,0.024883646342443555,-0.08283663682218889,-0.03063958007605022,0.04295790996857729,0.02683187398183734
Mono_CD14+Mono_CD16+Mono_Int,Mono_CD14+Mono_CD16+Mono_Int,subgroup,subgroup,Mono_CD14+Mono_CD16+Mono_Int,0.9325835242245374,0.9853729997411963,0,168,0.9853729997411963,0.85457185117361,0.8994257840402627,0.9742918492230648,0.034628626782038485,-0.06701938549349828,-0.027851239630794167,0.03258411339238265,0.03666451702619694
Mono_CD14+Mono_Int,Mono_CD14+Mono_Int,subgroup,subgroup,Mono_CD14+Mono_Int,0.9516983147398458,0.9868478470567125,0,71,0.9868478470567125,0.8931478939001591,0.9340292903866413,0.9802191780902363,0.015031685461488475,-0.061488021308005236,-0.02750425453243932,0.034115860995262426,0.017234586700435872
Mono_CD14+Mono_TIL,Mono_CD14+Mono_TIL,subgroup,subgroup,Mono_CD14+Mono_TIL,0.8413446062155883,0.9790031029449099,0,16,0.9790031029449099,0.8728541587824468,0.91793902121372,0.9517451585901997,0.036210187019907414,0.0315095525668585,0.07659441499813174,0.11040055237461144,0.03621018701990736
Mono_CD14_ID1+Mono_CD14_IL1B,Mono_CD14_ID1+Mono_CD14_IL1B,subgroup,subgroup,Mono_CD14_ID1+Mono_CD14_IL1B,0.939575776888615,0.9715410117093067,0,45,0.9715410117093067,0.8584665649132799,0.892680065325938,0.9724824664987458,0.049544810221129,-0.07274053474245545,-0.038527034329797316,0.041275366843010475,0.049544810221129
Mono_CD14_ID1+Mono_CD14_IL1B+Mono_CD16,Mono_CD14_ID1+Mono_CD14_IL1B+Mono_CD16,subgroup,subgroup,Mono_CD14_ID1+Mono_CD14_IL1B+Mono_CD16,0.9202501241556037,0.9736856123028442,0,25,0.9736856123028442,0.8455891417659218,0.8588755386172926,0.9306328775738212,0.03860007807884047,-0.07466098238968188,-0.0613745855383111,0.010382753418217483,0.03860007807884047
Mono_CD14_ID1+Mono_CD16,Mono_CD14_ID1+Mono_CD16,subgroup,subgroup,Mono_CD14_ID1+Mono_CD16,0.927950221081767,0.9520007247267991,0,1,0.9520007247267991,0.9560032303100388,0.9560032303100388,0.9560032303100388,0.0,0.028053009228271808,0.028053009228271808,0.028053009228271808,0.0
Mono_CD14_IL1B+Mono_CD16,Mono_CD14_IL1B+Mono_CD16,subgroup,subgroup,Mono_CD14_IL1B+Mono_CD16,0.9561680598227096,0.9689990847188696,0,2,0.9689990847188696,0.8756564829928573,0.8785549501184771,0.8814534172440969,0.002898467125619808,-0.08051157682985233,-0.07761310970423252,-0.07471464257861271,0.002898467125619808
Mono_CD14_IL1B+Mono_CD16+Mono_Int,Mono_CD14_IL1B+Mono_CD16+Mono_Int,subgroup,subgroup,Mono_CD14_IL1B+Mono_CD16+Mono_Int,0.94672651881617,0.9830553022671534,0,2,0.9830553022671534,0.9080476821919715,0.9222154412886603,0.936383200385349,0.01416775909668877,-0.038641006334918515,-0.024511077527509695,-0.010381148720100875,0.01412992880740882
Mono_CD14_IL1B+Mono_Int,Mono_CD14_IL1B+Mono_Int,subgroup,subgroup,Mono_CD14_IL1B+Mono_Int,0.9530197134045822,0.9800552515012182,0,1,0.9800552515012182,0.9472097561209278,0.9472097561209278,0.9472097561209278,0.0,-0.00580995728365441,-0.00580995728365441,-0.00580995728365441,0.0
Mono_CD14_IL1B+Mono_TIL,Mono_CD14_IL1B+Mono_TIL,subgroup,subgroup,Mono_CD14_IL1B+Mono_TIL,0.8239649896105061,0.9391408661250604,0,12,0.9391408661250604,0.8075283621817204,0.8878361190907724,0.902542371455552,0.053896413790522235,-0.01267126825957754,0.06387112948026641,0.0823427410142541,0.046365695452105976
Mono_CD14_THBS1+Mono_CD16,Mono_CD14_THBS1+Mono_CD16,subgroup,subgroup,Mono_CD14_THBS1+Mono_CD16,0.9363445464061112,0.9807043129705426,0,1,0.9807043129705426,0.9094621939920239,0.9094621939920239,0.9094621939920239,0.0,-0.026882352414087318,-0.026882352414087318,-0.026882352414087318,0.0
Mono_CD14_THBS1+Mono_CD16+Mono_Int,Mono_CD14_THBS1+Mono_CD16+Mono_Int,subgroup,subgroup,Mono_CD14_THBS1+Mono_CD16+Mono_Int,0.9443327022603746,1.0,0,4,1.0,0.9084742898658345,0.9088829990143584,0.9216741215331427,0.003556147822863842,-0.03585841239454013,-0.03544970324601615,-0.022658580727231925,0.003556147822863759
Mono_CD16+Mono_Int,Mono_CD16+Mono_Int,subgroup,subgroup,Mono_CD16+Mono_Int,0.9597196658888385,0.9782632223794603,0,152,0.9782632223794603,0.889533430250398,0.94688118016935,0.986121566166167,0.04093516816445242,-0.07117429312876455,-0.006296896411543462,0.027684968235177077,0.038288658233213924
cDC1_CLEC9A+cDC2_CD1C,cDC1_CLEC9A+cDC2_CD1C,subgroup,subgroup,cDC1_CLEC9A+cDC2_CD1C,0.7993061374093284,0.9606414926807283,0,23,0.9606414926807283,0.7288359779231,0.8677810014245049,0.8951088264124206,0.08919021959954176,-0.031097051402780518,0.029885221492247926,0.07395858287192536,0.058489818400946136
cDC1_CLEC9A+cDC2_CD1C+cDC2_CD33,cDC1_CLEC9A+cDC2_CD1C+cDC2_CD33,subgroup,subgroup,cDC1_CLEC9A+cDC2_CD1C+cDC2_CD33,0.7817206083745507,0.9277541740016545,0,17,0.9277541740016545,0.7410749749983234,0.7687836398699405,0.8056811000887172,0.009061546137647314,-0.04147120327540321,-0.0060056748082211175,0.013618392542200097,0.03860993002976343
cDC1_CLEC9A+cDC2_CD1C+mregDC_LAMP3,cDC1_CLEC9A+cDC2_CD1C+mregDC_LAMP3,subgroup,subgroup,cDC1_CLEC9A+cDC2_CD1C+mregDC_LAMP3,0.8654475863182531,0.9764864772086252,0,1,0.9764864772086252,0.79224471611957,0.79224471611957,0.79224471611957,0.0,-0.0732028701986831,-0.0732028701986831,-0.0732028701986831,0.0
cDC2_CD1C+cDC2_CD33,cDC2_CD1C+cDC2_CD33,subgroup,subgroup,cDC2_CD1C+cDC2_CD33,0.7963906249241826,0.9545746132723032,0,10,0.9545746132723032,0.7944152080159557,0.844982697424715,0.9061832793788009,0.040967375341371515,-0.03869002978922098,0.04232337211555448,0.1519686537926499,0.05689405147539539
cDC2_CD1C+cDC2_CD33+mregDC_LAMP3,cDC2_CD1C+cDC2_CD33+mregDC_LAMP3,subgroup,subgroup,cDC2_CD1C+cDC2_CD33+mregDC_LAMP3,0.7704557533881832,0.951511954161871,0,1,0.951511954161871,0.7847140490468268,0.7847140490468268,0.7847140490468268,0.0,0.014258295658643672,0.014258295658643672,0.014258295658643672,0.0
cDC2_CD1C+mregDC_LAMP3,cDC2_CD1C+mregDC_LAMP3,subgroup,subgroup,cDC2_CD1C+mregDC_LAMP3,0.7731301381704301,0.8851830675687172,0,7,0.8851830675687172,0.7189926412081259,0.7841178639233746,0.8628185273664342,0.07519748581048069,-0.0762108592584817,0.0018960911074956677,0.17739404205013543,0.1427263490605556
DC_family,DC_family,family,family,Mono_TIL+cDC2_CD1C+mregDC_LAMP3,0.943543967188031,0.9579892882400035,13,586,0.9579892882400035,0.6559064039345078,0.9287247001502559,1.0,0.11438068028604353,-0.18151206631508665,0.05941222528688844,0.2648249480730783,0.10156838730606874
Macrophage_family,Macrophage_family,family,family,Mac_CXCL9,0.7571052713504478,0.912094791874117,12,189,0.912094791874117,0.6938549991487055,0.8989752451391558,1.0,0.1127494998969033,0.005524441563769078,0.14548607288553062,0.30960244050462205,0.09154345379741158
Monocyte_family,Monocyte_family,family,family,Mono_CD14,0.9294247783814377,0.9867003431168584,4,305,0.9867003431168584,0.8369994000149978,0.9606912844772857,1.0,0.040101805383098155,-0.07258987014185991,0.032501944899099966,0.18337762631852284,0.04104993488797315
