K,GEP,program_id,gep_col,top1_celltype,top_celltypes,top_celltypes_list
9,GEP9,K9_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (86%), Fibroblasts/Stromal (7%), Bcells_CD19 (3%)","[('Tumor/Epithelials', 0.8642149929278642), ('Fibroblasts/Stromal', 0.06789250353606789), ('Bcells_CD19', 0.03041018387553041)]"
10,GEP1,K10_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (95%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)","[('Tumor/Epithelials', 0.9519094766619519), ('Fibroblasts/Stromal', 0.021216407355021217), ('Bcells_CD19', 0.01272984441301273)]"
10,GEP2,K10_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (100%), Fibroblasts/Stromal (0%), Endothelials (0%)","[('Tumor/Epithelials', 0.9964639321074965), ('Fibroblasts/Stromal', 0.0021216407355021216), ('Endothelials', 0.0014144271570014145)]"
10,GEP3,K10_GEP3,3,CD4+Tcells,"CD4+Tcells (31%), CD8+Tcells (27%), Tregs (16%)","[('CD4+Tcells', 0.3132956152758133), ('CD8+Tcells', 0.2722772277227723), ('Tregs', 0.15770862800565771)]"
10,GEP4,K10_GEP4,4,Bcells_CD19,"Bcells_CD19 (86%), Tumor/Epithelials (5%), Fibroblasts/Stromal (2%)","[('Bcells_CD19', 0.8592644978783592), ('Tumor/Epithelials', 0.04809052333804809), ('Fibroblasts/Stromal', 0.02263083451202263)]"
10,GEP5,K10_GEP5,5,Plasma_XBP1,"Plasma_XBP1 (77%), Tumor/Epithelials (15%), Fibroblasts/Stromal (3%)","[('Plasma_XBP1', 0.7694483734087695), ('Tumor/Epithelials', 0.15063649222065065), ('Fibroblasts/Stromal', 0.034653465346534656)]"
10,GEP6,K10_GEP6,6,Fibroblasts/Stromal,"Fibroblasts/Stromal (88%), Tumor/Epithelials (10%), Endothelials (1%)","[('Fibroblasts/Stromal', 0.8762376237623762), ('Tumor/Epithelials', 0.09759547383309759), ('Endothelials', 0.01485148514851485)]"
10,GEP7,K10_GEP7,7,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (4%), Bcells_CD19 (1%)","[('Tumor/Epithelials', 0.9448373408769448), ('Fibroblasts/Stromal', 0.04101838755304102), ('Bcells_CD19', 0.007072135785007072)]"
10,GEP8,K10_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (40%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (12%)","[('Tumor/Epithelials', 0.39957567185289955), ('Mac_C1Q_ZEB2', 0.15841584158415842), ('Fibroblasts/Stromal', 0.1188118811881188)]"
10,GEP9,K10_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (36%), Endothelials (29%), Fibroblasts/Stromal (26%)","[('Tumor/Epithelials', 0.3642149929278642), ('Endothelials', 0.28783592644978784), ('Fibroblasts/Stromal', 0.256011315417256)]"
10,GEP10,K10_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (84%), Fibroblasts/Stromal (7%), Bcells_CD19 (3%)","[('Tumor/Epithelials', 0.8444130127298444), ('Fibroblasts/Stromal', 0.07355021216407355), ('Bcells_CD19', 0.03182461103253183)]"
