parent_k,child_k,parent_id,child_id,similarity,rank,color,mode
8,9,K8_GEP2,K9_GEP1,0.9912751552804676,1,green,high
28,29,K28_GEP18,K29_GEP19,0.9631682446129262,1,green,high
28,29,K28_GEP18,K29_GEP20,0.6082000240803618,2,red,low
28,29,K28_GEP18,K29_GEP29,0.24666229729500266,2,red,low
16,17,K16_GEP14,K17_GEP11,0.5940511660421972,3,pink,low
16,17,K16_GEP14,K17_GEP15,0.19590410935646446,3,pink,low
19,20,K19_GEP9,K20_GEP19,0.2520981343422374,3,pink,low
29,30,K29_GEP20,K30_GEP15,0.9343437269351689,1,green,high
29,30,K29_GEP20,K30_GEP19,0.4720737144190946,3,pink,low
29,30,K29_GEP20,K30_GEP29,0.4200922752196099,2,red,low
23,24,K23_GEP21,K24_GEP23,0.7946260249087045,1,purple,low
23,24,K23_GEP21,K24_GEP24,0.7216253611735985,1,purple,low
25,26,K25_GEP17,K26_GEP17,0.7945492446534106,1,purple,low
25,26,K25_GEP17,K26_GEP23,0.5389171679454507,2,red,low
18,19,K18_GEP5,K19_GEP13,0.7282823846193625,2,red,low
18,19,K18_GEP5,K19_GEP15,0.48611010272257105,3,pink,low
18,19,K18_GEP5,K19_GEP16,0.42856773301540674,3,pink,low
18,19,K18_GEP5,K19_GEP18,0.47308869588124924,2,red,low
18,19,K18_GEP5,K19_GEP7,0.8171230551835567,1,purple,low
15,16,K15_GEP2,K16_GEP2,0.9911703745643063,1,green,high
17,18,K17_GEP14,K18_GEP14,0.8470849295619343,1,purple,low
17,18,K17_GEP14,K18_GEP15,0.48581289887669155,1,purple,low
22,23,K22_GEP11,K23_GEP19,0.6953728470790597,1,purple,low
22,23,K22_GEP11,K23_GEP9,0.9106983147841351,1,green,high
13,14,K13_GEP12,K14_GEP12,0.9907809397256524,1,green,high
22,23,K22_GEP19,K23_GEP20,0.9658237581482048,1,green,high
28,29,K28_GEP27,K29_GEP21,0.5284981228852731,3,pink,low
11,12,K11_GEP10,K12_GEP11,-0.03969296372613654,3,pink,low
14,15,K14_GEP12,K15_GEP12,0.9964648423967968,1,green,high
24,25,K24_GEP10,K25_GEP10,0.9572915982314951,1,green,high
24,25,K24_GEP10,K25_GEP15,0.843048856446408,1,purple,low
22,23,K22_GEP5,K23_GEP5,0.9751571048027936,1,green,high
22,23,K22_GEP5,K23_GEP6,0.7802538422014292,2,red,low
9,10,K9_GEP1,K10_GEP3,0.9684577228692143,1,green,high
9,10,K9_GEP1,K10_GEP4,0.858799665829916,1,purple,low
14,15,K14_GEP11,K15_GEP11,0.9974382476674717,1,green,high
21,22,K21_GEP11,K22_GEP11,0.9813847051230771,1,green,high
17,18,K17_GEP17,K18_GEP15,0.285874733969537,3,pink,low
17,18,K17_GEP17,K18_GEP17,0.5746487448986375,1,purple,low
24,25,K24_GEP11,K25_GEP13,0.6951798163499228,2,red,low
24,25,K24_GEP11,K25_GEP15,0.43811872969029164,2,red,low
24,25,K24_GEP11,K25_GEP25,0.3887907095166443,3,pink,low
24,25,K24_GEP11,K25_GEP6,0.969215861553193,1,green,high
28,29,K28_GEP6,K29_GEP24,0.4384185951134531,2,red,low
28,29,K28_GEP6,K29_GEP7,0.9760474729433373,1,green,high
17,18,K17_GEP2,K18_GEP17,0.33873916255640973,3,pink,low
17,18,K17_GEP2,K18_GEP2,0.6096203578552766,1,purple,low
17,18,K17_GEP2,K18_GEP7,0.827493902541086,1,purple,low
17,18,K17_GEP2,K18_GEP9,0.4526454707382317,3,pink,low
22,23,K22_GEP4,K23_GEP12,0.8989407103395597,1,purple,low
22,23,K22_GEP4,K23_GEP4,0.9109598953113407,1,green,high
20,21,K20_GEP19,K21_GEP21,0.8991982587487974,1,purple,low
24,25,K24_GEP5,K25_GEP12,0.7896417714267528,3,pink,low
24,25,K24_GEP5,K25_GEP14,0.7901496389664135,2,red,low
24,25,K24_GEP5,K25_GEP3,0.974292633805995,1,green,high
21,22,K21_GEP21,K22_GEP16,0.40393246041806763,3,pink,low
21,22,K21_GEP21,K22_GEP19,0.9711351376151186,1,green,high
21,22,K21_GEP21,K22_GEP20,0.3411119170835175,3,pink,low
21,22,K21_GEP21,K22_GEP21,0.36648529497341237,2,red,low
29,30,K29_GEP18,K30_GEP10,0.7192968067859444,2,red,low
29,30,K29_GEP18,K30_GEP12,0.7754849218444521,2,red,low
29,30,K29_GEP18,K30_GEP13,0.8626966816665631,1,purple,low
29,30,K29_GEP18,K30_GEP18,0.5317267576233848,1,purple,low
29,30,K29_GEP18,K30_GEP30,0.47208403355253914,1,purple,low
29,30,K29_GEP18,K30_GEP9,0.4045833818807072,3,pink,low
12,13,K12_GEP8,K13_GEP13,0.4080150485649637,2,red,low
16,17,K16_GEP7,K17_GEP10,0.8872756300937723,1,purple,low
16,17,K16_GEP7,K17_GEP13,0.944292244301692,1,green,high
8,9,K8_GEP5,K9_GEP5,0.9960220172348989,1,green,high
8,9,K8_GEP5,K9_GEP7,0.24061572231670528,2,red,low
27,28,K27_GEP4,K28_GEP20,0.3272181311384344,2,red,low
27,28,K27_GEP4,K28_GEP24,0.5018690792994298,2,red,low
27,28,K27_GEP4,K28_GEP5,0.9860661541187199,1,green,high
24,25,K24_GEP14,K25_GEP11,0.6281545084172973,2,red,low
24,25,K24_GEP14,K25_GEP17,0.29195597985492405,3,pink,low
24,25,K24_GEP14,K25_GEP20,0.7134487263912332,1,purple,low
24,25,K24_GEP14,K25_GEP24,0.39219535184163656,3,pink,low
24,25,K24_GEP14,K25_GEP7,0.75405884343501,2,red,low
24,25,K24_GEP23,K25_GEP21,0.5566059638976533,2,red,low
29,30,K29_GEP28,K30_GEP25,0.3983280349193754,3,pink,low
29,30,K29_GEP28,K30_GEP29,0.2562941308590091,3,pink,low
14,15,K14_GEP5,K15_GEP4,0.9990212330985474,1,green,high
17,18,K17_GEP3,K18_GEP1,0.9350697312081351,1,green,high
17,18,K17_GEP3,K18_GEP12,0.5641680668349791,3,pink,low
17,18,K17_GEP3,K18_GEP16,0.2824254057023008,3,pink,low
18,19,K18_GEP2,K19_GEP10,0.2997548183021511,3,pink,low
18,20,K18_GEP2,K20_GEP16,0.08787169745392168,3,pink,low
18,20,K18_GEP2,K20_GEP7,0.9124348887371945,1,green,high
18,22,K18_GEP2,K22_GEP17,0.40424914656747746,1,purple,low
18,23,K18_GEP2,K23_GEP10,0.7598885719503186,1,purple,low
18,23,K18_GEP2,K23_GEP17,0.2279769217340295,3,pink,low
18,24,K18_GEP2,K24_GEP12,0.9943974407941285,1,green,high
18,25,K18_GEP2,K25_GEP13,0.596900450890094,3,pink,low
18,25,K18_GEP2,K25_GEP25,0.5163137174069847,2,red,low
18,26,K18_GEP2,K26_GEP14,0.5194727823149636,2,red,low
18,26,K18_GEP2,K26_GEP21,0.7909878210033846,1,purple,low
18,26,K18_GEP2,K26_GEP22,0.4244714671624194,3,pink,low
18,26,K18_GEP2,K26_GEP25,0.6164771473781827,1,purple,low
18,26,K18_GEP2,K26_GEP7,0.535742518834968,1,purple,low
19,20,K19_GEP10,K20_GEP11,0.9375822306501006,1,green,high
19,20,K19_GEP10,K20_GEP13,0.7755978679341331,2,red,low
