K,GEP,program_id,gep_col,top1_celltype,top_celltypes,celltype_gap
13,GEP12,K13_GEP12,12,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (89%), Fibroblasts/Stromal (46%), Tumor/Epithelials (39%), Endothelials (5%)",0.062293534686172713
13,GEP13,K13_GEP13,13,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (90%), Tumor/Epithelials (75%), Fibroblasts/Stromal (11%), Bcells_CD19 (4%)",0.6337895233600754
14,GEP1,K14_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (3%), Bcells_CD19 (2%)",0.9164700330344502
14,GEP2,K14_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (68%), CD4+Tcells (28%), CD8+Tcells (22%), Tumor/Epithelials (17%)",0.05710240679565837
14,GEP3,K14_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9697970740915526
14,GEP4,K14_GEP4,4,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (83%), Bcells_CD19 (62%), Tumor/Epithelials (15%), Fibroblasts/Stromal (5%)",0.47333647947144886
14,GEP5,K14_GEP5,5,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (92%), Plasma_XBP1 (60%), Tumor/Epithelials (25%), Fibroblasts/Stromal (6%)",0.3520528551203398
14,GEP6,K14_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (89%), Fibroblasts/Stromal (7%), Endothelials (1%)",0.8178386031146767
14,GEP7,K14_GEP7,7,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (64%), Tumor/Epithelials (27%), Endothelials (4%)",0.3714016045304389
14,GEP8,K14_GEP8,8,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (73%), Tumor/Epithelials (46%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (11%)",0.2973100519112789
14,GEP9,K14_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (88%), Fibroblasts/Stromal (6%), Endothelials (2%)",0.82397357243983
14,GEP10,K14_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (84%), Fibroblasts/Stromal (6%), Bcells_CD19 (4%)",0.7805568664464371
14,GEP11,K14_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (90%), Tumor/Epithelials (48%), Fibroblasts/Stromal (22%), Endothelials (19%)",0.2562529495044833
14,GEP12,K14_GEP12,12,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (92%), Fibroblasts/Stromal (46%), Tumor/Epithelials (41%), Endothelials (5%)",0.04577630957999057
14,GEP13,K14_GEP13,13,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (90%), Tumor/Epithelials (75%), Fibroblasts/Stromal (11%), Bcells_CD19 (4%)",0.635205285512034
14,GEP14,K14_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (70%), Tumor/Epithelials (48%), Fibroblasts/Stromal (14%), Bcells_CD19 (8%)",0.339782916470033
15,GEP1,K15_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (3%), Bcells_CD19 (2%)",0.9155261915998112
15,GEP2,K15_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (68%), CD4+Tcells (28%), CD8+Tcells (22%), Tumor/Epithelials (17%)",0.05663048607833887
15,GEP3,K15_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9697970740915526
15,GEP4,K15_GEP4,4,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (92%), Plasma_XBP1 (60%), Tumor/Epithelials (25%), Fibroblasts/Stromal (6%)",0.3525247758376593
15,GEP5,K15_GEP5,5,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (84%), Bcells_CD19 (62%), Tumor/Epithelials (15%), Fibroblasts/Stromal (6%)",0.4695611137328929
15,GEP6,K15_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (89%), Fibroblasts/Stromal (7%), Endothelials (1%)",0.8197262859839547
15,GEP7,K15_GEP7,7,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (64%), Tumor/Epithelials (27%), Endothelials (4%)",0.3699858423784804
15,GEP8,K15_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (88%), Fibroblasts/Stromal (6%), Endothelials (2%)",0.825861255309108
15,GEP9,K15_GEP9,9,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (73%), Tumor/Epithelials (47%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (11%)",0.3062765455403492
15,GEP10,K15_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (84%), Fibroblasts/Stromal (6%), Bcells_CD19 (4%)",0.7815007078810761
15,GEP11,K15_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (90%), Tumor/Epithelials (49%), Fibroblasts/Stromal (22%), Endothelials (19%)",0.26285983954695613
15,GEP12,K15_GEP12,12,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (93%), Fibroblasts/Stromal (46%), Tumor/Epithelials (42%), Endothelials (5%)",0.04388862671071264
15,GEP13,K15_GEP13,13,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (91%), Tumor/Epithelials (75%), Fibroblasts/Stromal (11%), Bcells_CD19 (4%)",0.6413402548371874
15,GEP14,K15_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1 (73%), Tumor/Epithelials (50%), Fibroblasts/Stromal (18%), Plasma_XBP1 (5%)",0.3119395941481831
15,GEP15,K15_GEP15,15,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (71%), Tumor/Epithelials (49%), Fibroblasts/Stromal (14%), Bcells_CD19 (8%)",0.3501651722510618
16,GEP1,K16_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (95%), Fibroblasts/Stromal (3%), Bcells_CD19 (1%)",0.92590844738084
16,GEP2,K16_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (68%), CD4+Tcells (28%), CD8+Tcells (22%), Tumor/Epithelials (17%)",0.05710240679565837
16,GEP3,K16_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9693251533742331
16,GEP4,K16_GEP4,4,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (92%), Plasma_XBP1 (60%), Tumor/Epithelials (25%), Fibroblasts/Stromal (6%)",0.3529966965549788
16,GEP5,K16_GEP5,5,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (82%), Bcells_CD19 (62%), Tumor/Epithelials (14%), Fibroblasts/Stromal (5%)",0.4818310523831997
16,GEP6,K16_GEP6,6,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (64%), Tumor/Epithelials (28%), Endothelials (4%)",0.36007550731477106
16,GEP7,K16_GEP7,7,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (73%), Tumor/Epithelials (46%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (11%)",0.3072203869749882
16,GEP8,K16_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (90%), Fibroblasts/Stromal (5%), Endothelials (2%)",0.8437942425672488
16,GEP9,K16_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (85%), Fibroblasts/Stromal (5%), Bcells_CD19 (4%)",0.8017932987258141
16,GEP10,K16_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (83%), Fibroblasts/Stromal (9%), Bcells_CD19 (3%)",0.7376120811703634
16,GEP11,K16_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (86%), Tumor/Epithelials (53%), Fibroblasts/Stromal (17%), Endothelials (16%)",0.3629070316186881
16,GEP12,K16_GEP12,12,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (86%), Tumor/Epithelials (48%), Fibroblasts/Stromal (34%), Bcells_CD19 (4%)",0.14110429447852763
16,GEP13,K16_GEP13,13,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (82%), Tumor/Epithelials (54%), Fibroblasts/Stromal (17%), Endothelials (11%)",0.36809815950920244
16,GEP14,K16_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (90%), Tumor/Epithelials (58%), Fibroblasts/Stromal (26%), Bcells_CD19 (6%)",0.316658801321378
16,GEP15,K16_GEP15,15,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (69%), Tumor/Epithelials (47%), Fibroblasts/Stromal (14%), Bcells_CD19 (8%)",0.3284568192543653
16,GEP16,K16_GEP16,16,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (81%), Tumor/Epithelials (61%), Fibroblasts/Stromal (14%), Bcells_CD19 (6%)",0.46625766871165647
17,GEP1,K17_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (98%), Fibroblasts/Stromal (1%), Endothelials (1%)",0.9712128362435111
17,GEP2,K17_GEP2,2,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (98%), Fibroblasts/Stromal (65%), Tumor/Epithelials (30%), Endothelials (3%)",0.35063709296838136
17,GEP3,K17_GEP3,3,Mixed: CD4+Tcells/Tumor/Epithelials/CD8+Tcells,"Mixed: CD4+Tcells/Tumor/Epithelials/CD8+Tcells (66%), CD4+Tcells (27%), Tumor/Epithelials (21%), CD8+Tcells (18%)",0.06182161396885322
17,GEP4,K17_GEP4,4,Mixed: Bcells_CD19/Tumor/Epithelials/Plasma_XBP1,"Mixed: Bcells_CD19/Tumor/Epithelials/Plasma_XBP1 (81%), Bcells_CD19 (47%), Tumor/Epithelials (27%), Plasma_XBP1 (8%)",0.19348749410099103
17,GEP5,K17_GEP5,5,Mixed: Tumor/Epithelials/CD8+Tcells/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/CD8+Tcells/Fibroblasts/Stromal (65%), Tumor/Epithelials (43%), CD8+Tcells (13%), Fibroblasts/Stromal (10%)",0.2968381311939594
17,GEP6,K17_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (91%), Fibroblasts/Stromal (4%), Endothelials (2%)",0.8692779613025012
17,GEP7,K17_GEP7,7,Mixed: Tumor/Epithelials/Plasma_XBP1/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Plasma_XBP1/Fibroblasts/Stromal (89%), Tumor/Epithelials (42%), Plasma_XBP1 (40%), Fibroblasts/Stromal (8%)",0.024539877300613522
17,GEP8,K17_GEP8,8,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (78%), Plasma_XBP1 (34%), Tumor/Epithelials (33%), Fibroblasts/Stromal (11%)",0.0023596035865974807
17,GEP9,K17_GEP9,9,Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal (81%), Tumor/Epithelials (37%), Bcells_CD19 (35%), Fibroblasts/Stromal (9%)",0.011798017932987293
17,GEP10,K17_GEP10,10,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (78%), Tumor/Epithelials (55%), Fibroblasts/Stromal (14%), Mac_C1Q_ZEB2 (9%)",0.4072675790467202
17,GEP11,K17_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (94%), Tumor/Epithelials (68%), Fibroblasts/Stromal (16%), Endothelials (10%)",0.5200566304860783
17,GEP12,K17_GEP12,12,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (93%), Tumor/Epithelials (61%), Fibroblasts/Stromal (20%), Endothelials (13%)",0.41009910335063715
17,GEP13,K17_GEP13,13,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (69%), Tumor/Epithelials (45%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (8%)",0.29447852760736193
17,GEP14,K17_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (76%), Tumor/Epithelials (54%), Fibroblasts/Stromal (16%), Bcells_CD19 (7%)",0.37612081170363376
17,GEP15,K17_GEP15,15,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1 (85%), Tumor/Epithelials (68%), Fibroblasts/Stromal (10%), Plasma_XBP1 (8%)",0.5814063237376121
17,GEP16,K17_GEP16,16,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (91%), Tumor/Epithelials (78%), Fibroblasts/Stromal (9%), Bcells_CD19 (3%)",0.6885323265691363
17,GEP17,K17_GEP17,17,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (89%), Tumor/Epithelials (72%), Fibroblasts/Stromal (13%), Bcells_CD19 (4%)",0.5936762623879188
18,GEP1,K18_GEP1,1,Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials,"Mixed: CD4+Tcells/CD8+Tcells/Tumor/Epithelials (68%), CD4+Tcells (28%), CD8+Tcells (22%), Tumor/Epithelials (18%)",0.05663048607833884
18,GEP2,K18_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (89%), Fibroblasts/Stromal (9%), Bcells_CD19 (1%)",0.8013213780084946
18,GEP3,K18_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (97%), Fibroblasts/Stromal (2%), Endothelials (1%)",0.9513921661160925
18,GEP4,K18_GEP4,4,Mixed: Bcells_CD19/Tumor/Epithelials/Plasma_XBP1,"Mixed: Bcells_CD19/Tumor/Epithelials/Plasma_XBP1 (84%), Bcells_CD19 (58%), Tumor/Epithelials (21%), Plasma_XBP1 (5%)",0.365738555922605
18,GEP5,K18_GEP5,5,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (93%), Plasma_XBP1 (48%), Tumor/Epithelials (36%), Fibroblasts/Stromal (8%)",0.1217555450684285
18,GEP6,K18_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (87%), Fibroblasts/Stromal (5%), Bcells_CD19 (3%)",0.8183105238319963
18,GEP7,K18_GEP7,7,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (97%), Fibroblasts/Stromal (55%), Tumor/Epithelials (33%), Endothelials (10%)",0.21425200566304853
18,GEP8,K18_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (88%), Fibroblasts/Stromal (7%), Bcells_CD19 (2%)",0.808400188768287
18,GEP9,K18_GEP9,9,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (86%), Tumor/Epithelials (41%), Fibroblasts/Stromal (39%), Mac_C1Q_ZEB2 (7%)",0.021236432279377104
18,GEP10,K18_GEP10,10,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (71%), Plasma_XBP1 (30%), Tumor/Epithelials (27%), Fibroblasts/Stromal (15%)",0.03350637092968378
18,GEP11,K18_GEP11,11,Mixed: Tumor/Epithelials/Endothelials/Bcells_CD19,"Mixed: Tumor/Epithelials/Endothelials/Bcells_CD19 (91%), Tumor/Epithelials (74%), Endothelials (14%), Bcells_CD19 (2%)",0.6002831524303918
18,GEP12,K18_GEP12,12,Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal (78%), Tumor/Epithelials (33%), Bcells_CD19 (26%), Fibroblasts/Stromal (18%)",0.07409155261916
18,GEP13,K18_GEP13,13,Mixed: Tumor/Epithelials/Bcells_CD19/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Bcells_CD19/Mac_C1Q_ZEB2 (68%), Tumor/Epithelials (48%), Bcells_CD19 (11%), Mac_C1Q_ZEB2 (10%)",0.3718735252477584
18,GEP14,K18_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mast,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mast (84%), Tumor/Epithelials (49%), Fibroblasts/Stromal (31%), Mast (4%)",0.1793298725814063
18,GEP15,K18_GEP15,15,Mixed: Tumor/Epithelials/Bcells_CD19/Plasma_XBP1,"Mixed: Tumor/Epithelials/Bcells_CD19/Plasma_XBP1 (78%), Tumor/Epithelials (67%), Bcells_CD19 (7%), Plasma_XBP1 (4%)",0.6016989145823501
18,GEP16,K18_GEP16,16,Mixed: Tumor/Epithelials/Plasma_XBP1/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Plasma_XBP1/Fibroblasts/Stromal (69%), Tumor/Epithelials (43%), Plasma_XBP1 (14%), Fibroblasts/Stromal (12%)",0.2850401132609721
18,GEP17,K18_GEP17,17,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (83%), Tumor/Epithelials (56%), Fibroblasts/Stromal (22%), Bcells_CD19 (5%)",0.33600755073147714
18,GEP18,K18_GEP18,18,Mixed: Tumor/Epithelials/Plasma_XBP1/Bcells_CD19,"Mixed: Tumor/Epithelials/Plasma_XBP1/Bcells_CD19 (67%), Tumor/Epithelials (45%), Plasma_XBP1 (11%), Bcells_CD19 (11%)",0.3402548371873525
19,GEP1,K19_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (90%), Fibroblasts/Stromal (8%), Bcells_CD19 (1%)",0.8154789995280792
19,GEP2,K19_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (97%), Fibroblasts/Stromal (2%), Endothelials (1%)",0.951864086833412
19,GEP3,K19_GEP3,3,Mixed: Tumor/Epithelials/CD4+Tcells/Tregs,"Mixed: Tumor/Epithelials/CD4+Tcells/Tregs (75%), Tumor/Epithelials (34%), CD4+Tcells (26%), Tregs (14%)",0.0797546012269939
19,GEP4,K19_GEP4,4,Mixed: Tumor/Epithelials/CD8+Tcells/CD4+Tcells,"Mixed: Tumor/Epithelials/CD8+Tcells/CD4+Tcells (65%), Tumor/Epithelials (29%), CD8+Tcells (23%), CD4+Tcells (13%)",0.06040585181689473
19,GEP5,K19_GEP5,5,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (87%), Bcells_CD19 (58%), Tumor/Epithelials (22%), Fibroblasts/Stromal (7%)",0.3553563001415762
19,GEP6,K19_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (87%), Fibroblasts/Stromal (5%), Bcells_CD19 (3%)",0.8197262859839547
19,GEP7,K19_GEP7,7,Mixed: Plasma_XBP1/Tumor/Epithelials/Bcells_CD19,"Mixed: Plasma_XBP1/Tumor/Epithelials/Bcells_CD19 (93%), Plasma_XBP1 (55%), Tumor/Epithelials (32%), Bcells_CD19 (5%)",0.22888154789995285
19,GEP8,K19_GEP8,8,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (96%), Fibroblasts/Stromal (48%), Tumor/Epithelials (33%), Endothelials (14%)",0.14818310523831996
19,GEP9,K19_GEP9,9,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (86%), Tumor/Epithelials (54%), Fibroblasts/Stromal (25%), Mac_C1Q_ZEB2 (8%)",0.28834355828220853
19,GEP10,K19_GEP10,10,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (94%), Tumor/Epithelials (68%), Fibroblasts/Stromal (17%), Endothelials (9%)",0.5101462954223691
19,GEP11,K19_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (74%), Tumor/Epithelials (34%), Fibroblasts/Stromal (29%), Mac_C1Q_ZEB2 (10%)",0.051911278905143965
19,GEP12,K19_GEP12,12,Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Bcells_CD19/Fibroblasts/Stromal (75%), Tumor/Epithelials (39%), Bcells_CD19 (27%), Fibroblasts/Stromal (9%)",0.12553091080698442
19,GEP13,K19_GEP13,13,Mixed: Tumor/Epithelials/Plasma_XBP1/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Plasma_XBP1/Fibroblasts/Stromal (84%), Tumor/Epithelials (47%), Plasma_XBP1 (29%), Fibroblasts/Stromal (8%)",0.1854648419065597
19,GEP14,K19_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (82%), Tumor/Epithelials (51%), Fibroblasts/Stromal (26%), Bcells_CD19 (5%)",0.25389334591788576
19,GEP15,K19_GEP15,15,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1 (85%), Tumor/Epithelials (49%), Fibroblasts/Stromal (20%), Plasma_XBP1 (17%)",0.2892873997168476
19,GEP16,K19_GEP16,16,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Plasma_XBP1 (82%), Tumor/Epithelials (44%), Fibroblasts/Stromal (26%), Plasma_XBP1 (12%)",0.1826333176026428
19,GEP17,K19_GEP17,17,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (89%), Tumor/Epithelials (70%), Fibroblasts/Stromal (15%), Bcells_CD19 (4%)",0.5535630014157621
19,GEP18,K19_GEP18,18,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (84%), Tumor/Epithelials (62%), Fibroblasts/Stromal (16%), Bcells_CD19 (6%)",0.465785747994337
19,GEP19,K19_GEP19,19,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (83%), Tumor/Epithelials (63%), Fibroblasts/Stromal (13%), Bcells_CD19 (6%)",0.5035394053798963
20,GEP1,K20_GEP1,1,Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Bcells_CD19/Tumor/Epithelials/Fibroblasts/Stromal (84%), Bcells_CD19 (62%), Tumor/Epithelials (16%), Fibroblasts/Stromal (6%)",0.46201038225578106
20,GEP2,K20_GEP2,2,Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal,"Mixed: Plasma_XBP1/Tumor/Epithelials/Fibroblasts/Stromal (93%), Plasma_XBP1 (60%), Tumor/Epithelials (26%), Fibroblasts/Stromal (7%)",0.3435582822085889
20,GEP3,K20_GEP3,3,Mixed: Tumor/Epithelials/CD4+Tcells/Tregs,"Mixed: Tumor/Epithelials/CD4+Tcells/Tregs (74%), Tumor/Epithelials (34%), CD4+Tcells (27%), Tregs (14%)",0.07031618688060409
20,GEP4,K20_GEP4,4,Tumor/Epithelials,"Tumor/Epithelials (93%), Fibroblasts/Stromal (4%), Bcells_CD19 (2%)",0.8824917413874469
20,GEP5,K20_GEP5,5,Tumor/Epithelials,"Tumor/Epithelials (97%), Fibroblasts/Stromal (2%), Endothelials (1%)",0.9513921661160925
