absorbed_node,into_node,similarity,celltype,child_level,parent_level,iteration
K22_GEP6,K21_GEP6,0.9720131247042603,Tumor/Epithelials,22,21,35
K23_GEP11,K21_GEP6,0.969010881653577,Tumor/Epithelials,23,21,36
K23_GEP1,K22_GEP1,0.9645846716516527,Tumor/Epithelials,23,22,37
K28_GEP15,K27_GEP14,0.9633419803239681,Tumor/Epithelials,28,27,38
K24_GEP1,K22_GEP1,0.9632322140112053,Tumor/Epithelials,24,22,39
K9_GEP2,K4_GEP2,0.9612520264536075,Tumor/Epithelials,9,4,40
K16_GEP1,K13_GEP1,0.9591487630898348,Tumor/Epithelials,16,13,41
K10_GEP1,K4_GEP2,0.956753501482652,Tumor/Epithelials,10,4,42
K21_GEP4,K20_GEP4,0.955583164016941,Tumor/Epithelials,21,20,43
K27_GEP10,K26_GEP12,0.9552716875136251,Tumor/Epithelials,27,26,44
K21_GEP6,K20_GEP12,0.951419309209857,Tumor/Epithelials,21,20,45
K25_GEP2,K24_GEP3,0.9426856290657479,Tumor/Epithelials,25,24,46
K20_GEP10,K18_GEP6,0.9420768888581481,Tumor/Epithelials,20,18,47
K28_GEP14,K26_GEP12,0.9405566984831539,Tumor/Epithelials,28,26,48
K22_GEP12,K21_GEP9,0.9361588593118272,Tumor/Epithelials,22,21,49
K23_GEP2,K21_GEP1,0.9342715159204797,Tumor/Epithelials,23,21,50
K27_GEP14,K26_GEP16,0.9249495761987037,Tumor/Epithelials,27,26,51
K27_GEP2,K26_GEP2,0.9236105611955465,Tumor/Epithelials,27,26,52
K28_GEP3,K26_GEP2,0.9227187324346524,Tumor/Epithelials,28,26,53
K21_GEP12,K18_GEP6,0.9177198440621421,Tumor/Epithelials,21,18,54
K24_GEP3,K21_GEP1,0.9161115595109388,Tumor/Epithelials,24,21,55
K21_GEP1,K18_GEP3,0.9093800343810001,Tumor/Epithelials,21,18,56
K26_GEP12,K25_GEP8,0.906928809503454,Tumor/Epithelials,26,25,57
K23_GEP15,K22_GEP13,0.9064434905921932,Tumor/Epithelials,23,22,58
K25_GEP8,K24_GEP13,0.9039546711402549,Tumor/Epithelials,25,24,59
K26_GEP2,K18_GEP3,0.9036687558345945,Tumor/Epithelials,26,18,60
K24_GEP16,K22_GEP13,0.8957950480659875,Tumor/Epithelials,24,22,61
K13_GEP9,K12_GEP10,0.8929709580212422,Tumor/Epithelials,13,12,62
K29_GEP6,K28_GEP13,0.8869688753809715,Tumor/Epithelials,29,28,63
K16_GEP9,K13_GEP10,0.886296469334434,Tumor/Epithelials,16,13,64
K28_GEP13,K27_GEP12,0.8837120719725453,Tumor/Epithelials,28,27,65
K22_GEP7,K20_GEP4,0.8772414792392413,Tumor/Epithelials,22,20,66
K22_GEP13,K18_GEP6,0.874207663751744,Tumor/Epithelials,22,18,67
K30_GEP1,K18_GEP3,0.8551891728610954,Tumor/Epithelials,30,18,68
K29_GEP14,K26_GEP16,0.8265361871645136,Tumor/Epithelials,29,26,69
K22_GEP1,K21_GEP13,0.8148354536391151,Tumor/Epithelials,22,21,70
K18_GEP3,K12_GEP10,0.8120857353648678,Tumor/Epithelials,18,12,71
K17_GEP1,K13_GEP3,0.8117468199821418,Tumor/Epithelials,17,13,72
K20_GEP12,K18_GEP2,0.8111302852537847,Tumor/Epithelials,20,18,73
K30_GEP17,K26_GEP16,0.8073859520874369,Tumor/Epithelials,30,26,74
K21_GEP9,K12_GEP10,0.7658769556256868,Tumor/Epithelials,21,12,75
K20_GEP4,K12_GEP10,0.7607142589822007,Tumor/Epithelials,20,12,76
K25_GEP4,K21_GEP13,0.7450223892156123,Tumor/Epithelials,25,21,77
K24_GEP7,K12_GEP10,0.7415786387040619,Tumor/Epithelials,24,12,78
K13_GEP3,K12_GEP2,0.7386518319358797,Tumor/Epithelials,13,12,79
K28_GEP4,K12_GEP10,0.7251648900702319,Tumor/Epithelials,28,12,80
K12_GEP2,K3_GEP3,0.7175912324429399,Tumor/Epithelials,12,3,81
K24_GEP13,K12_GEP10,0.7028182016003465,Tumor/Epithelials,24,12,82
K25_GEP16,K24_GEP8,0.690794679147327,Tumor/Epithelials,25,24,83
K12_GEP10,K3_GEP3,0.6746910516184573,Tumor/Epithelials,12,3,84
K26_GEP16,K24_GEP8,0.661167299451295,Tumor/Epithelials,26,24,85
K24_GEP8,K3_GEP3,0.6458390719566954,Tumor/Epithelials,24,3,86
K26_GEP4,K3_GEP3,0.6407824610773274,Tumor/Epithelials,26,3,87
K12_GEP9,K10_GEP7,0.6023556869016253,Tumor/Epithelials,12,10,88
K21_GEP13,K18_GEP2,0.5926794664113297,Tumor/Epithelials,21,18,89
K18_GEP6,K3_GEP3,0.5910791784486751,Tumor/Epithelials,18,3,90
K18_GEP8,K3_GEP3,0.5764049456751196,Tumor/Epithelials,18,3,91
K13_GEP6,K10_GEP7,0.5509855852847136,Tumor/Epithelials,13,10,92
K13_GEP1,K3_GEP3,0.5457365830916963,Tumor/Epithelials,13,3,93
K16_GEP10,K3_GEP3,0.5425624239357931,Tumor/Epithelials,16,3,94
K30_GEP21,K3_GEP3,0.4780055621183835,Tumor/Epithelials,30,3,95
K13_GEP10,K3_GEP3,0.3306603489874431,Tumor/Epithelials,13,3,96
K4_GEP2,K3_GEP3,0.307790952615129,Tumor/Epithelials,4,3,97
