sample,cluster,ROGUE,n_cells
GSM4138111,DC_pDC,0.7664657163321758,68
GSM4138131,cDC2_CD1C,0.5952557270891723,67
GSM4138138,Mono_Int,0.9219639448245815,67
GSM4138141,cDC2_CD1C,0.5549874875056475,67
GSM4138145,cDC2_CD1C,0.579071075538766,66
GSM4138125,Mono_CD14,0.9607784319364789,65
GSM4138144,Mono_CD16,0.8991586530900735,64
GSM4138162,Mono_CD16,0.9093873495288302,63
GSM4138145,cDC1_CLEC9A,0.6955037369114154,62
GSM4138139,Mac_SPP1,0.577689687121138,62
GSM4138135,Mono_TIL,0.7810787982966844,61
GSM4138114,Mono_CD16,0.8958175122000865,60
GSM4138139,Mast,0.8957384433307878,60
GSM4138148,Mono_CD14,0.9125248152610537,60
GSM4138133,cDC2_CD1C,0.6408483900199687,59
GSM4138142,Mono_Int,0.9125142514490555,58
GSM4138113,Mono_CD14_IL1B,0.7908242795688365,58
GSM4138132,Mono_CD16,0.9246291944075657,58
GSM4138144,cDC2_CD33,0.7849244981171629,57
GSM4138137,Mac_IL1B,0.7335589752281911,57
GSM4138111,Mac_IL1Bint,0.6261667342723802,56
GSM4138141,mregDC_LAMP3,0.7000524395049482,55
GSM4138161,Mono_CD14_IL1B,0.8025011560680056,54
GSM4138143,Mac_IL1Bint,0.6699534161419932,54
GSM4138152,Mono_CD14,0.877245484269059,53
GSM4138123,Mac_IL1Bint,0.5860862623597235,53
GSM4138127,Mac_SPP1,0.6465634670306657,52
GSM4138156,cDC2_CD33,0.8682964630614546,52
GSM4138143,cDC2_CD1C,0.5756353938856109,51
GSM4138141,Mac_IL1Bint,0.7341645998650035,51
GSM4138155,DC_pDC,0.6780667910090006,50
GSM4138141,Mono_TIL,0.7235520606317698,50
GSM4138115,cDC2_CD1C,0.6561139025059228,50
GSM4138123,DC_pDC,0.7962111820242537,49
GSM4138145,Mac_IL1Bint,0.7483835504710417,49
GSM4138124,Mono_CD16,0.9215954966423507,48
GSM4138133,Mac_CXCL9,0.57706051658504,47
GSM4138143,mregDC_LAMP3,0.6917177244067854,47
GSM4138145,DC_pDC,0.8115984452625263,46
GSM4138129,Mac_IL1Bint,0.7246509029756749,46
GSM4138143,DC_pDC,0.805194388027331,46
GSM4138112,Mono_Int,0.9070396938571956,46
GSM4138166,cDC2_CD33,0.8262098664536055,45
GSM4138110,Mono_Int,0.9394170855746539,45
GSM4138120,Mono_Int,0.8539512619785254,44
GSM4138166,Mono_Int,0.8600049412441229,44
GSM4138150,Mono_CD14_IL1B,0.9427987331721055,44
GSM4138162,Mono_Int,0.9118187574361362,42
GSM4138111,cDC2_CD1C,0.5307331046653839,42
GSM4138136,Mono_CD14_THBS1,0.9599101083914697,42
GSM4138162,cDC2_CD33,0.8413303253217282,42
GSM4138129,Mono_TIL,0.8820442911705022,42
GSM4138144,Mono_CD14_THBS1,0.9500108875012024,41
GSM4138120,cDC2_CD33,0.7487089105289182,41
GSM4138161,Mono_TIL,0.7479837171378096,41
GSM4138125,Mac_IL1Bint,0.7060116223084886,40
GSM4138161,Mac_IL1Bint,0.6537010016346931,40
GSM4138114,cDC2_CD33,0.8790458568501622,39
GSM4138127,Mac_IL1Bint,0.7092537209152684,39
GSM4138148,Mono_CD14_IL1B,0.9538185294414255,39
GSM4138162,Mono_CD14,0.9542645810288637,38
GSM4138152,cDC2_CD33,0.7827627338772057,37
GSM4138125,Mac_CXCL9,0.7238916979707599,37
GSM4138142,Mono_CD14_ID1,0.9060429617025001,37
GSM4138152,Mono_Int,0.901161495982947,37
GSM4138141,Mono_CD14,0.9568430308371246,37
GSM4138119,Mono_CD14_IL1B,0.8204200207151703,36
GSM4138113,DC_pDC,0.802759170464671,36
GSM4138160,Mono_CD16,0.8951891172310686,36
GSM4138137,Mono_TIL,0.7895440555876675,36
GSM4138150,Mono_CD16,0.9325035740887064,35
GSM4138157,Mac_IL1Bint,0.6671593418982509,35
GSM4138129,Mac_CXCL9,0.7913184731488351,35
GSM4138140,cDC2_CD33,0.8526451150948329,35
GSM4138136,cDC2_CD33,0.8865371024414773,35
GSM4138111,Mono_CD16,0.7847023144944558,35
GSM4138111,Mono_CD14_IL1B,0.7691896327616964,35
GSM4138126,Mono_Int,0.939697405311715,34
GSM4138167,Mono_Int,0.9235061158538438,34
GSM4138167,cDC2_CD33,0.8880578850606855,34
GSM4138129,Mac_SPP1,0.7509211672320539,34
GSM4138127,Mono_CD14,0.944098723019616,34
GSM4138148,Mono_CD16,0.9200801887500409,34
GSM4138131,Mac_IL1B,0.765026870608704,34
GSM4138165,Mono_Int,0.9329894803530523,34
GSM4138157,cDC2_CD1C,0.5976986704092586,34
GSM4138143,cDC2_CD33,0.8292659036926605,34
GSM4138121,Mono_TIL,0.6655812644758367,33
GSM4138154,cDC2_CD33,0.7786180623083734,33
GSM4138123,Mac_IL1B,0.8148765170255324,32
GSM4138135,mregDC_LAMP3,0.7780349226710523,32
GSM4138163,cDC2_CD33,0.8493455811500581,31
GSM4138141,Mac_CXCL9,0.7444493490764776,31
GSM4138147,DC_pDC,0.8002504273439319,31
GSM4138143,Mast,0.8950298348571784,31
GSM4138142,cDC2_CD33,0.8737877747818289,31
GSM4138145,Mac_IL1B,0.8541947117405355,30
GSM4138123,cDC2_CD1C,0.5542214290722363,30
GSM4138154,Mono_CD16,0.8634918056417128,30
GSM4138127,DC_pDC,0.8273187405644356,30
GSM4138141,Mono_CD16,0.9075960802069603,30
GSM4138148,cDC2_CD33,0.8301050800192591,30
GSM4138146,cDC2_CD33,0.8553336931140259,29
GSM4138117,Mac_CXCL9,0.7404783990291617,29
GSM4138167,Mono_CD16,0.9238271571512675,29
GSM4138111,Mast,0.8097913060183021,29
GSM4138138,Mono_CD14_THBS1,0.9814308311849321,29
GSM4138141,cDC2_CD33,0.7853506335373067,29
GSM4138159,cDC2_CD1C,0.7124389248065035,28
GSM4138163,Mono_CD14,0.9674245036637764,28
GSM4138121,Mac_IL1Bint,0.7379890902043541,28
GSM4138126,Mono_CD14_IL1B,0.9725346163854961,28
GSM4138120,Mono_CD14,0.9193124463580431,28
GSM4138143,Mono_CD14,0.9353729866100148,27
GSM4138143,Mono_CD14_IL1B,0.8891658092112731,27
GSM4138133,mregDC_LAMP3,0.6968714747098119,26
GSM4138155,Mono_CD14_IL1B,0.8977320126783545,26
GSM4138155,Mac_SPP1,0.5795546387983859,26
GSM4138127,cDC2_CD1C,0.684226400380068,26
GSM4138112,DC_pDC,0.9037070811883339,26
GSM4138123,mregDC_LAMP3,0.7305481043653088,26
GSM4138139,mregDC_LAMP3,0.8430981780630017,26
GSM4138126,Mono_CD14_THBS1,0.9767260495544283,26
GSM4138161,cDC2_CD33,0.7492362407041351,25
GSM4138129,DC_pDC,0.902722853392227,25
GSM4138139,cDC2_CD1C,0.8028927499466576,25
GSM4138130,cDC2_CD33,0.9157752774617575,24
GSM4138139,cDC1_CLEC9A,0.8828647206998872,24
GSM4138161,Mac_IL1B,0.7929723262898152,24
GSM4138114,Mono_Int,0.9403363320756348,24
GSM4138119,Mac_SPP1,0.6255834855658611,24
GSM4138155,Mac_CXCL9,0.7197905237706654,24
GSM4138120,Mono_CD16,0.8682449590661641,24
GSM4138111,cDC2_CD33,0.8149843939118211,23
GSM4138163,Mono_CD16,0.9387373507744264,23
GSM4138160,DC_pDC,0.9330947094262356,23
GSM4138126,Mono_CD16,0.9338494271620773,23
GSM4138144,Mono_Int,0.9479333264852832,23
GSM4138164,cDC2_CD33,0.8925000668801759,23
GSM4138112,cDC2_CD33,0.8728056177270338,23
GSM4138159,Mac_IL1Bint,0.7606531828755962,22
GSM4138111,cDC1_CLEC9A,0.7848146752104745,22
GSM4138155,cDC2_CD33,0.8137694861045691,22
GSM4138160,cDC2_CD33,0.8778204072136317,22
GSM4138165,cDC2_CD33,0.8867996785510965,22
GSM4138139,DC_pDC,0.8907996999607569,22
GSM4138143,cDC1_CLEC9A,0.7818206417401602,21
GSM4138158,Mono_CD14_IL1B,0.9848273522432506,21
GSM4138155,mregDC_LAMP3,0.800057308375042,21
GSM4138158,cDC2_CD33,0.9219222790355122,21
GSM4138135,Mast,0.9137892601834748,21
GSM4138154,Mono_Int,0.9370232053520214,21
GSM4138117,cDC2_CD1C,0.7841423689238238,21
GSM4138133,DC_pDC,0.9494580046754922,21
GSM4138115,mregDC_LAMP3,0.7747591929918982,21
GSM4138164,Mono_CD16,0.9174649149924949,21
GSM4138110,DC_pDC,0.9037155870768937,21
GSM4138111,Mac_CXCL9,0.7639180003680407,20
GSM4138124,Mono_Int,0.971105339492646,20
GSM4138128,DC_pDC,0.9316163617394202,20
GSM4138168,DC_pDC,0.8594731152159931,20
GSM4138145,Mono_TIL,0.8587575740934148,20
GSM4138137,mregDC_LAMP3,0.89497583643401,20
GSM4138122,DC_pDC,0.9316163617394202,20
GSM4138118,Mono_CD14,0.9783453887593198,19
GSM4138115,Mac_IL1Bint,0.8404033640508579,19
GSM4138115,DC_pDC,0.8284887925128488,19
GSM4138137,cDC2_CD1C,0.6264654427323095,19
GSM4138158,Mono_CD16,0.9592426832332274,19
